NQUEST,ENTEPEN,TIPOPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE,NORD
22509,2,1,1991,1900,13,2,0,20,1
22509,2,1,1986,1500,13,2,0,50,2
22563,1,1,1993,2300,13,2,0,63,2
22570,1,1,1997,2700,13,2,0,70,1
22570,,3,,,,,,,4
22571,1,1,1998,2300,5,2,0,70,1
22587,7,1,1996,5000,13,2,0,70,1
22587,2,1,1992,2100,13,1,10000,90,2
22608,1,4,1983,1350,13,2,0,,1
22669,2,1,1994,2200,13,1,460,80,1
22669,2,4,1995,250,13,2,0,,1
22690,1,1,1983,2650,13,2,0,60,1
22844,1,1,1972,623,13,2,0,,1
22850,1,1,1988,475,13,2,0,50,2
22891,1,1,1986,2200,13,2,0,95,1
22891,1,4,1995,270,13,2,0,,1
22961,1,1,1991,680,13,2,0,30,1
22961,1,1,1990,680,13,2,0,100,2
22964,5,1,1995,3370,13,2,0,40,1
22964,1,1,1994,1070,13,2,0,50,2
22974,1,4,1994,1000,13,2,0,,1
22974,1,1,1974,550,13,2,0,60,1
22993,2,1,1998,2400,13,2,0,95,1
22995,2,1,1964,2400,13,2,0,90,1
22996,7,1,1964,3900,13,2,0,80,1
23149,2,1,1984,2500,13,2,0,50,1
23193,2,1,1965,2625,13,2,0,100,1
23199,1,1,1985,3200,13,2,0,60,1
23199,5,1,1985,150,13,2,0,1,1
23199,1,1,1985,690,13,2,0,50,2
23319,1,1,1993,650,12,2,0,60,1
23319,1,1,1996,650,12,2,0,60,2
23342,1,1,1980,800,12,2,0,70,1
23342,1,2,1981,600,12,2,0,,2
23343,1,1,1990,1300,12,2,0,80,1
23343,1,3,1976,800,12,2,0,,2
23350,1,4,1982,600,12,2,0,,1
23362,1,3,1975,780,13,2,0,,1
23367,1,1,1974,730,13,2,0,50,1
23367,1,1,1986,660,13,2,0,50,2
23384,1,1,1997,1100,12,2,0,50,1
23384,1,1,1994,730,13,2,0,40,2
23409,2,1,1988,1900,13,2,0,75,1
23445,1,1,1992,2480,13,2,0,70,1
23445,1,1,1998,500,3,1,2000,80,2
23454,6,1,1987,1600,13,2,0,75,1
23466,2,1,1982,1500,13,2,0,80,2
