NQUEST,GODABIT,UNIPRO,QUOPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,POSS,IMPACQ,MUTUOAB,TMUTUOAB,MUTUOAG,AGEV1,AGEV2,AGEV3,AGEV4,AGEV5,MUTUOIN,MUTUODU,MUTUOVA1,MUTUOVA2,MUTUOVA3,MUTUOVA4,TIPOTAX,TFITTO,TIPOAFF,PROPRIET,ANABIT,TFITIMP,UBIC1,UBIC2,CATABIT,SUPAB,ANCOSTR,RISTRUT,BAGNI,RISCALD,VALABIT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,VENDIM,NVENDIM,ANTIC,ANTICIPI,MANSTRA,TMANSTRA,TAXFIS,TAXVAR
54635,1,1,,1995,1,2,,,,,1,320000,1,11600,1,0,0,1,0,0,65000,10,,,,,2,,,,,1500,3,3,3,97,1969,2,1,1,350000,1,1,2,,1,1,2,,2,,2,,2,,,8
54673,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1991,300,4,3,4,40,1600,2,1,1,100000,2,,1,1,2,,2,,2,,2,,2,,,
54679,1,1,,1971,1,,,,,,6,18000,,,,,,,,,,,,,,,,,,,,1200,3,3,3,165,1971,2,2,1,450000,1,2,2,,2,,2,,2,,2,,2,,,
54680,1,1,,1990,1,2,,,,,1,160000,1,17400,2,,,,,,90000,15,,,,,1,,,,,800,4,1,3,100,1965,2,1,1,300000,2,,2,,2,,2,,2,,2,,2,,11.5,
54683,1,1,,1980,1,2,,,,,6,70000,1,8400,1,0,0,0,0,0,45000,10,,,,,2,,,,,305,2,3,3,100,1980,1,2,1,350000,1,2,2,,2,,2,,2,,2,,2,,,11
54684,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1982,700,2,3,3,55,1982,1,1,1,180000,2,,2,,2,,2,,2,,2,,,,,
54693,1,1,,1972,1,2,,,,,1,7300,,,,,,,,,,,,,,,,,,,,800,3,1,3,105,1967,1,1,1,200000,2,,2,,2,,2,,2,,2,,2,,,
54694,1,1,,1973,1,2,,,,,6,10000,,,,,,,,,,,,,,,,,,,,800,3,3,3,95,1973,1,1,1,220000,2,,2,,2,,2,,2,,2,,1,6000,,
54696,2,,,,,,,,,,,,,,,,,,,,,,,,,,,500,1,1,1977,,2,3,3,135,1960,2,1,1,170000,2,,2,,2,,2,,2,,2,,,,,
54702,1,1,,1983,1,2,,,,,1,46000,1,4000,1,0,0,0,1,0,30000,20,,,,,2,,,,,500,3,3,3,87,1979,2,2,1,140000,2,,2,,2,,2,,2,,2,,2,,,4.6
54706,1,1,,1995,1,,,,,,1,70000,,,,,,,,,,,,,,,,,,,,500,2,3,5,60,1956,2,1,2,80000,2,,2,,2,,2,,2,,2,,2,,,
54711,1,2,50,1998,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,2000,6,1,1,140,1700,2,2,1,400000,2,,2,,2,,2,,2,,2,,2,,,
54723,1,1,,1996,1,2,,,,,2,500000,1,7500,2,,,,,,60000,15,,,,,2,,,,,2000,2,3,3,180,1900,1,2,1,600000,1,2,1,2,2,,2,,2,,2,,1,30000,,9
54763,1,1,,1991,1,2,3,,,,1,93000,1,9000,1,0,0,1,0,0,50000,10,,,,,2,,,,,500,3,3,3,70,1950,2,1,2,140000,2,,2,,2,,2,,2,,2,,2,,,10
54765,1,1,,1979,1,2,,,,,1,100000,,,,,,,,,,,,,,,,,,,,1000,3,1,3,120,1967,1,2,1,350000,1,1,2,,2,,2,,2,,2,,2,,,
54766,1,2,75,1968,1,,,,,,6,60000,,,,,,,,,,,,,,,,,,,,3000,3,1,1,400,1968,2,2,1,1500000,2,,1,1,2,,2,,2,,2,,2,,,
54796,2,,,,,,,,,,,,,,,,,,,,,,,,,,,450,1,1,1998,,2,3,3,74,1940,2,1,1,74000,2,,2,,2,,2,,2,,2,,,,,
54819,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1966,1000,3,1,3,90,1950,2,1,1,180000,2,,2,,2,,2,,2,,2,,,,,
54908,1,1,,1978,1,2,,,,,6,60000,,,,,,,,,,,,,,,,,,,,1200,4,1,3,180,1978,1,2,1,500000,2,,2,,2,,2,,2,,2,,1,30000,,
54934,1,1,,1960,1,2,,,,,2,10000,,,,,,,,,,,,,,,,,,,,2000,3,1,3,170,1960,1,2,1,700000,1,1,2,,1,1,2,,2,,2,,2,,,
54949,1,1,,1987,1,,,,,,1,120000,1,7000,1,0,0,1,0,0,,15,,,,,2,,,,,1500,4,1,3,110,1600,1,1,1,800000,2,,2,,2,,2,,2,,2,,1,2500,,28
54963,1,1,,1949,1,,,,,,1,900,,,,,,,,,,,,,,,,,,,,1500,3,3,3,100,1800,1,1,1,400000,2,,2,,2,,2,,2,,2,,1,5800,,
54987,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,4,1,1979,,2,1,3,95,1965,2,1,1,400000,1,2,1,1,2,,2,,2,,2,,2,,,
55006,1,1,,1980,1,,,,,,6,400000,,,,,,,,,,,,,,,,,,,,2000,4,1,2,120,1980,2,2,1,800000,1,1,2,,2,,2,,2,,2,,2,,,
55078,2,,,,,,,,,,,,,,,,,,,,,,,,,,,350,4,1,1985,,3,3,3,95,1965,2,1,1,220000,2,,2,,2,,2,,2,,2,,,,,
55079,1,1,,1979,1,2,,,,,1,18000,,,,,,,,,,,,,,,,,,,,600,6,3,3,100,1959,2,2,1,300000,2,,2,,2,,2,,2,,2,,2,,,
55084,1,1,,1990,2,,,,,,1,90000,,,,,,,,,,,,,,,,,,,,800,2,3,3,180,1981,2,2,1,260000,1,1,2,,1,1,2,,2,,2,,2,,,
55093,2,,,,,,,,,,,,,,,,,,,,,,,,,,,124,6,3,1974,,3,3,3,100,1970,2,2,1,130000,1,1,2,,2,,2,,2,,2,,2,,,
55094,1,1,,1993,1,2,,,,,6,143000,,,,,,,,,,,,,,,,,,,,800,3,3,3,95,1993,2,2,1,250000,2,,2,,2,,2,,2,,2,,2,,,
55099,2,,,,,,,,,,,,,,,,,,,,,,,,,,,80,6,5,1993,,3,3,5,78,1970,1,1,1,100000,1,1,2,,2,,2,,2,,2,,2,,,
55104,1,1,,1992,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,300,1,3,4,100,1973,2,1,1,100000,2,,2,,1,1,2,,2,,2,,2,,,
55118,2,,,,,,,,,,,,,,,,,,,,,,,,,,,400,1,1,1991,,2,3,5,140,1970,2,1,1,170000,2,,2,,2,,2,,2,,2,,,,,
55147,1,1,,1960,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,500,2,3,2,70,1957,1,1,1,150000,2,,2,,2,,2,,1,1,2,,1,20000,,
55205,1,1,,1965,1,,,,,,1,20000,,,,,,,,,,,,,,,,,,,,1000,3,1,3,180,1965,2,2,1,200000,2,,2,,1,1,2,,2,,2,,2,,,
55209,1,1,,1968,1,,,,,,1,2500,,,,,,,,,,,,,,,,,,,,200,6,1,4,80,1890,2,1,2,30000,2,,1,1,1,2,2,,2,,2,,2,,,
55212,1,1,,1915,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,1500,4,1,2,180,1750,2,2,1,170000,2,,2,,2,,2,,2,,2,,2,,,
55221,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1981,600,3,3,3,60,1980,2,1,1,100000,2,,2,,2,,2,,2,,2,,,,,
55272,2,,,,,,,,,,,,,,,,,,,,,,,,,,,55,6,4,1987,,2,2,5,65,1980,2,1,1,100000,2,,2,,2,,2,,2,,2,,,,,
55273,1,1,,1974,1,,,,,,3,9000,,,,,,,,,,,,,,,,,,,,500,2,3,3,80,1940,2,1,1,100000,2,,2,,2,,2,,2,,2,,2,,,
55275,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1980,300,2,3,3,110,1960,2,1,1,130000,2,,2,,2,,2,,2,,2,,,,,
55295,1,1,,1962,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,500,2,3,5,150,1962,2,2,2,120000,2,,2,,2,,2,,2,,2,,2,,,
55298,1,1,,1994,1,2,,,,,2,170000,1,13000,1,1,0,0,0,0,100000,10,,,,,2,,,,,500,4,1,2,100,1992,2,2,1,180000,2,,2,,2,,2,,2,,2,,2,,,3.5
55300,1,1,,1975,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,500,4,3,4,100,1975,2,2,1,150000,2,,2,,2,,2,,2,,2,,2,,,
55308,1,1,,1959,1,,,,,,6,20000,,,,,,,,,,,,,,,,,,,,350,2,1,5,90,1959,2,1,1,150000,2,,2,,2,,2,,2,,2,,2,,,
55322,1,1,,1985,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,700,3,3,3,110,1984,2,2,1,230000,2,,2,,2,,2,,2,,1,145000,2,,,
55333,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1993,600,1,3,3,100,1953,2,1,1,140000,2,,2,,2,,2,,2,,2,,,,,
55338,1,1,,1969,1,2,,,,,2,13000,,,,,,,,,,,,,,,,,,,,1500,3,1,3,100,1969,1,1,1,350000,1,1,1,1,2,,2,,2,,2,,1,2500,,
55341,1,1,,1976,1,,,,,,6,120000,,,,,,,,,,,,,,,,,,,,1200,3,1,2,200,1976,2,2,1,400000,2,,2,,2,,2,,2,,2,,2,,,
55342,2,,,,,,,,,,,,,,,,,,,,,,,,,,,400,1,1,1979,,4,3,3,90,1967,1,1,1,130000,1,1,2,,2,,2,,2,,2,,1,600,,
55349,1,1,,1998,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,600,3,3,3,75,1950,2,2,1,100000,2,,2,,2,,2,,2,,2,,2,,,
55358,1,1,,1965,1,,,,,,1,60000,,,,,,,,,,,,,,,,,,,,350,4,2,6,80,1948,2,1,2,70000,2,,2,,2,,2,,2,,2,,2,,,
55362,1,1,,1960,1,,,,,,6,20000,,,,,,,,,,,,,,,,,,,,500,6,3,3,90,1960,2,1,1,180000,1,2,1,1,1,1,2,,2,,1,20000,2,,,
55372,2,,,,,,,,,,,,,,,,,,,,,,,,,,,400,4,1,1993,,3,3,2,120,1985,2,2,2,150000,2,,2,,2,,2,,2,,2,,,,,
55375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,300,4,1,1988,,2,2,3,80,1950,2,1,2,100000,2,,2,,2,,2,,2,,2,,,,,
55376,1,1,,1977,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,400,3,3,2,120,1880,2,2,1,200000,2,,2,,2,,2,,2,,2,,2,,,
55379,1,1,,1990,1,,,,,,6,10000,,,,,,,,,,,,,,,,,,,,500,3,1,1,96,1990,2,2,1,165000,2,,2,,2,,2,,2,,2,,2,,,
55387,1,1,,1979,1,,,,,,6,5000,,,,,,,,,,,,,,,,,,,,400,4,3,5,70,1970,2,1,2,70000,2,,2,,2,,2,,2,,2,,2,,,
55393,2,,,,,,,,,,,,,,,,,,,,,,,,,,,300,1,1,1973,,3,3,3,80,1940,2,1,2,80000,2,,2,,2,,2,,2,,2,,,,,
55399,1,1,,1965,1,,,,,,6,6000,,,,,,,,,,,,,,,,,,,,600,2,3,3,100,1965,2,1,2,100000,2,,2,,2,,2,,2,,2,,2,,,
55406,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1988,200,2,2,6,100,1988,2,2,2,,2,,2,,2,,2,,2,,2,,,,,
55425,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1960,,3,3,6,78,1958,1,1,1,80000,2,,2,,2,,2,,2,,2,,,,,
55430,2,,,,,,,,,,,,,,,,,,,,,,,,,,,785,4,1,1972,,4,1,3,130,1970,1,2,1,350000,1,3,1,2,2,,2,,2,,2,,1,10000,,
55439,2,,,,,,,,,,,,,,,,,,,,,,,,,,,250,4,1,1994,,4,3,5,60,1940,2,1,2,60000,2,,2,,2,,2,,2,,1,100,,,,
55538,1,1,,1900,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,400,4,3,4,75,1899,2,2,2,80000,2,,2,,2,,2,,2,,2,,2,,,
55542,1,1,,1953,1,2,,,,,4,,,,,,,,,,,,,,,,,,,,,300,4,1,3,80,1860,2,1,2,70000,2,,2,,2,,2,,2,,2,,2,,,
55555,1,1,,1944,1,,,,,,1,15000,,,,,,,,,,,,,,,,,,,,300,3,3,4,80,1944,2,1,2,200000,2,,2,,2,,2,,2,,2,,2,,,
55562,2,,,,,,,,,,,,,,,,,,,,,,,,,,,350,1,1,1983,,4,3,3,70,1964,2,1,2,100000,2,,2,,2,,2,,2,,2,,,,,
55586,1,1,,1949,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,400,4,1,4,80,1900,1,1,1,80000,2,,2,,2,,2,,2,,2,,2,,,
55602,2,,,,,,,,,,,,,,,,,,,,,,,,,,,250,1,1,1960,,3,3,3,120,1889,2,1,2,100000,2,,2,,2,,2,,2,,2,,,,,
55620,2,,,,,,,,,,,,,,,,,,,,,,,,,,,600,4,1,1978,,3,3,3,100,1969,2,1,1,200000,2,,2,,2,,2,,2,,2,,,,,
55629,2,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4,1,1987,,4,2,5,20,1930,2,1,2,15000,2,,2,,2,,2,,2,,2,,,,,
55636,2,,,,,,,,,,,,,,,,,,,,,,,,,,,250,4,1,1992,,2,3,5,70,1950,2,1,2,60000,2,,2,,2,,2,,2,,2,,,,,
55639,1,1,,1968,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,150,2,3,5,80,1965,2,1,2,50000,2,,2,,2,,2,,2,,2,,2,,,
55642,1,2,50,1988,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,600,2,2,3,130,1950,2,2,1,300000,1,1,2,,2,,2,,2,,2,,2,,,
55649,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1993,500,2,2,2,130,1977,1,2,1,600000,2,,2,,2,,2,,2,,2,,,,,
55660,1,1,,1980,1,2,,,,,6,40000,,,,,,,,,,,,,,,,,,,,1500,1,1,3,144,1978,2,2,1,500000,2,,2,,2,,2,,2,,2,,2,,,
55690,1,1,,1970,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,300,3,2,4,80,1970,2,1,2,80000,2,,2,,2,,2,,2,,2,,2,,,
55692,1,1,,1975,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,600,4,3,3,110,1958,1,1,1,100000,2,,2,,2,,2,,2,,2,,2,,,
55694,1,1,,1972,2,,,,,,1,10000,,,,,,,,,,,,,,,,,,,,300,3,3,3,90,1965,2,1,2,50000,2,,2,,2,,2,,2,,2,,2,,,
55743,1,1,,1985,1,,,,,,5,,2,,,,,,,,,,,,,,,,,,,500,2,3,3,84,1980,2,2,1,,2,,2,,2,,2,,2,,2,,2,,,
55749,1,1,,1927,1,2,,,,,4,,,,,,,,,,,,,,,,,,,,,300,4,3,3,50,1927,1,1,1,50000,2,,2,,2,,2,,2,,2,,2,,,
55773,1,1,,1986,1,2,,,,,1,65000,,,,,,,,,,,,,,,,,,,,500,4,3,3,100,1971,2,1,2,150000,2,,2,,2,,2,,2,,2,,2,,,
55774,1,1,,1970,1,,,,,,6,40000,2,,,,,,,,,,,,,,,,,,,350,1,3,3,100,1970,1,2,1,150000,2,,2,,1,1,2,,2,,2,,2,,,
55777,2,,,,,,,,,,,,,,,,,,,,,,,,,,,300,5,4,1986,,6,2,6,60,1982,2,1,2,,2,,2,,2,,2,,2,,2,,,,,
55783,2,,,,,,,,,,,,,,,,,,,,,,,,,,,70,5,5,1983,,6,3,5,60,1960,2,1,2,50000,2,,2,,2,,2,,2,,2,,,,,
55799,1,1,,1977,1,2,,,,,6,300000,,,,,,,,,,,,,,,,,,,,1000,4,1,3,250,1974,2,2,1,600000,2,,2,,2,,2,,2,,2,,2,,,
55832,2,,,,,,,,,,,,,,,,,,,,,,,,,,,370,1,1,1967,,2,3,3,86,1950,1,2,2,250000,2,,2,,2,,2,,2,,2,,,,,
55840,3,1,,1987,1,,,,,,1,200000,,,,,,,,,,,,,,,,,,,,800,4,2,5,90,1962,2,1,2,250000,2,,2,,2,,2,,2,,2,,,,,
55842,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1939,200,4,3,5,20,1700,1,1,2,35000,2,,2,,2,,2,,2,,2,,,,,
55843,2,,,,,,,,,,,,,,,,,,,,,,,,,,,450,1,1,1966,,4,2,3,200,1700,1,2,2,200000,2,,2,,2,,2,,2,,2,,,,,
55876,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1972,800,2,3,4,80,1967,2,1,1,180000,2,,2,,2,,2,,2,,2,,,,,
55885,1,1,,1962,2,,,,,,3,4000,,,,,,,,,,,,,,,,,,,,700,2,3,3,80,1958,1,1,1,200000,2,,2,,2,,2,,2,,2,,2,,,
55887,2,,,,,,,,,,,,,,,,,,,,,,,,,,,400,1,1,1969,,4,3,5,80,1960,2,1,2,200000,2,,2,,2,,2,,2,,2,,,,,
55891,2,,,,,,,,,,,,,,,,,,,,,,,,,,,500,1,1,1969,,4,3,5,80,1963,2,1,2,150000,2,,2,,2,,2,,2,,2,,,,,
55917,1,1,,1997,1,,,,,,1,130000,2,,,,,,,,,,,,,,,,,,,600,3,3,3,80,1968,2,1,2,150000,1,4,2,,2,,2,,2,,2,,2,,,
56039,2,,,,,,,,,,,,,,,,,,,,,,,,,,,200,2,2,1936,,3,3,4,60,1800,1,1,2,70000,2,,2,,2,,2,,2,,2,,,,,
56070,2,,,,,,,,,,,,,,,,,,,,,,,,,,,350,2,1,1982,,4,3,4,73,1928,2,1,2,70000,2,,2,,1,2,2,,2,,2,,2,,,
56080,1,1,,1997,4,,,,,,2,80000,,,,,,,,,,,,,,,,,,,,500,1,2,3,110,1980,2,1,1,150000,2,,2,,2,,2,,2,,2,,2,,,
56097,1,1,,1990,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,1000,4,3,3,120,1960,2,2,1,300000,2,,2,,2,,2,,2,,2,,2,,,
56165,1,1,,1981,1,2,,,,,1,60000,,,,,,,,,,,,,,,,,,,,1500,2,1,2,120,1963,1,2,1,500000,1,2,2,,2,,2,,2,,2,,1,1500,,
56174,1,1,,1987,1,2,,,,,6,0,,,,,,,,,,,,,,,,,,,,,5,1,2,200,1987,2,2,1,750000,2,,2,,2,,2,,2,,2,,2,,,
56177,2,,,,,,,,,,,,,,,,,,,,,,,,,,,600,2,2,1970,,4,1,3,100,1960,2,1,1,180000,2,,2,,2,,2,,2,,2,,,,,
56202,1,1,,1967,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,1000,4,3,3,120,1960,1,2,1,300000,1,1,2,,1,1,2,,2,,2,,1,10000,,
56215,1,1,,1980,2,,,,,,1,190000,,,,,,,,,,,,,,,,,,,,1100,4,1,2,90,1980,2,2,2,400000,2,,2,,2,,2,,2,,2,,2,,,
56251,1,1,,1981,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,200,4,3,4,20,1900,2,1,2,50000,1,1,1,1,1,2,1,,2,,2,,2,,,
56261,1,1,,1995,1,2,3,,,,1,200000,,,,,,,,,,,,,,,,,,,,1200,4,3,3,120,1960,1,2,1,250000,2,,2,,2,,2,,2,,2,,2,,,
56262,3,1,,1989,1,,,,,,3,5000,,,,,,,,,,,,,,,,,,,,400,4,3,6,58,1950,1,1,1,60000,2,,2,,2,,2,,2,,2,,,,,
56270,2,,,,,,,,,,,,,,,,,,,,,,,,,,,100,6,4,1975,,3,3,5,90,1974,2,2,1,150000,2,,2,,2,,1,1,2,,2,,2,,,
56276,1,2,75,1983,1,,,,,,6,100000,,,,,,,,,,,,,,,,,,,,500,4,1,3,250,1963,2,2,1,350000,2,,2,,1,2,2,,2,,2,,2,,,
56327,1,1,,1960,1,2,,,,,2,3600,,,,,,,,,,,,,,,,,,,,1000,2,3,5,100,1960,2,1,1,200000,2,,2,,2,,2,,2,,2,,2,,,
56330,1,1,,1981,2,,,,,,6,100000,1,4000,1,0,0,0,0,0,42000,20,,,,,1,,,,,2000,2,3,3,150,1979,1,2,1,450000,1,1,2,,2,,2,,2,,2,,2,,11.5,
56445,1,1,,1986,1,2,,,,,1,120000,1,7000,2,,,,,,7000,15,,,,,1,,,,,1000,4,3,3,70,1953,2,1,1,300000,2,,2,,2,,2,,2,,2,,2,,11.6,
56457,1,1,,1958,1,2,,,,,1,10000,,,,,,,,,,,,,,,,,,,,1000,6,3,3,240,1908,2,2,1,250000,2,,2,,2,,2,,2,,2,,2,,,
56458,1,1,,1980,1,2,,,,,6,160000,,,,,,,,,,,,,,,,,,,,1000,1,1,3,250,1979,2,2,1,600000,2,,1,1,2,,2,,2,,2,,2,,,
56465,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1976,600,3,1,3,50,1960,2,1,1,100000,2,,2,,2,,2,,2,,2,,,,,
56467,1,1,,1989,1,2,,,,,6,150000,,,,,,,,,,,,,,,,,,,,1000,2,3,3,119,1989,2,2,1,350000,1,1,2,,2,,2,,2,,1,70000,2,,,
56473,2,,,,,,,,,,,,,,,,,,,,,,,,,,,100,4,1,1962,,2,2,5,240,1770,2,1,1,150000,2,,2,,2,,2,,2,,2,,,,,
56500,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1983,900,6,3,3,100,1968,1,1,1,200000,2,,2,,1,1,2,,2,,2,,2,,,
56508,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1987,600,2,3,3,80,1960,2,1,1,160000,2,,2,,2,,2,,2,,2,,,,,
56529,1,1,,1998,1,,,,,,2,500000,2,,,,,,,,,,,,,,,,,,,2000,4,1,2,120,1998,2,2,1,650000,1,3,2,,1,1,2,,2,,1,400000,1,20000,,
56533,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1993,800,3,3,3,120,1969,2,1,1,240000,2,,2,,2,,2,,2,,2,,,,,
56563,1,1,,1973,1,,,,,,6,10000,,,,,,,,,,,,,,,,,,,,400,3,3,4,100,1973,2,1,1,200000,2,,2,,1,1,2,,2,,2,,2,,,
56568,1,1,,1962,1,,,,,,1,5000,,,,,,,,,,,,,,,,,,,,600,3,3,5,50,1950,2,1,1,120000,2,,2,,2,,2,,2,,2,,2,,,
56572,1,1,,1965,1,,,,,,6,5000,,,,,,,,,,,,,,,,,,,,500,2,3,5,90,1965,2,1,1,160000,2,,2,,1,1,2,,2,,2,,2,,,
56574,1,1,,1990,1,2,,,,,6,200000,1,8000,1,1,0,0,0,0,100000,10,,,,,2,,,,,1500,1,1,3,160,1990,2,2,1,400000,1,2,2,,2,,2,,2,,2,,1,5000,,4.5
56575,1,1,,1975,1,,,,,,6,20000,,,,,,,,,,,,,,,,,,,,700,3,3,3,100,1975,2,2,1,200000,2,,2,,1,1,1,,2,,2,,2,,,
56577,1,1,,1977,1,,,,,,6,35000,,,,,,,,,,,,,,,,,,,,1000,2,3,3,210,1977,2,2,1,350000,2,,2,,2,,2,,2,,2,,2,,,
56582,1,1,,1977,1,2,,,,,1,15000,,,,,,,,,,,,,,,,,,,,700,1,3,3,200,1900,1,2,1,240000,2,,2,,2,,2,,2,,2,,1,8000,,
56589,2,,,,,,,,,,,,,,,,,,,,,,,,,,,700,1,1,1960,,4,3,3,130,1959,2,2,1,300000,2,,2,,2,,2,,2,,2,,,,,
56593,1,1,,1974,1,,,,,,1,7500,,,,,,,,,,,,,,,,,,,,150,3,3,4,80,1960,2,1,1,100000,1,1,2,,2,,2,,2,,2,,2,,,
56594,1,1,,1992,1,2,,,,,1,120000,,,,,,,,,,,,,,,,,,,,1000,3,1,3,106,1990,2,2,1,240000,2,,2,,2,,2,,2,,2,,2,,,
56603,1,1,,1991,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,800,2,1,3,130,1963,2,1,1,250000,2,,2,,1,1,2,,2,,2,,2,,,
56608,1,1,,1978,1,,,,,,1,55000,2,,,,,,,,,,,,,,,,,,,900,3,3,3,130,1950,2,2,1,300000,2,,2,,2,,2,,2,,2,,1,40000,,
56610,1,1,,1981,1,2,,,,,6,60000,,,,,,,,,,,,,,,,,,,,800,3,3,3,99,1979,2,2,1,150000,2,,2,,2,,2,,2,,2,,2,,,
56615,1,2,50,1998,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,700,3,3,3,110,1971,2,2,1,250000,2,,2,,2,,2,,2,,2,,2,,,
56624,1,1,,1984,1,2,,,,,2,68000,,,,,,,,,,,,,,,,,,,,700,3,3,5,85,1984,2,2,1,150000,2,,2,,2,,2,,2,,2,,1,2000,,
56629,1,1,,1992,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,800,4,1,3,120,1960,2,1,1,250000,2,,1,1,2,,2,,2,,2,,2,,,
56632,1,1,,1964,1,,,,,,1,3500,,,,,,,,,,,,,,,,,,,,600,3,2,4,85,1962,2,1,1,150000,1,1,2,,2,,2,,2,,2,,1,1000,,
56642,1,1,,1982,1,,,,,,6,80000,1,6000,1,0,0,1,0,0,63000,20,,,,,2,,,,,650,3,3,3,85,1980,2,2,1,180000,1,1,2,,2,,2,,2,,2,,1,3000,,7
56643,1,1,,1983,1,2,,,,,1,50000,,,,,,,,,,,,,,,,,,,,400,2,3,3,80,1950,2,1,1,100000,2,,2,,1,1,2,,2,,2,,2,,,
56656,1,2,33,1972,1,3,,,,,6,20000,,,,,,,,,,,,,,,,,,,,700,3,3,3,130,1972,2,2,1,150000,2,,2,,2,,2,,2,,2,,2,,,
56658,1,1,,1960,2,,,,,,6,17000,,,,,,,,,,,,,,,,,,,,800,1,3,3,170,1960,1,2,1,180000,1,1,2,,2,,1,1,2,,2,,2,,,
56662,1,1,,1972,1,,,,,,6,4500,,,,,,,,,,,,,,,,,,,,600,2,3,4,90,1960,1,1,1,250000,2,,2,,2,,2,,2,,2,,2,,,
56677,1,1,,1966,1,2,,,,,6,0,,,,,,,,,,,,,,,,,,,,1500,2,1,3,300,1966,1,2,1,1000000,2,,2,,2,,2,,2,,2,,2,,,
56680,1,1,,1995,2,,,,,,4,,2,,,,,,,,,,,,,,,,,,,700,4,1,2,90,1939,1,1,1,250000,1,1,1,2,2,,2,,2,,2,,2,,,
56686,1,1,,1997,1,2,,,,,1,125000,1,8800,1,0,0,1,0,0,80000,15,,,,,1,,,,,600,3,3,4,90,1994,2,2,1,160000,2,,2,,2,,2,,2,,2,,2,,9.6,
56696,1,1,,1971,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,300,4,1,3,211,1918,2,2,1,200000,1,4,2,,1,1,2,,2,,2,,2,,,
56699,1,1,,1954,1,,,,,,1,500,,,,,,,,,,,,,,,,,,,,300,1,1,4,210,1938,2,2,1,,1,1,2,,2,,2,,2,,2,,2,,,
56701,1,1,,1950,1,,,,,,1,1200,,,,,,,,,,,,,,,,,,,,600,1,3,3,100,1900,1,1,1,100000,2,,2,,1,1,2,,2,,2,,2,,,
56703,1,2,50,1989,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,200,2,2,5,120,1944,2,1,2,200000,2,,2,,2,,2,,2,,2,,2,,,
56706,2,,,,,,,,,,,,,,,,,,,,,,,,,,,307,1,1,1984,,2,3,3,168,1979,2,2,1,200000,2,,2,,2,,2,,2,,2,,,,,
56709,1,1,,1970,1,,,,,,6,0,,,,,,,,,,,,,,,,,,,,400,1,2,4,137,1970,2,2,1,250000,2,,2,,2,,2,,2,,2,,2,,,
56719,1,1,,1964,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,400,1,3,4,100,1939,2,1,1,100000,2,,2,,2,,2,,2,,2,,2,,,
56720,1,1,,1960,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,300,6,2,4,110,1930,2,1,1,100000,1,1,2,,1,1,1,1,2,,2,,2,,,
56721,1,1,,1981,1,,,,,,6,90000,,,,,,,,,,,,,,,,,,,,700,3,3,3,120,1981,2,2,1,600000,2,,2,,1,1,2,,2,,2,,2,,,
