NQUEST,GODABIT,UNIPRO,QUOPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,POSS,IMPACQ,MUTUOAB,TMUTUOAB,MUTUOAG,AGEV1,AGEV2,AGEV3,AGEV4,AGEV5,MUTUOIN,MUTUODU,MUTUOVA1,MUTUOVA2,MUTUOVA3,MUTUOVA4,TIPOTAX,TFITTO,TIPOAFF,PROPRIET,ANABIT,TFITIMP,UBIC1,UBIC2,CATABIT,SUPAB,ANCOSTR,RISTRUT,BAGNI,RISCALD,VALABIT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,VENDIM,NVENDIM,ANTIC,ANTICIPI,MANSTRA,TMANSTRA,TAXFIS,TAXVAR
1763,1,1,,1978,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4,3,5,45,1870,2,1,1,50000,2,,2,,2,,2,,2,,2,,2,,,
1826,1,1,,1950,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,500,3,3,3,90,1950,2,1,1,150000,1,1,2,,2,,2,,2,,2,,2,,,
1927,2,,,,,,,,,,,,,,,,,,,,,,,,,,,350,1,1,1962,,4,3,4,85,1945,1,1,1,170000,2,,2,,2,,2,,2,,2,,,,,
1946,2,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,4,1964,,3,3,5,98,1960,2,1,2,90000,2,,2,,2,,2,,2,,2,,,,,
2178,1,1,,1982,1,2,,,,,1,70000,2,,,,,,,,,,,,,,,,,,,1500,4,1,3,100,1700,1,2,1,400000,2,,2,,2,,2,,2,,2,,1,8000,,
2274,1,1,,1920,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,200,2,3,4,120,1900,2,1,2,100000,2,,2,,1,1,2,,2,,2,,2,,,
2447,1,1,,1979,1,,,,,,2,5000,,,,,,,,,,,,,,,,,,,,500,2,3,4,100,1850,2,1,2,200000,1,2,2,,2,,2,,2,,2,,2,,,
2485,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1953,500,6,3,5,90,1800,2,1,2,100000,2,,2,,2,,2,,2,,2,,,,,
2866,1,1,,1980,1,2,,,,,6,100000,,,,,,,,,,,,,,,,,,,,500,4,1,2,170,1968,1,2,1,150000,2,,2,,2,,2,,2,,2,,2,,,
2875,1,1,,1948,1,,,,,,1,20000,,,,,,,,,,,,,,,,,,,,500,4,3,4,150,1948,2,2,1,200000,2,,2,,2,,2,,2,,2,,2,,,
2886,1,1,,1981,1,2,,,,,1,46000,,,,,,,,,,,,,,,,,,,,500,3,3,3,100,1968,2,2,1,200000,2,,2,,2,,2,,2,,2,,2,,,
2963,1,1,,1975,1,2,,,,,6,40000,,,,,,,,,,,,,,,,,,,,300,3,3,3,80,1968,2,1,1,90000,2,,2,,1,1,2,,2,,2,,2,,,
2970,1,1,,1970,1,2,,,,,5,,,,,,,,,,,,,,,,,,,,,500,2,3,3,80,1960,2,1,1,120000,2,,2,,2,,2,,2,,2,,2,,,
3078,2,,,,,,,,,,,,,,,,,,,,,,,,,,,313,1,1,1987,,4,2,4,96,1946,2,1,2,160000,2,,2,,2,,2,,2,,2,,,,,
3193,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1987,500,2,3,3,100,1980,2,1,1,110000,2,,2,,2,,2,,2,,2,,,,,
