NQUEST,ATTIVP,PARTIME,TUTTANNO,MESILAV,DIMAZ,ORETOT,FERIEDI,FERIENO,PSTRA,ORESTRA,YLM,INTEG,YLNM,NORD
20862,1,1,1,,2,30,2,2,2,,12000,2,0,3
20944,1,1,1,,2,45,1,,1,5,30000,2,0,1
20944,1,1,1,,7,20,1,,2,,27000,2,0,2
20981,1,1,1,,7,42,2,2,2,,40000,1,550,1
20981,1,1,1,,7,16,1,,2,,19000,2,0,2
21368,1,1,1,,7,25,1,,1,2,33000,2,0,1
21368,1,1,1,,7,25,1,,2,,30000,2,0,3
21472,1,1,1,,2,42,1,,2,,20000,1,1500,3
21474,1,1,2,8,5,37,2,6,1,3,57000,1,1000,1
21474,1,1,2,8,2,40,1,,2,,13000,2,0,2
21627,1,1,1,,7,36,1,,2,,22000,2,0,1
21639,1,1,1,,7,38,2,15,2,,48000,1,80,2
21699,1,1,1,,2,36,,,2,,32000,2,0,1
21761,1,1,1,,6,40,1,,2,,23000,2,0,1
21761,1,2,1,,1,6,1,,2,,3000,2,0,2
21772,1,1,1,,2,48,1,,2,,29900,2,0,1
21772,1,1,2,2,4,36,1,,2,,3600,2,0,2
21926,1,1,2,11,7,30,1,,2,,6600,2,0,3
21952,1,1,1,,3,40,1,,1,2,30000,2,0,2
21952,1,1,1,,2,35,1,,2,,25000,2,0,3
22067,1,1,1,,6,35,2,5,1,1,30000,1,10000,2
22074,1,1,1,,7,36,1,,2,,33500,1,1800,1
22155,1,1,1,,7,42,1,,2,,17000,2,0,4
22167,1,1,1,,6,45,1,,1,5,50000,1,2400,1
22167,1,2,3,,2,8,1,,2,,700,2,0,2
22168,1,1,1,,1,50,1,,2,,20000,2,0,1
22203,1,1,1,,5,42,2,20,1,3,20000,2,0,1
22203,1,1,1,,4,40,1,,1,0,20000,2,0,4
22203,1,1,2,8,3,40,1,,1,0,13000,2,0,5
22225,1,1,1,,6,42,2,6,2,,38000,2,0,2
22225,1,1,1,,2,50,1,,2,,24000,2,0,3
22226,1,1,1,,7,36,1,,2,,31000,2,0,1
22262,2,1,2,3,6,40,1,,1,0,10000,2,0,1
22262,1,1,2,6,2,45,1,,1,5,9000,2,0,5
22263,1,1,1,,7,40,1,,1,2,26000,2,0,3
22272,1,2,1,,1,16,2,3,2,,7500,2,0,2
22274,1,1,1,,6,52,2,10,1,8,35000,2,0,1
22274,1,1,1,,3,40,1,,2,,19250,2,0,3
22276,1,1,1,,7,36,1,,1,3,21000,2,0,1
22277,1,1,1,,7,36,2,30,2,,23000,2,0,1
22278,1,1,1,,7,36,2,12,1,0,21000,2,0,1
22278,1,1,1,,2,40,2,17,1,5,27000,2,0,2
22286,1,1,1,,6,36,1,,2,,19500,2,0,1
22353,1,1,1,,6,40,1,,1,2,32000,2,0,1
22516,1,1,1,,5,36,2,10,2,,25000,2,0,1
22516,1,1,1,,5,36,2,36,2,,24000,2,0,2
22516,1,1,1,,2,40,2,5,2,,15000,2,0,3
22550,1,1,1,,7,24,1,,2,,29000,2,0,1
22550,1,1,1,,7,36,1,,2,,25000,2,0,2
22571,1,1,1,,7,36,1,,2,,20000,2,0,2
22624,1,1,1,,2,36,2,15,2,,22000,2,0,1
22657,1,1,1,,4,30,1,,2,,26000,2,0,1
22669,1,1,1,,3,40,1,,2,,32000,2,0,2
22685,1,1,1,,5,50,1,,2,,50000,1,5000,1
22685,1,1,1,,5,40,1,,1,2,32000,2,0,2
22685,1,1,2,4,2,20,1,,2,,2500,2,0,3
22805,1,1,1,,6,42,1,,1,2,24000,2,0,1
22805,1,1,1,,7,38,1,,2,,21000,2,0,2
22807,1,1,1,,1,42,1,,1,4,19000,2,0,1
22807,1,1,1,,1,38,1,,2,,18000,2,0,3
22844,1,1,1,,6,43,2,15,1,5,23000,2,0,2
22844,1,1,1,,2,54,1,,1,7,47000,2,0,3
22850,1,1,1,,7,20,1,,2,,26500,2,0,1
22904,1,1,1,,3,32,1,,2,,12000,2,0,2
22964,1,1,2,10,6,40,1,,2,,24000,2,0,3
22964,1,1,2,1,6,40,1,,2,,1700,2,0,3
22972,1,1,1,,6,40,2,5,1,0,27000,2,0,1
22992,1,1,1,,5,40,2,5,1,2,27000,2,0,1
22993,1,1,1,,7,36,1,,1,2,32500,1,600,1
22993,1,1,1,,7,36,1,,1,2,35000,2,0,2
23149,1,1,1,,4,36,1,,1,1,25000,1,,2
23267,1,1,1,,1,40,2,2,2,,2300,2,0,2
23370,1,1,1,,7,38,1,,1,2,29000,1,200,1
23386,1,1,1,,2,40,1,,1,1,26000,2,0,1
23386,1,1,1,,5,30,2,15,1,0,15000,2,0,2
23409,1,1,1,,7,24,1,,1,0,36000,2,0,3
23473,1,1,1,,3,40,2,25,2,,20000,2,0,3
23474,1,1,1,,7,34,1,,2,,23000,2,0,2
23552,1,1,1,,7,36,2,25,1,20,28000,1,800,1
23552,1,1,1,,7,36,1,,2,,28000,2,0,2
23683,1,1,1,,4,40,1,,2,,40000,2,0,1
23683,1,1,1,,3,50,1,,2,,30000,2,0,2
