NQUEST,NORD,IREG,NQUESTP,NCOMP,SEX,PARENT,ANASC,STACIV,STUDIO,TIPODIP,TIPOLAU,ANNOENUS,APQUAL,ASNONOC,APSETT,NORDP,MOTENT,ETA,CLETA,AREA5,AREA3,ACOM4C,PESOFL,NPERC,PERC,QUAL,Q,SETT,NASCREG,NASCAREA
505949,2,8,,3,2,2,1964,1,5,2,,,2,,2,,,34,2,2,1,1,0.403598808,3,1,2,1,2,8,1
505949,3,8,,3,2,5,1925,1,2,,,,15,1,8,,,73,5,2,1,1,0.403598808,3,1,6,3,5,8,1
505956,1,8,,2,1,1,1966,1,5,2,,,2,,9,,,32,2,2,1,1,0.5655804527,2,1,2,1,3,11,2
505956,2,8,,2,2,2,1967,1,7,,6,,2,,5,,,31,2,2,1,1,0.5655804527,2,1,2,1,4,12,2
505957,1,8,,2,1,1,1926,1,5,1,,,15,2,1,,,72,5,2,1,1,0.4353150809,1,1,6,3,5,,
505957,2,8,,2,2,2,1934,1,3,,,,13,,,,,64,4,2,1,1,0.4353150809,1,0,7,3,5,8,1
505959,1,8,,1,1,1,1962,2,5,2,,,2,,9,,,36,2,2,1,1,0.5631943232,1,1,2,1,3,8,1
505960,1,8,,2,1,1,1941,1,5,2,,,2,,3,,,57,4,2,1,1,0.3827872883,1,1,2,1,2,12,2
505960,2,8,,2,2,2,1947,1,3,,,,13,,,,,51,4,2,1,1,0.3827872883,1,0,7,3,5,8,1
505970,1,8,,2,2,1,1939,4,2,,,,16,,,,,59,4,2,1,1,0.4673012713,2,1,6,3,5,8,1
505970,2,8,,2,1,3,1967,2,4,,,,1,,7,,,31,2,2,1,1,0.4673012713,2,1,1,1,4,8,1
505972,1,8,,1,1,1,1919,4,5,2,,,15,2,2,,,79,5,2,1,1,0.489765365,1,1,6,3,5,12,2
505978,1,8,,1,1,1,1969,2,5,2,,,2,,7,,,29,1,2,1,1,0.5631943232,1,1,2,1,4,8,1
505979,1,8,,2,1,1,1929,1,7,,6,,15,4,9,,,69,5,2,1,1,0.4918403923,2,1,6,3,5,8,1
505979,2,8,,2,2,2,1928,1,5,5,,,15,5,9,,,70,5,2,1,1,0.4918403923,2,1,6,3,5,8,1
505982,1,8,,1,1,1,1964,2,4,,,,2,,2,,,34,2,2,1,1,0.5631943232,1,1,2,1,2,8,1
