NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YM,YM1,YM2,YM3,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
53754,21678.228263,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,12578.228263,8400,0,8400,4178.228263,1346.5404186,820.10296056,2011.5848839,0
53780,40130,26000,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,14130,13250,0,13250,880,880,0,0,0
53793,13052,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,3952,3600,0,3600,352,352,0,0,0
53798,7800,0,0,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53817,25265.168585,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,13565.168585,12600,0,12600,965.16858468,965.16858468,0,0,0
53829,20720,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,3820,3600,0,3600,220,220,0,0,0
53839,27145.14344,0,0,0,26650,26650,26650,0,0,0,0,0,0,0,0,0,495.14344002,0,0,0,495.14344002,495.14344002,0,0,0
53840,62740,32000,32000,0,25350,25350,25350,0,0,0,0,0,0,0,0,0,5390,0,0,0,5390,220,0,5170,0
53844,79976,79000,79000,0,700,0,0,0,700,700,0,0,0,0,0,0,276,100,0,100,176,176,0,0,0
53849,77044,0,0,0,30550,30550,30550,0,0,0,0,0,30000,30000,0,0,16494,12000,0,12000,4494,264,0,4230,0
53871,29698.883553,20400,20400,0,0,0,0,0,0,0,0,0,0,0,0,0,9298.8835526,8400,0,8400,898.88355261,898.88355261,0,0,0
53905,43640,0,0,0,33600,33600,33600,0,0,0,0,0,0,0,0,0,10040,9600,0,9600,440,440,0,0,0
53997,104910,0,0,0,43690,53690,53690,0,-10000,0,0,-10000,32000,32000,0,0,29220,18000,0,18000,11220,880,0,10340,0
54008,79018,41000,41000,0,27950,27950,27950,0,0,0,0,0,0,0,0,0,10068,8400,0,8400,1668,352,0,1316,0
54013,57260,0,0,0,30420,30420,30420,0,0,0,0,0,0,0,0,0,26840,26400,0,26400,440,440,0,0,0
54019,72552,63000,63000,0,1600,0,0,0,1600,1600,0,0,0,0,0,0,7952,8400,0,8400,-448,352,0,0,800
54021,35620,0,0,0,0,0,0,0,0,0,0,0,22500,23000,500,0,13120,6000,0,6000,7120,660,820,5640,0
54116,89720,70000,70000,0,0,0,0,0,0,0,0,0,10400,10400,0,0,9320,0,0,0,9320,880,6560,1880,0
54143,87497.348315,20000,20000,0,40300,40300,40300,0,0,0,0,0,0,0,0,0,27197.348315,10400,0,10400,16797.348315,8800,0,7997.3483151,0
54152,43484.117332,17000,17000,0,13650,13650,13650,0,0,0,0,0,0,0,0,0,12834.117332,10400,0,10400,2434.1173321,1290.8664458,0,1143.2508864,0
54182,22328.33457,13000,13000,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,1528.3345704,0,0,0,1528.3345704,1528.3345704,0,0,0
54183,129520,31000,31000,0,23000,0,0,0,23000,0,0,23000,40000,0,0,40000,35520,20700,3500,17200,14820,1320,4100,9400,0
54239,13992,0,0,0,10392,10392,10392,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
54256,7000,7000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54278,44921.253764,27000,27000,0,17381,17381,17381,0,0,0,0,0,0,0,0,0,540.2537636,0,0,0,540.2537636,540.2537636,0,0,0
54279,20496,16000,16000,0,0,0,0,0,0,0,0,0,4000,4000,0,0,496,100,0,100,396,396,0,0,0
54368,43597.2,45100,45100,0,0,0,0,0,0,0,0,0,0,0,0,0,-1502.8,6000,0,6000,-7502.8,497.2,0,0,8000
54477,52006,0,0,0,34294,34294,34294,0,0,0,0,0,0,0,0,0,17712,14400,0,14400,3312,1056,0,2256,0
54489,16580,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,7480,6600,0,6600,880,880,0,0,0
54502,54340,33120,33000,120,7000,0,0,0,7000,0,0,7000,2000,2000,0,0,12220,12000,0,12000,220,220,0,0,0
54527,71240,25000,25000,0,0,0,0,0,0,0,0,0,37000,37000,0,0,9240,12000,0,12000,-2760,440,0,0,3200
54545,76998,56600,55000,1600,8200,4200,4200,0,4000,4000,0,0,0,0,0,0,12198,9600,0,9600,2598,1188,0,1410,0
54588,98464.575193,85000,80000,5000,0,0,0,0,0,0,0,0,0,0,0,0,13464.575193,12000,0,12000,1464.5751926,1464.5751926,0,0,0
54618,80398.78901,0,0,0,0,0,0,0,0,0,0,0,60449.022846,28000,5075.4196863,37524.442533,19949.766163,18000,0,18000,1949.7661633,1949.7661633,0,0,0
54620,128003.54572,26000,26000,0,81100,81100,81100,0,0,0,0,0,0,0,0,0,20903.545721,12000,0,12000,8903.5457214,958.67778067,0,7944.8679407,0
54626,111288,112000,111000,1000,0,0,0,0,0,0,0,0,0,0,0,0,-712,0,0,0,-712,88,0,0,800
54627,19580,11200,11200,0,7500,7500,7500,0,0,0,0,0,0,0,0,0,880,0,0,0,880,880,0,0,0
54632,55480,45000,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,10480,9600,0,9600,880,880,0,0,0
54635,102486,61100,61100,0,0,0,0,0,0,0,0,0,0,0,0,0,41386,42000,0,42000,-614,660,0,2726,4000
54673,25320,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,5320,5100,0,5100,220,220,0,0,0
54679,68640,0,0,0,29900,29900,29900,0,0,0,0,0,0,0,0,0,38740,33600,0,33600,5140,440,0,4700,0
54680,79817.071331,76000,76000,0,0,0,0,0,0,0,0,0,0,0,0,0,3817.0713312,9600,0,9600,-5782.928669,937.0713312,0,0,6720
54683,44055.483398,0,0,0,34970,34970,34970,0,0,0,0,0,0,0,0,0,9085.4833981,10260,3600,6660,-1174.516602,1065.4833981,0,0,2240
54684,34742.306883,0,0,0,24830,24830,24830,0,0,0,0,0,0,0,0,0,9912.3068833,8400,0,8400,1512.3068833,1512.3068833,0,0,0
54693,41714,17500,17500,0,13910,13910,13910,0,0,0,0,0,0,0,0,0,10304,9600,0,9600,704,704,0,0,0
54694,38900,4500,4500,0,23920,23920,23920,0,0,0,0,0,0,0,0,0,10480,9600,0,9600,880,880,0,0,0
54696,22257,0,0,0,22235,9035,9035,0,13200,13200,0,0,0,0,0,0,22,0,0,0,22,22,0,0,0
54702,89675.639908,85000,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,4675.6399084,6000,0,6000,-1324.360092,275.63990842,0,0,1600
54706,31814.346892,0,0,0,24900,29900,29900,0,-5000,0,0,-5000,0,0,0,0,6914.3468924,6000,0,6000,914.34689236,914.34689236,0,0,0
54711,78664.407068,23000,23000,0,26520,26520,26520,0,0,0,0,0,0,0,0,0,29144.407068,24000,0,24000,5144.4070677,1116.9890444,0,4027.4180233,0
54723,132496.59016,62000,62000,0,0,0,0,0,0,0,0,0,5456.5901572,5500,43.409842789,0,65040,49000,0,49000,16040,440,0,18800,3200
54763,64160.454226,0,0,0,0,0,0,0,0,0,0,0,59444.454226,40000,555.5457745,20000,4716,6000,0,6000,-1284,176,0,940,2400
