NQUEST,DEPBANC,NDEPBANC,IDEPBANC,DEPBANR,NDEPBANR,IDEPBANR,DEPPOSR,NDEPPOSR,IDEPPOSR,DEPPOSC,NDEPPOSC,IDEPPOSC,UNABAN,BANCHE,INTERMED,NINTERME,ANNIBAN,PREFBA1,PREFBA2,PREFBA3,PREFBA4,PREFBA5,PREFBA6,PREFBA7,PREFBA8,PREFBA9,PREFBA10,PREFBA11,TAXCC2,SCOPER,TSCOPER,ASSBAN,NASSBAN,NASSBAN2,ASSBANE1,ASSBANE2,ASSBANE3,ASSBANE4,ASSBANE5,ASSBANE6,ASSBANE0,PAGAM3U,PAGAM2U,PAGAM5U,PAGAM6U,MOTNAD1,MOTNAD2,MOTNAD3,MOTNAD4,MOTNAD5,MOTNAD6,MOTNAD7,MOTNAD8,MOTNAD9,PAGAM1U,PAGAM1,BONIFIE1,BONIFIE2,BONIFIE3,BONIFIE4,BONIFIE5,BONIFIE6,BONIFIE0,BANCOMAT,NBANCOMA,NPREL1,NPREL1AN,BANCOME1,BANCOME2,BANCOME3,BANCOME4,BANCOME5,BANCOME6,BANCOME0,PRELMED1,PAGAM4U,PAGAM4,PAGAM4AN,POSE1,POSE2,POSE3,POSE4,POSE5,POSE6,POSE0,CARTA,CARTE,CARTARAT,PCARTE,NPAGCART,NPAGCAAN,CARTEE1,CARTEE2,CARTEE3,CARTEE4,CARTEE5,CARTEE6,CARTEE0,MINCON,NPREL2,NPREL2AN,PRELE1,PRELE2,PRELE3,PRELE4,PRELE5,PRELE6,PRELE0,PRELMED2,VERSAM,NVERS,VERSE1,VERSE2,VERSE3,VERSE4,VERSE5,VERSE6,VERSE0,VERSMED,QPAGENT1,QPAGENT2,QPAGENT3,QPAGENT4,QPAGENT5,PAGENT1,PAGENT2,PAGENT3,PAGENT4,PAGENT5,SCORTA,SCORE1,SCORE2,SCORE3,SCORE4,SCORE5,SCORE6,SCORE0,SPESECON,SPESECE1,SPESECE2,SPESECE3,SPESECE4,SPESECE5,SPESECE6,SPESECE0,INTERNET,ACQINTER,TAXCC
503303,1,1,2,2,,,2,,,2,,,1,1,2,,1,1,0,0,0,0,0,0,0,0,0,0,,2,,2,,,,,,,,,,2,2,2,2,0,0,0,1,0,0,0,0,0,2,,,,,,,,,1,1,0,1,,,,,,,1,300,1,0,1,,,,,,,1,2,,,,,,,,,,,,,0,0,0,,,,,,,1,,2,,,,,,,,,,100,,,,,1,2,2,2,2,200,,,,,,,1,1000,,,,,,,1,2,,2
503308,1,1,2,1,1,1,2,,,2,,,1,1,2,,4,0,0,0,0,1,1,0,0,0,0,0,,2,,1,1,,,,,,,,1,1,2,1,2,,,,,,,,,,2,,,,,,,,,1,1,3,,,,,,,,1,100,1,3,,,,,,,,1,2,,,,,,,,,,,,,100,0,0,,,,,,,1,,1,10,,,,,,,1,1200,,,100,,,2,2,1,2,2,2000,,,,,,,1,2000,,,,,,,1,2,,2.5
503309,1,1,1,2,,,2,,,2,,,1,1,2,,2,0,1,0,0,0,0,0,0,0,0,0,3,2,,2,,,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,1,3,,,,,,,,,200,2,,,,,,,,,,2,,,,,,,,,,,,,300,0,0,,,,,,,,,1,12,,,,,,,,500,30,,70,,,1,2,1,2,2,300,,,,,,,,500,,,,,,,,2,,
503313,1,1,2,2,,,2,,,2,,,1,1,2,,4,1,1,0,0,0,0,0,0,0,0,0,,3,,1,0,7,3,,,,,,0,2,2,2,2,0,0,0,1,0,0,0,0,0,2,,,,,,,,,1,2,2,,3,,,,,,0,300,1,4,,3,,,,,,0,2,,,,,,,,,,,,,100,0,0,3,,,,,,0,,2,,,,,,,,,,50,,50,,,1,2,1,2,2,500,3,,,,,,0,2000,3,,,,,,0,2,,5
503317,1,3,3,2,,,2,,,2,,,2,2,2,,4,1,0,0,0,0,0,0,1,0,0,0,2,3,,1,0,6,,,,,,,1,1,1,2,2,,,,,,,,,,2,,,,,,,,,1,3,6,,,,,,,,1,500,2,,,,,,,,,,1,2,2,2,0,0,,,,,,,1,200,1,,,,,,,,1,500,1,4,,,,,,,1,500,30,40,30,,,1,1,1,2,2,400,,,,,,,1,2000,,,,,,,1,2,,
503320,1,1,2,2,,,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,1,0,0,0,,1,3000,1,5,,,,,,,,1,2,2,1,2,0,1,0,0,0,0,0,0,0,2,,,,,,,,,1,1,2,,,,,,,,1,1000,2,,,,,,,,,,1,3,2,3,6,,,,,,,,1,100,0,0,,,,,,,1,,1,3,,,,,,,1,1000,30,70,,,,1,1,2,2,2,100,,,,,,,1,800,,,,,,,1,2,,2.5
503326,2,,,1,2,2,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,0,3,,,,,,,1,800,1,3,,,,,,,1,800,100,,,,,1,2,2,2,2,800,,,,,,,1,1500,,,,,,,1,2,,
503332,1,1,1,2,,,2,,,2,,,1,1,2,,3,1,0,0,0,0,0,0,0,0,0,0,,2,,1,0,10,,,,,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,,,,,,,,,1,1,2,,,,,,,,,100,1,1,,,,,,,,,2,,,,,,,,,,,,,10,0,0,,,,,,,,,1,5,,,,,,,,300,,100,,,,2,1,2,2,2,300,,,,,,,,600,,,,,,,,1,2,1.5
503338,1,1,1,2,,,2,,,2,,,1,1,2,,2,0,0,0,0,0,0,0,0,0,0,0,,1,400,1,0,2,,,,,,,,2,2,1,2,0,0,0,0,1,0,0,0,0,2,,,,,,,,,1,1,1,,,,,,,,,500,2,,,,,,,,,,1,1,2,,0,8,,,,,,,,80,1,,,,,,,,,300,2,,,,,,,,,,,100,,,,2,1,2,2,2,200,,,,,,,,500,,,,,,,,2,,0
503342,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,2,2,1,2,2,2000,,,,,,,1,1000,,,,,,,1,2,,
503358,1,1,1,2,,,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,1,2,,1,0,4,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,50,1,,,,,,,,,500,2,,,,,,,,,,,100,,,,2,1,2,2,2,500,,,,,,,,500,,,,,,,,2,,
503359,1,1,2,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,1,1,0,0,0,,3,,1,0,10,,,,,,,1,1,2,1,2,,,,,,,,,,1,5,,,,,,,1,1,1,0,10,,,,,,,1,500,1,12,,,,,,,,1,1,1,2,,2,,,,,,,,1,1000,3,,,,,,,,1,1000,2,,,,,,,,,,,100,,,,2,1,2,2,2,1000,,,,,,,1,1500,,,,,,,1,2,,2.5
503365,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,1,0,0,0,,1,2000,1,0,1,,,,,,,,1,1,1,2,,,,,,,,,,2,,,,,,,,,1,1,1,,,,,,,,,500,2,,,,,,,,,,2,,,,,,,,,,,,,0,0,0,,,,,,,,,2,,,,,,,,,,,100,,,,2,1,2,2,2,500,,,,,,,,700,,,,,,,,2,,3
503366,1,1,1,2,,,2,,,2,,,1,1,2,,4,1,1,0,0,0,0,0,0,0,0,0,,1,5000,1,0,10,,,,,,,1,1,1,1,2,,,,,,,,,,1,10,,,,,,,1,1,2,5,,,,,,,,1,300,1,1,,,,,,,,1,1,2,2,2,4,,,,,,,,1,200,1,,,,,,,,1,1000,2,,,,,,,,,,,,100,,,2,2,1,2,2,700,,,,,,,1,4000,,,,,,,1,1,2,1.75
503367,1,1,1,2,,,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,,3,,1,0,6,,,,,,,,1,2,2,2,,,,,,,,,,1,2,,,,,,,,1,1,3,,,,,,,,,400,1,1,,,,,,,,,2,,,,,,,,,,,,,0,0,0,,,,,,,,,2,,,,,,,,,,,90,10,,,2,1,1,2,2,400,,,,,,,,1000,,,,,,,,2,,0.75
503369,1,1,2,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,1,0,0,0,,3,,1,0,3,,,,,,,1,1,2,2,1,,,,,,,,,,2,,,,,,,,,1,1,0,0,,,,,,,1,,2,,,,,,,,,,2,,,,,,,,,,,,,1000,0,0,,,,,,,1,,1,12,,,,,,,1,700,40,60,,,,1,1,2,2,2,1000,,,,,,,1,1500,,,,,,,1,2,,3
503374,1,1,1,2,,,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,,2,,2,,,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,300,1,,,,,,,,,1600,2,,,,,,,,,,,100,,,,2,1,2,2,2,1000,,,,,,,,1300,,,,,,,,2,,2.5
503376,1,1,1,2,,,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,,2,,2,,,,,,,,,,2,2,2,2,0,1,0,0,0,0,0,0,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,50,1,,2,,,,,,0,1500,2,,,,,,,,,,,100,,,,2,1,2,2,2,1500,,,,,,,1,1500,,,,,,,1,2,,0.75
503379,1,3,2,2,,,2,,,2,,,2,3,2,,4,1,0,0,0,0,0,0,0,0,0,0,,1,1500,1,0,5,,,,,,,1,1,1,1,1,,,,,,,,,,2,,,,,,,,,1,2,1,,,,,,,,1,1000,2,,,,,,,,,,1,2,2,2,2,,,,,,,,1,0,0,7,,,,,,,1,1000,2,,,,,,,,,,,80,20,,,2,1,1,2,2,1000,,,,,,,1,1000,,,,,,,1,2,,0.25
503380,1,2,2,2,,,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,,2,,1,3,,,,,,,,1,1,1,2,2,,,,,,,,,,2,,,,,,,,,1,2,2,,,,,,,,1,400,1,4,,,,,,,,1,2,,,,,,,,,,,,,0,2,,,,,,,,1,400,2,,,,,,,,,,,100,,,,2,1,2,2,2,400,,,,,,,1,1000,,,,,,,1,2,,1.25
503384,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,1,0,0,0,0,2,2,,2,,,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,800,1,,,,,,,,,1500,2,,,,,,,,,,,100,,,,2,1,2,2,2,700,,,,,,,,700,,,,,,,,2,,
503386,1,2,3,2,,,2,,,2,,,1,1,2,,1,0,0,0,0,0,0,0,1,0,0,0,1,2,,2,,,,,,,,,,2,2,2,2,0,1,0,0,0,0,0,0,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,50,3,,,,,,,,1,500,2,,,,,,,,,,,100,,,,2,1,2,2,2,1000,,,,,,,1,2000,,,,,,,1,2,,
503393,1,1,2,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,1,1,0,0,0,0,0,2,3,,1,3,,,,,,,,1,2,2,2,2,0,0,0,0,0,0,0,1,0,2,,,,,,,,,1,1,2,,,,,,,,1,500,2,,,,,,,,,,2,,,,,,,,,,,,,200,0,0,,,,,,,1,,2,,,,,,,,,,,50,50,,,2,1,1,2,2,500,,,,,,,1,1500,,,,,,,1,2,,2
503410,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,1,2,2,2,2,1000,,,,,,,,1000,,,,,,,,2,,
503417,1,3,2,2,,,2,,,2,,,2,2,2,,2,1,0,0,0,0,0,0,0,0,0,0,,2,,1,0,2,,,,,,,1,1,1,1,2,,,,,,,,,,1,2,,,,,,,1,1,2,6,,,,,,,,1,500,1,2,,,,,,,,1,1,1,1,,2,,,,,,,,1,200,0,6,,,,,,,1,500,1,8,,,,,,,1,1000,20,40,40,,,1,1,1,2,2,500,,,,,,,1,1400,,,,,,,1,2,,1.8
503429,1,1,2,2,,,2,,,2,,,1,1,2,,3,1,0,0,0,0,0,0,0,0,0,0,2,2,,1,0,4,,,,,,,1,2,2,2,2,0,0,0,0,0,0,0,0,0,2,,,,,,,,,1,1,6,,,,,,,,1,100,2,,,,,,,,,,2,,,,,,,,,,,,,50,0,0,,,,,,,1,,2,,,,,,,,,,,,100,,,2,2,1,2,2,1000,,,,,,,1,1500,,,,,,,1,2,,
503431,1,1,2,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,0,0,0,0,,2,,1,0,10,3,,,,,,0,1,2,1,2,,,,,,,,,,2,,,,,,,,,1,1,4,,3,,,,,,0,500,2,,,,,,,,,,1,3,2,3,1,,,,,,,,1,300,0,20,,,,,,,1,500,2,,,,,,,,,,,100,,,,2,1,2,2,2,300,,,,,,,1,2000,,,,,,,1,2,,3.5
503435,1,3,2,1,2,2,2,,,2,,,2,2,2,,4,0,0,0,0,0,0,0,1,0,0,0,,1,10000,1,3,,,,,,,,1,2,1,1,1,0,0,0,0,0,0,0,1,0,1,3,,,,,,,1,1,3,12,,,,,,,,1,500,1,15,,,,,,,,1,1,3,1,2,0,20,,,,,,,1,200,1,,,,,,,,1,500,1,10,,,,,,,1,500,,70,30,,,2,1,1,2,2,800,,,,,,,1,1500,,,,,,,1,1,2,4
503436,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,1,0,0,0,0,0,0,0,0,0,,1,2000,1,2,,3,4,,,,,0,2,1,1,1,0,0,0,1,0,0,0,0,0,1,4,3,4,,,,,0,1,1,2,,3,4,,,,,0,500,1,1,,3,4,,,,,0,2,,,,,,,,,,,,,0,2,,3,4,,,,,0,500,2,,,,,,,,,,,100,,,,2,1,2,2,2,250,3,4,,,,,0,2000,,,,,,,1,2,,0.75
503437,1,3,3,2,,,2,,,2,,,2,2,2,,4,0,0,0,0,0,0,0,1,0,0,0,,1,1500,1,0,10,,,,,,,1,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,2,8,,,,,,,,1,500,1,1,,,,,,,,1,1,1,2,,0,10,,,,,,,1,50,0,0,,,,,,,1,,2,,,,,,,,,,,100,,,,2,1,2,2,2,250,,,,,,,1,2500,,,,,,,1,2,,0.75
503441,1,3,4,2,,,2,,,2,,,2,2,2,,4,0,0,0,0,0,0,0,1,0,0,0,,1,5000,1,2,,,,,,,,1,2,2,1,2,0,0,0,1,0,0,0,0,0,1,1,,,,,,,1,1,3,3,,,,,,,,1,500,1,1,,,,,,,,1,1,3,2,3,0,10,,,,,,,1,1000,2,,,,,,,,1,500,1,3,,,,,,,1,300,5,40,55,,,1,1,1,2,2,1000,,,,,,,1,2000,,,,,,,1,1,2,2.75
503443,1,2,2,2,,,2,,,2,,,2,2,2,,2,0,0,0,0,0,0,1,0,0,0,0,,2,,1,1,,,,,,,,1,2,2,1,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,1,3,5,,,,,,,,1,400,1,5,,,,,,,,1,1,3,2,2,0,5,,,,,,,1,100,0,0,,,,,,,1,,1,3,,,,,,,1,500,,97,3,,,2,1,1,2,2,300,,,,,,,1,1500,,,,,,,1,1,2,3
503448,1,1,2,2,,,2,,,2,,,1,1,2,,2,0,0,0,0,0,0,0,1,0,0,0,,1,5000,1,0,4,,,,,,,1,2,2,2,2,0,0,0,0,0,0,0,0,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,50,0,6,,,,,,,1,2000,2,,,,,,,,,,,100,,,,2,1,2,2,2,600,,,,,,,1,2100,,,,,,,1,2,,0.87
503449,2,,,2,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,,,,,,,1,,1,20,,,,,,,1,400,100,,,,,1,2,2,2,2,200,,,,,,,1,800,,,,,,,1,2,,
503450,1,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,,,2,1,1,2,2,500,,,,,,,1,2000,,,,,,,1,2,,
503468,1,1,1,2,,,2,,,2,,,1,1,1,1,4,0,0,0,0,0,0,1,0,0,0,0,,1,6000,1,1,,,,,,,,1,1,2,1,1,,,,,,,,,,2,,,,,,,,,1,1,4,,,,,,,,1,400,1,5,,,,,,,,1,1,1,2,,0,6,,,,,,,1,100,0,0,,,,,,,1,,2,,,,,,,,,,,100,,,,2,1,2,2,2,200,,,,,,,1,1500,,,,,,,1,1,2,0.75
503481,1,1,2,1,2,2,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,,1,3200,1,3,,,,,,,,1,2,1,1,1,0,0,0,0,0,1,0,0,0,1,60,,,,,,,1,1,2,10,,,,,,,,1,300,2,,,,,,,,,,1,1,1,,10,,,,,,,,1,3,0,0,,,,,,,1,,2,,,,,,,,,,,100,,,,2,1,2,2,2,100,,,,,,,1,100,,,,,,,1,1,2,2.5
503487,1,3,2,2,,,2,,,2,,,2,2,2,,2,0,0,0,0,0,0,1,0,0,0,0,,1,8000,1,0,4,,,,,,,1,1,2,1,2,,,,,,,,,,1,3,,,,,,,1,1,2,4,,,,,,,,1,500,1,20,,,,,,,,1,1,1,2,,10,,,,,,,,1,200,0,0,,,,,,,1,,1,10,,,,,,,1,1500,,95,5,,,2,1,1,2,2,500,,,,,,,1,1500,,,,,,,1,1,2,1.25
503488,1,2,3,2,,,2,,,2,,,1,1,1,1,4,1,0,0,0,0,0,0,1,0,0,0,,1,10000,1,15,,,,,,,,1,1,1,1,1,,,,,,,,,,1,20,,,,,,,1,1,2,8,,,,,,,,1,600,1,0,2,,,,,,,1,1,2,2,2,12,,,,,,,,1,200,0,0,,,,,,,1,,2,,,,,,,,,,,90,10,,,2,1,1,2,2,800,,,,,,,1,4000,,,,,,,1,2,,3.5
503490,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,1,0,0,0,0,2,2,,1,1,,,,,,,,1,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,1,3,,,,,,,,1,500,1,4,,,,,,,,1,1,1,2,,0,0,,,,,,,1,50,0,0,,,,,,,1,,2,,,,,,,,,,,100,,,,2,1,2,2,2,500,,,,,,,1,1500,,,,,,,1,2,,
503493,1,1,1,2,,,2,,,2,,,1,1,2,,2,1,0,0,0,0,0,0,0,0,0,0,,2,,1,3,,,,,,,,,1,1,1,2,,,,,,,,,,2,,,,,,,,,1,1,3,,,,,,,,,300,1,3,,,,,,,,,1,1,1,,4,,,,,,,,,50,0,2,,,,,,,,300,1,5,,,,,,,,1000,,100,,,,2,1,2,2,2,100,,,,,,,,2500,,,,,,,,2,,2.5
503503,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,1,0,0,0,0,0,0,0,0,0,3,2,,1,0,7,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,1,2,,,,,,,,,500,1,4,,,,,,,,,1,1,2,,8,,,,,,,,,100,0,0,,,,,,,,,2,,,,,,,,,,,100,,,,2,1,2,2,2,400,,,,,,,,1000,,,,,,,,2,,
503504,1,1,1,2,,,2,,,2,,,1,1,2,,1,0,0,0,0,0,0,1,0,0,0,0,6,2,,2,,,,,,,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,,,,,,,,,1,1,3,,,,,,,,,500,1,2,,,,,,,,,1,2,2,1,2,,,,,,,,,300,0,0,,,,,,,,,2,,,,,,,,,,,100,,,,2,1,2,2,2,300,,,,,,,,1500,,,,,,,,2,,
503506,1,2,2,2,,,2,,,2,,,1,1,2,,2,1,0,0,0,0,0,0,0,0,0,0,,1,3000,1,2,,,,,,,,1,1,2,1,2,,,,,,,,,,1,3,,,,,,,1,1,1,1,,,,,,,,1,200,1,3,,,,,,,,1,2,,,,,,,,,,,,,0,0,2,,,,,,,1,500,1,12,,,,,,,1,3000,,5,95,,,2,1,1,2,2,500,,,,,,,1,1000,,,,,,,1,1,2,3
503513,1,1,1,2,,,2,,,2,,,1,1,2,,4,0,0,0,0,0,0,0,1,0,0,0,,2,,1,0,10,,,,,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,,,,,,,,,1,1,5,,,,,,,,,500,2,,,,,,,,,,1,1,2,,0,0,,,,,,,,200,0,5,,,,,,,,500,2,,,,,,,,,,,,100,,,2,2,1,2,2,300,,,,,,,,2000,,,,,,,,2,,0.25
503518,1,3,3,2,,,2,,,2,,,2,3,2,,1,0,0,0,0,0,0,1,0,0,0,0,,3,,1,4,,3,,,,,,0,2,2,2,2,0,0,0,0,0,1,0,0,0,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,500,0,0,3,,,,,,0,,1,20,3,,,,,,0,1000,50,50,,,,1,1,2,2,2,500,,,,,,,1,1500,,,,,,,1,2,,3
503530,1,2,2,2,,,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,1,0,0,0,6,3,,1,0,5,,,,,,,1,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,2,2,,,,,,,,1,200,2,,,,,,,,,,2,,,,,,,,,,,,,100,0,0,,,,,,,1,,2,,,,,,,,,,,100,,,,2,1,2,2,2,200,,,,,,,1,1200,,,,,,,1,1,2,
503532,1,5,5,2,,,2,,,2,,,2,3,2,,4,1,0,0,0,0,0,0,0,0,0,0,,2,,1,2,,3,4,5,,,,0,1,2,1,2,,,,,,,,,,2,,,,,,,,,1,1,44,,3,4,5,,,,0,700,1,4,,3,4,5,,,,0,1,5,2,3,5,,2,,,,,,0,50,2,,3,4,5,,,,0,700,2,,,,,,,,,,,90,10,,,2,1,1,2,2,2400,,,,,,,1,2400,,,,,,,1,1,2,0.75
503535,1,1,2,2,,,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,1,2,,1,4,,,,,,,,1,2,2,2,2,0,0,0,0,0,0,0,1,0,2,,,,,,,,,1,1,4,,,,,,,,1,500,2,,,,,,,,,,2,,,,,,,,,,,,,100,0,0,,,,,,,1,,2,,,,,,,,,,,,100,,,2,2,1,2,2,200,,,,,,,1,1000,,,,,,,1,2,,
503541,1,1,2,2,,,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,3,1,10000,1,2,,,,,,,,1,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,1,3,,,,,,,,1,500,1,4,,,,,,,,1,1,1,2,,2,,,,,,,,1,100,2,,,,,,,,1,500,2,,,,,,,,,,,100,,,,2,1,2,2,2,2000,,,,,,,1,3000,,,,,,,1,2,,
503543,1,1,1,2,,,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,6,2,,1,2,,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,1,2,,,,,,,,,200,1,2,,,,,,,,,2,,,,,,,,,,,,,100,0,0,,,,,,,,,2,,,,,,,,,,,100,,,,2,1,2,2,2,200,,,,,,,,1000,,,,,,,,2,,
503545,1,1,1,2,,,2,,,2,,,1,1,2,,1,1,0,0,0,0,0,0,0,0,0,0,,2,,1,1,,,,,,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,1,2,,,,,,,,1,1,2,,,,,,,,,500,1,3,,,,,,,,,2,,,,,,,,,,,,,200,0,0,,,,,,,,,2,,,,,,,,,,,100,,,,2,1,2,2,2,500,,,,,,,,1500,,,,,,,,2,,0.45
503547,1,2,2,2,,,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,,2,,1,8,,3,,,,,,0,2,2,2,2,0,0,0,0,0,0,1,0,0,2,,,,,,,,,1,1,0,0,3,,,,,,0,,2,,,,,,,,,,1,1,2,,0,0,,,,,,,1,500,0,0,3,,,,,,0,,1,30,3,,,,,,0,2000,50,,50,,,1,2,1,2,2,2000,,,,,,,1,2000,,,,,,,1,2,,2
503548,1,2,2,2,,,2,,,2,,,1,1,2,,3,0,0,0,1,0,0,0,0,0,0,0,2,1,10000,1,2,,,,,,,,1,1,2,2,2,,,,,,,,,,1,10,,,,,,,1,1,1,1,,,,,,,,1,100,2,,,,,,,,,,2,,,,,,,,,,,,,200,0,0,,,,,,,1,,1,60,,,,,,,1,3000,70,10,20,,,1,1,1,2,2,1500,,,,,,,1,3000,,,,,,,1,2,,
503551,1,1,2,2,,,2,,,2,,,1,1,2,,3,1,0,0,0,0,0,0,0,0,0,0,1,2,,1,3,,,,,,,,1,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,1,4,,,,,,,,1,500,1,4,,,,,,,,1,2,,,,,,,,,,,,,200,0,0,,,,,,,1,,2,,,,,,,,,,,100,,,,2,1,2,2,2,1000,,,,,,,1,3500,,,,,,,1,2,,
503555,2,,,2,,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,0,,,,,,,1,,2,,,,,,,,,,100,,,,,1,2,2,2,2,300,,,,,,,1,1000,,,,,,,1,2,,
503560,1,1,2,2,,,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,,2,,1,2,,3,4,,,,,0,1,1,2,2,,,,,,,,,,2,,,,,,,,,1,1,1,,2,,,,,,0,200,1,3,,2,,,,,,0,2,,,,,,,,,,,,,1000,0,0,,,,,,,1,,2,,,,,,,,,,,100,,,,2,1,2,2,2,2000,,,,,,,1,2000,,,,,,,1,2,,1.5
503561,1,2,2,2,,,2,,,2,,,2,2,2,,4,1,0,0,0,0,0,0,0,0,0,0,,1,2000,1,2,,3,4,,,,,0,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,1,10,,,,,,,,1,500,1,8,,,,,,,,1,1,1,2,,1,,3,4,,,,,0,300,2,,,,,,,,1,1000,2,,,,,,,,,,,50,50,,,2,1,1,2,2,4000,,,,,,,1,4000,,,,,,,1,2,,1.5
503578,1,1,2,2,,,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,,1,4000,1,1,,3,,,,,,0,1,2,1,2,,,,,,,,,,2,,,,,,,,,1,1,5,,3,,,,,,0,500,2,,,,,,,,,,1,2,2,2,5,,3,,,,,,0,200,0,0,3,,,,,,0,,2,,,,,,,,,,,100,,,,2,1,2,2,2,2000,3,,,,,,0,1000,3,,,,,,0,1,2,1
503580,1,1,2,2,,,2,,,2,,,1,1,2,,4,1,0,0,0,0,0,0,0,0,0,0,1,1,4000,2,,,,,,,,,,1,2,2,2,,,,,,,,,,2,,,,,,,,,1,1,4,,,,,,,,1,300,1,1,,,,,,,,1,2,,,,,,,,,,,,,200,2,,,,,,,,1,500,2,,,,,,,,,,,100,,,,2,1,2,2,2,400,,,,,,,1,1000,,,,,,,1,2,,
