NQUEST,NORD,YL2,YL1,YTP1,YTP2,YTA1,YTA2,YM3,YL,YTP,YTA3,YTA,YT,YM1,YM2,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y
2970,1,0,0,0,0,0,0,0,0,0,0,0,0,30000,2000,28000,0,6000,6000,0,0,0,0,0,6000,34000
3078,1,0,0,0,0,0,0,0,0,0,0,0,0,85000,15000,70000,0,0,0,616,0,0,0,616,616,70616
3078,2,0,0,0,0,0,0,0,0,0,0,0,0,28000,5000,23000,0,0,0,0,0,0,0,0,0,23000
3193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,66,0,0,0,66,6066,6066
3193,2,0,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
3203,1,0,0,24050,0,0,0,0,0,24050,0,0,24050,0,0,0,0,33200,33200,1263.2727091,6704.4061505,18542.599314,0,26510.278173,59710.278173,83760.278173
3203,2,0,20000,0,0,3000,0,0,20000,0,0,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,23000
3299,1,0,25000,0,0,1500,0,0,25000,0,0,1500,1500,0,0,0,0,0,0,624.1723569,0,0,0,624.1723569,624.1723569,27124.172357
3299,3,0,5000,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
3299,4,0,20000,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
3663,1,0,0,26076,0,0,0,0,0,26076,0,0,26076,0,0,0,0,8400,8400,880,0,0,0,880,9280,35356
3717,1,0,10000,0,0,0,0,0,10000,0,2000,2000,2000,0,0,0,0,0,0,1043.83097,0,0,0,1043.83097,1043.83097,13043.83097
3905,1,0,0,24000,0,0,0,0,0,24000,0,0,24000,0,0,0,0,22000,22000,168.66536302,0,0,0,168.66536302,22168.665363,46168.665363
3905,3,0,18000,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000
4236,1,0,0,15990,0,0,0,0,0,15990,0,0,15990,0,0,0,0,0,0,2200,0,0,0,2200,2200,18190
4238,1,0,0,9750,0,0,0,0,0,9750,-5000,-5000,4750,0,0,0,0,8550,8550,57.2,820,0,0,877.2,9427.2,14177.2
4238,2,0,0,5200,0,400,0,0,0,5200,0,400,5600,0,0,0,0,0,0,0,0,0,0,0,0,5600
4266,1,0,0,19500,0,0,0,0,0,19500,0,0,19500,0,0,0,0,24300,24300,1117.6,0,0,800,317.6,24617.6,44117.6
4266,4,0,17200,0,0,0,0,0,17200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17200
4266,5,0,22195.50804,0,0,0,0,0,22195.50804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22195.50804
4266,6,0,0,13000,0,0,0,0,0,13000,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,13000
4297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,12000,1320,0,0,0,1320,13320,13320
4297,2,0,0,23530,0,0,0,0,0,23530,0,0,23530,0,0,0,0,0,0,0,0,0,0,0,0,23530
4370,1,0,40000,0,0,0,0,0,40000,0,0,0,0,6000,200000,-194000,0,30000,30000,264,0,9494,224,9534,39534,-114466
4370,2,0,15000,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000
4370,3,0,25000,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000
4732,1,0,8000,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,6000,6000,0,0,0,0,0,6000,14000
4939,1,0,0,0,0,0,0,0,0,0,0,0,0,15000,1000,14000,0,14400,14400,484,0,0,0,484,14884,28884
4939,5,0,0,12350,0,0,0,0,0,12350,0,0,12350,0,0,0,0,0,0,0,0,0,0,0,0,12350
5027,1,0,0,9600,0,0,0,0,0,9600,0,0,9600,0,0,0,0,3600,3600,0,0,0,0,0,3600,13200
5028,1,0,17000,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000
5028,3,0,3200,0,0,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200
5416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.35757505,0,0,0,727.35757505,727.35757505,727.35757505
5416,3,0,14800,0,0,0,0,0,14800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14800
5816,1,0,0,17810,0,0,0,0,0,17810,0,0,17810,0,0,0,0,18005.594194,18005.594194,528,1640,0,0,2168,20173.594194,37983.594194
5816,2,0,0,8931,0,0,0,0,0,8931,0,0,8931,0,0,0,0,0,0,0,0,0,0,0,0,8931
6090,1,0,0,13650,0,0,0,0,0,13650,0,0,13650,0,0,0,0,4800,4800,0,0,0,0,0,4800,18450
6090,2,0,30000,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000
6501,1,1200,45000,0,0,0,0,0,46200,0,0,0,0,0,0,0,0,0,0,880,1640,0,0,2520,2520,48720
6522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,898.92722854,0,0,1440,-541.0727715,5458.9272285,5458.9272285
6522,2,0,23800,0,0,0,0,0,23800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23800
7015,1,0,0,0,0,0,0,0,0,0,0,0,0,36000,10000,26000,0,8500,8500,3080,0,0,0,3080,11580,37580
7089,1,0,0,0,0,0,0,0,0,0,0,0,0,22000,500,21500,0,0,0,528,0,0,0,528,528,22028
7089,3,0,0,15600,0,0,0,0,0,15600,0,0,15600,0,0,0,0,0,0,0,0,0,0,0,0,15600
7091,1,0,0,42640,0,0,0,0,0,42640,0,0,42640,0,0,0,0,7200,7200,432.0471613,2870,0,0,3302.0471613,10502.047161,53142.047161
7091,3,0,21600,0,0,0,0,0,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21600
7097,1,0,28000,0,0,0,0,0,28000,0,0,0,0,0,0,0,0,7200,7200,31875.935925,0,0,0,31875.935925,39075.935925,67075.935925
7097,3,0,10000,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
7098,1,0,0,0,0,0,0,0,0,0,0,0,0,18000,500,17500,0,8400,8400,264,0,0,0,264,8664,26164
7098,3,0,0,10400,0,0,0,0,0,10400,0,0,10400,0,0,0,0,0,0,0,0,0,0,0,0,10400
7160,1,0,0,8060,0,0,0,0,0,8060,0,0,8060,0,0,0,36000,18000,54000,1760,0,75200,0,76960,130960,139020
7160,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7160,3,0,8000,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000
7165,1,0,27000,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,12000,12000,281.6,0,0,0,281.6,12281.6,39281.6
7165,2,0,28000,0,0,0,0,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000
7166,1,0,0,35100,0,0,0,0,0,35100,0,0,35100,0,0,0,1800,18600,20400,660,0,0,0,660,21060,56160
7166,2,0,26000,0,0,0,0,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000
7166,3,2400,27000,0,0,0,0,0,29400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29400
7781,1,0,0,11960,1500,0,0,0,0,13460,0,0,13460,0,0,0,0,3600,3600,412.80603874,0,1329.1417413,0,1741.94778,5341.94778,18801.94778
7886,1,2000,52000,0,0,0,0,0,54000,0,0,0,0,0,0,0,0,12000,12000,660,0,0,0,660,12660,66660
