NQUEST,ANABIT,GODABIT,UNIPRO,QUOPRO,ASCLIMA,ASSISMA,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS1,IMPACQ2,FITTONOP,TFITTONOP,TFITTO,TIPOAFF2,DFITTOM,TFITTOM,PROPRIET2,TFITIMP,RITAFF,SUPAB,ANCOSTR,BAGNI,VALABIT,TRASFAB,TRASFAB_MOT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,DETRIMM1,DETRIMM2,DETRIMM3,DETRIMM4,DETRIMM5,DETRIMM6,DETRIMM7,PROBCLIMA,REDCLIMA,PATCLIMA,ANTIC,ANTICIPI,DEBITA1,NDEBITA1,FONDGAR,DEBITA2,NDEBITA2,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,DEBITG,NDEBITG,CHIFINMUT1,CHIFINCONS1,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR2_BIS,FMUTRIF2_BIS,MUTUOE2_BIS,MUTUORIF,REAPMUT2_BIS,MUTUORIC2_BIS,PARMUTUO1,PARMUTUO2,PARMUTES1,PARMUTES2,PARFRA1,PARFRA2,NUMFRA1,NUMFRA2,PARANN,PARDEC,PARDUR,PARDUR_1,PARTAS,PARPOSS,PARPOSSCHI,DOCSEZD
31652,1974,1,1,,1,1,1977,0,1,0,0,0,0,0,0,0,3,35000,,,,,,,,450,,109,1964,1,90000,2,,1,2,2,,2,,1,1,1,2,1,1,2,2,2,20,4,1,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
31695,1987,1,1,,1,1,1988,1,0,0,0,0,0,0,0,0,4,75000,,,,,,,,1000,,140,1961,1,300000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,2,,2,,2,,,,,2,,3,,,,,,,0,,,,,,,2
31757,1950,1,2,25,2,2,1950,1,0,0,0,0,0,0,0,0,1,2500,2,,,,,,,600,,50,1950,1,100000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,10,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
31860,1999,1,1,,2,2,1999,1,1,0,0,0,0,0,0,0,1,75000,,,,,,,,550,,108,1967,2,140000,2,,1,1,2,,2,,2,,2,2,2,2,2,2,2,80,3,3,2,,1,1,3,2,,1,1,2,,2,,2,,2,,1,1,2,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,1
32320,2004,1,1,,1,2,2004,1,1,0,0,0,0,0,0,0,1,200000,,,,,,,,1000,,75,2004,2,450000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,20,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
32471,1963,4,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,1,300,,200,1949,2,130000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,20,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
32524,1975,1,1,,2,2,1975,1,0,0,0,0,0,0,0,0,1,13492,,,,,,,,1000,,115,1975,2,330000,2,,1,2,1,1,1,1,2,,2,2,1,2,2,2,2,5,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
32556,1988,5,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,1,500,,140,1963,1,100000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,0,,,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
32729,1976,1,1,,1,1,1974,1,0,0,0,0,0,0,0,0,3,35000,,,,,,,,900,,140,1974,2,350000,2,,1,1,2,,2,,2,,2,2,2,2,1,2,2,30,1,1,2,,2,,,2,,1,1,2,,2,,2,,2,,,1,2,2,,2,,1,2,1,,,2,,,,,,,,,0,,,,,,,2
32734,2015,2,,,,,,1,0,0,0,0,0,0,0,0,,,,,450,3,1,600,1,,2,67,1965,1,120000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,50,3,4,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
32765,1996,1,1,,2,2,1993,1,0,0,0,0,0,0,0,0,2,5000,,,,,,,,600,,150,1993,2,375000,2,,1,2,2,,2,,2,,2,2,2,2,2,2,2,20,3,3,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
32772,1973,1,1,,2,2,1973,1,1,0,0,0,0,0,0,0,1,42500,,,,,,,,500,,100,1973,1,100000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,100,3,2,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
32822,1971,2,,,,,,1,0,0,0,0,0,0,0,0,,,,,270,3,1,400,3,,2,120,1960,1,90000,2,,2,,2,,2,,2,,1,2,2,2,2,2,2,20,4,4,2,,,,,2,,2,,1,1,2,,2,,2,,,2,2,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
32839,1980,1,1,,2,2,1980,1,1,0,0,0,0,0,0,0,5,35000,,,,,,,,800,,160,1980,2,450000,2,,1,1,2,,2,,2,,2,2,2,2,2,2,2,10,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
32861,1972,1,1,,2,2,1970,1,0,0,0,0,0,0,0,0,5,20000,,,,,,,,450,,100,1970,1,150000,2,,2,,2,,2,,2,,2,2,2,2,2,2,2,10,4,4,2,,2,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,,,,,,,0,,,,,,,2
