NQUEST,NORD,INTPER,NATTIVITA,TUTTANNO,MESILAV,ORETOT,DOVELAV,ORARIO,FATLOR,YM,YM2
930606,1,1,1,2,5,15,3,3,,10000,
930831,1,2,1,1,,50,2,,,,25000
930940,1,1,1,1,,30,2,,,,40000
931418,1,1,1,2,6,1,2,2,300,300,
932134,1,1,1,1,,50,1,1,5000000,2195500,
932327,1,1,1,1,,6,1,,,,48000
932327,1,1,2,1,,5,3,,,,270000
932532,1,1,1,1,,50,1,,,,500000
932623,1,1,1,1,,50,1,1,120000,70000,
932724,1,1,1,1,,30,1,,,,150000
932997,2,1,1,2,8,8,1,1,8000,5000,
933043,1,1,1,1,,50,1,,,,50000
933955,2,1,1,2,8,10,2,2,1200,1200,
934140,1,1,1,1,,20,2,1,20000,12000,
934231,1,1,1,1,,30,3,,,,50000
934461,1,1,1,1,,30,2,,,,110000
934578,1,1,1,1,,10,1,,,,0
935716,1,1,1,1,,20,1,,,,90000
936161,1,1,1,1,,30,1,,,,12000
936478,1,1,1,1,,10,1,1,25000,16000,
937371,1,1,1,3,,2,2,2,750,600,
937371,1,1,2,3,,3,2,2,1500,1200,
937530,1,1,1,1,,50,1,,,,72000
937559,2,2,1,1,,10,2,,,,30000
938107,1,1,1,1,,20,2,1,136000,90000,
938703,1,1,1,3,,15,2,1,50000,40000,
938794,1,1,1,1,,5,1,1,1250,1000,
938794,1,1,2,1,,1,1,1,3700,3000,
938794,1,1,3,1,,1,1,1,10000,8000,
939161,2,2,2,1,,45,3,,,,180000
939817,1,1,1,1,,12,1,1,10000,5000,
939909,1,1,1,1,,20,1,1,1200,1200,
939909,1,1,2,1,,5,1,1,0,0,
939963,1,1,1,2,3,5,2,2,2500,1300,
940400,2,1,1,2,6,6,2,2,5000,5000,
940554,3,1,1,3,,30,1,1,650,500,
940565,1,1,1,3,,40,2,2,12000,9600,
940586,1,1,1,1,,16,1,,,,30000
940639,1,1,1,2,9,15,3,2,12000,10000,
940643,1,1,1,1,,3,2,,,,13500
940643,1,1,2,1,,2,2,,,,1500
941494,1,1,1,1,,4,2,2,4000,2000,
942056,1,1,1,2,3,18,1,1,1080,900,
942251,1,1,1,1,,40,1,,,,20000
942430,1,1,1,1,,5,1,,,,5000
942430,4,1,1,2,5,16,2,2,3000,3000,
943040,1,1,1,1,,40,1,1,20000,18000,
944514,1,1,1,1,,20,2,,,,10000
945503,1,1,1,1,,65,1,2,24000,21000,
945796,1,1,1,3,,20,1,1,5300,4800,
945797,1,1,1,3,,2,2,2,2000,1800,
946448,1,1,1,1,,50,3,3,12000,6000,
946448,1,1,2,1,,30,3,3,12000,6000,
946657,3,1,1,3,,7,1,2,3500,3400,
946915,2,1,1,1,,40,1,1,60000,30000,
947803,1,1,1,1,,10,1,,,,60000
948033,3,1,1,3,,3,2,2,1500,1500,
949246,4,1,1,1,,25,1,1,10000,9500,
949323,3,1,1,3,,24,2,2,600,550,
949887,2,1,1,1,,9,2,3,4000,4000,
951288,2,1,1,1,,50,1,1,35000,23000,
951622,1,1,1,1,,20,2,,,,30000
951627,1,1,1,1,,20,2,,,,15000
951822,1,1,1,3,,3,2,2,2000,1600,
951997,1,1,1,1,,45,1,,,,20700
952009,2,2,1,2,5,4,3,3,500,350,
955757,1,1,1,3,,2,2,2,2400,1700,
956797,2,1,1,2,9,20,2,2,5000,4500,
957498,1,1,1,1,,28,2,2,,,
957516,1,1,1,1,,70,2,,,,6000
957754,1,1,1,1,,40,1,,,,12000
957778,1,1,1,1,,10,1,1,20000,15000,
963653,1,1,1,3,,40,1,1,1000,800,
964260,1,1,1,1,,50,2,1,40000,28000,
964260,2,1,1,1,,50,1,1,50000,35000,
964322,1,1,1,3,,10,2,2,1050,480,
967780,1,1,1,1,,20,3,1,12000,9240,
968772,2,2,1,2,7,20,2,2,3700,3700,
968914,1,1,1,1,,11,1,,,,11700
970185,1,1,1,1,,40,2,1,10000,10000,
972923,2,1,1,2,6,15,1,1,8000,2500,
973304,1,1,1,1,,28,2,2,18000,14000,
980972,1,1,1,1,,50,1,,,,90000
980976,1,1,1,3,,5,1,1,800,500,
980976,1,1,2,3,,8,2,2,400,250,
980985,1,1,1,2,6,3,2,2,1900,1500,
983059,2,1,1,1,,50,2,,,,25000
983675,1,1,1,3,,15,2,1,7000,5500,
984092,3,1,1,2,1,20,2,2,600,500,
984179,3,1,1,3,,3,2,2,120,120,
984375,2,2,1,3,,6,1,1,2000,1200,
985159,1,1,1,2,6,30,3,1,6000,5000,
985159,2,1,1,2,6,40,1,1,6000,5000,
985895,1,1,1,3,,3,2,,,,4000
985936,1,1,1,3,,20,1,1,5000,3750,
985936,1,1,2,3,,2,2,2,914,650,
986305,1,1,1,3,,5,1,1,5000,4000,
986633,1,1,1,1,,40,1,,,,84000
986718,1,2,1,1,,1,2,,,,3000
988291,2,1,1,1,,60,1,,,,1000000
989988,1,1,1,1,,20,2,1,8000,5000,
989988,2,1,1,1,,20,2,1,10000,8000,
990358,1,1,1,1,,3,1,1,10000,8000,
990818,1,1,1,1,,35,2,2,14000,11000,
990821,1,1,1,1,,45,2,2,12000,8000,
991196,1,1,1,3,,12,1,2,1500,1300,
991320,1,1,1,3,,2,2,2,15000,10000,
991328,1,1,1,1,,3,1,,,,3000
991329,1,1,1,1,,4,2,2,800,800,
991329,2,1,1,1,,2,2,2,6000,4500,
991370,1,1,1,3,,4,2,2,3500,2500,
991694,2,1,1,1,,12,1,1,5000,3500,
991872,3,1,1,3,,20,2,2,300,300,
991904,1,1,1,1,,2,1,,,,3600
991916,1,1,1,2,5,48,2,2,12500,8250,
991929,1,1,1,3,,10,1,1,3700,3000,
991956,3,1,1,2,8,20,2,1,4400,4000,
993075,1,1,1,3,,1,1,1,50,50,
993388,1,1,1,3,,8,2,2,10000,5000,
