NQUEST,NORD,INTPER,NATTIVITA,PARTIME,CONTRATT,TUTTANNO,MESILAV,ATTEST,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM,YLNMC,CONTAZ2_1,CONTAZ2_2,AMMCONTAZ_1,AMMCONTAZ_1_1,AMMCONTAZ_2,AMMCONTAZ_2_1
945456,2,2,1,1,1,1,,1,7,40,2,,35000,1,1000,,1,2,1800,,,
945461,1,1,1,1,1,1,,1,3,40,2,,10400,2,,,2,2,,,,
945473,3,1,1,1,1,1,,1,2,40,2,,16000,2,,,2,2,,,,
945500,1,2,1,1,1,1,,1,3,36,2,,16500,2,,,2,2,,,,
945500,2,2,1,1,1,1,,1,5,36,2,,17500,2,,,2,2,,,,
945674,1,2,1,1,1,1,,1,8,36,2,,23000,2,,,2,2,,,,
945674,2,2,1,1,1,1,,1,8,36,2,,20800,2,,,2,2,,,,
945680,1,2,1,2,1,1,,1,1,24,2,,9100,2,,,2,2,,,,
945680,2,2,1,1,1,1,,1,8,26,2,,23400,2,,,2,2,,,,
945680,3,2,1,2,1,1,,1,1,12,2,,7200,2,,,2,2,,,,
945684,1,1,1,1,1,1,,1,8,36,2,,22000,1,500,,2,2,,,,
945690,1,1,1,1,1,1,,1,6,38,2,,20000,2,,,2,2,,,,
945690,2,2,1,1,1,1,,1,4,38,2,,20000,2,,,2,2,,,,
945735,1,1,1,1,1,1,,1,8,36,2,,17000,2,,,2,2,,,,
945738,1,1,1,1,1,1,,1,5,40,2,,80000,2,,,1,2,600,,,
945738,2,1,1,1,1,1,,1,8,36,1,5,45000,2,,,2,2,,,,
945739,1,1,1,1,1,1,,1,8,18,2,,24000,2,,,2,2,,,,
945739,3,1,1,1,2,2,8,1,8,18,2,,12000,2,,,2,2,,,,
945760,2,1,1,1,1,1,,1,8,36,2,,21000,2,,,2,2,,,,
945767,1,1,1,1,2,2,7,1,8,36,2,,9500,2,,,2,2,,,,
945767,2,1,1,1,1,1,,1,3,36,2,,19000,2,,,2,2,,,,
945779,1,1,1,1,1,1,,1,3,40,1,3,32000,2,,,1,2,300,,,
945779,3,1,1,1,1,1,,1,3,36,2,,16000,2,,,2,2,,,,
945781,1,1,1,1,1,1,,1,8,36,1,3,31000,1,3800,,2,1,,,600,
945784,1,1,1,1,1,1,,1,8,36,1,6,23500,2,,,1,2,100,,,
945791,1,1,1,1,1,1,,1,8,36,2,,19000,1,2500,,1,1,180,,500,
945791,2,1,1,1,1,1,,1,8,36,2,,18000,2,,,2,2,,,,
945797,1,1,1,1,1,1,,1,8,44,1,6,72000,1,1200,,2,2,,,,
945797,2,1,1,1,1,1,,1,8,36,2,,26000,2,,,2,2,,,,
945812,1,1,1,1,1,1,,1,4,40,1,2,28600,2,,,2,2,,,,
945812,2,2,1,1,1,1,,1,8,18,2,,21000,2,,,2,2,,,,
945871,3,2,1,1,2,1,,1,1,40,2,,12000,2,,,2,2,,,,
945872,1,1,1,1,1,1,,1,1,40,2,,15000,2,,,2,2,,,,
945886,2,1,1,1,1,1,,1,6,36,1,5,27000,2,,,2,2,,,,
945949,1,1,1,1,2,1,,1,2,44,2,,14500,2,,,2,2,,,,
945984,1,2,1,1,1,1,,1,4,42,2,,23000,2,,,2,2,,,,
945993,1,2,1,1,1,1,,1,1,40,2,,14000,2,,,2,2,,,,
946077,3,1,1,1,1,1,,1,7,40,2,,20000,1,1500,,2,2,,,,
946080,3,1,1,1,1,1,,1,7,36,1,2,18000,2,,,2,2,,,,
946225,1,2,1,1,1,1,,1,8,36,2,,14300,2,,,2,2,,,,
946391,1,1,1,1,1,1,,1,7,25,2,,50000,2,,,2,2,,,,
946416,2,1,1,1,1,1,,1,7,40,2,,20000,2,,,2,2,,,,
946421,3,1,1,1,1,1,,1,7,40,2,,18000,2,,,2,2,,,,
946477,1,1,1,1,1,1,,1,7,40,2,,80000,2,,,2,2,,,,
946538,2,1,1,1,1,1,,1,2,40,2,,12000,2,,,2,2,,,,
946538,3,1,1,1,1,1,,1,2,35,2,,12000,2,,,2,2,,,,
946538,5,1,1,1,1,1,,1,1,40,2,,13000,2,,,2,2,,,,
946546,2,1,1,1,2,2,3,1,4,40,2,,3000,2,,,2,2,,,,
946581,1,1,1,1,1,1,,1,8,40,2,,46200,1,1500,,1,2,,1,,
946625,2,1,1,1,1,1,,1,7,40,2,,40000,2,,,2,2,,,,
946629,1,1,1,2,1,1,,1,3,24,2,,7800,2,,,2,2,,,,
946633,2,1,1,1,2,3,,1,2,40,2,,2700,2,,,2,2,,,,
946657,1,1,1,2,1,1,,1,2,35,2,,9000,2,,,2,2,,,,
946665,1,1,1,1,1,1,,1,8,40,2,,40000,2,,,2,2,,,,
946683,1,2,1,2,1,1,,1,2,28,2,,10000,2,,,2,2,,,,
946695,2,2,1,1,1,1,,1,4,36,2,,25000,2,,,2,2,,,,
946699,2,1,1,1,1,1,,1,8,40,2,,20000,2,,,2,2,,,,
946747,2,1,1,1,1,1,,1,4,40,2,,50000,2,,,2,2,,,,
946783,1,1,1,1,1,1,,1,2,48,2,,15600,2,,,2,2,,,,
946806,2,1,1,1,1,1,,1,8,38,2,,40000,2,,,2,2,,,,
946849,2,2,1,1,1,1,,1,4,36,2,,23400,2,,,2,2,,,,
946884,1,1,1,1,1,1,,1,8,36,1,0,15600,2,,,2,2,,,,
946904,1,1,1,1,1,1,,1,7,40,2,,25000,2,,,2,2,,,,
946904,2,1,1,1,1,1,,1,7,40,2,,25000,2,,,2,2,,,,
946912,1,1,1,1,1,1,,1,4,40,2,,30000,2,,,2,2,,,,
946979,2,1,1,1,1,1,,1,5,25,2,,20000,2,,,2,2,,,,
946987,1,1,1,1,1,1,,1,6,40,1,0,20000,2,,,2,2,,,,
946987,2,1,1,1,1,1,,1,7,36,1,0,22000,2,,,2,2,,,,
946989,1,1,1,2,1,1,,1,7,15,2,,30000,2,,,2,2,,,,
947003,2,1,1,1,1,1,,1,7,20,2,,70000,2,,,2,2,,,,
947018,1,1,1,1,1,1,,1,8,40,2,,13000,2,,,2,2,,,,
947049,1,1,1,1,2,1,,1,4,40,2,,15600,2,,,2,2,,,,
947055,1,1,1,1,1,1,,1,7,40,2,,16000,2,,,2,2,,,,
947076,1,1,1,2,1,1,,1,7,20,2,,10790,2,,,2,2,,,,
947251,1,1,1,1,1,1,,1,7,40,1,15,17000,2,,,2,2,,,,
947263,2,1,1,1,1,1,,1,8,40,2,,25000,2,,,2,2,,,,
947331,4,1,1,2,2,3,,1,2,50,2,,10000,2,,,2,2,,,,
947721,1,1,1,1,1,1,,1,8,36,1,0,30000,1,450,Buoni pasto,1,1,,1,,1
947721,2,1,1,1,1,1,,1,8,36,1,0,30000,1,450,Buoni pasto,1,1,,1,,1
947786,1,1,1,1,1,1,,1,6,36,2,,22000,2,,,2,2,,,,
947790,1,1,1,1,2,1,,1,5,40,1,2,15000,1,768,"8,00 ticket 3 volte la settimana periodo invernale 1 solo alla settimana periodo estivo",2,2,,,,
947799,2,1,1,1,1,1,,1,2,30,1,4,14400,2,,,2,2,,,,
947799,3,1,1,2,2,3,,1,1,20,1,4,6000,2,,,2,2,,,,
947801,2,1,1,1,1,1,,1,8,35,2,,20000,2,,,2,2,,,,
947821,1,1,1,1,1,1,,1,7,50,1,2,60000,1,1600,,1,1,450,,,1
947821,2,1,1,1,2,2,9,1,5,12,2,,3600,2,,,2,2,,,,
948010,2,1,1,1,1,1,,1,7,40,2,,22100,1,350,,2,2,,,,
948010,3,1,1,2,2,2,6,1,6,25,2,,2760,2,,,2,2,,,,
948023,1,1,1,1,1,1,,1,8,50,2,,104000,1,630,,2,2,,,,
948028,2,1,1,1,1,1,,1,8,24,1,5,18000,2,,,2,2,,,,
948031,1,1,1,1,1,1,,1,8,40,2,,70000,2,,,2,2,,,,
948031,2,1,1,1,1,1,,1,8,40,2,,30000,2,,,2,2,,,,
948033,1,1,1,1,1,1,,1,8,40,2,,70000,1,400,,2,2,,,,
948033,2,1,1,1,1,1,,1,8,24,2,,30000,2,,,2,2,,,,
948068,1,1,1,1,1,1,,1,1,40,2,,250000,2,,,2,2,,,,
948079,1,1,1,1,1,1,,1,7,60,2,,65000,1,1500,,1,1,,1,,1
948079,2,1,1,1,1,1,,1,7,45,2,,28000,1,3000,,1,2,,1,,
948098,2,1,1,1,1,1,,1,2,60,1,15,20000,2,,,2,2,,,,
948107,1,1,1,1,1,1,,1,8,38,2,,31180,1,966,,2,2,,,,
948113,1,1,1,2,1,1,,1,1,20,1,10,10800,2,,,2,2,,,,
948140,1,1,1,1,2,1,,1,8,46,1,10,26000,1,1300,,2,2,,,,
948140,2,1,1,1,1,1,,1,8,36,2,,22000,1,336,,2,2,,,,
948149,1,1,1,1,1,1,,1,8,40,1,5,35000,1,850,,1,2,300,,,
948167,1,1,1,2,1,1,,1,1,25,2,,15000,2,,,2,2,,,,
948167,1,1,2,2,1,1,,1,1,15,2,,10000,2,,,2,2,,,,
948227,3,1,1,1,1,1,,1,1,40,2,,15000,2,,,2,2,,,,
948246,3,1,1,1,1,2,6,1,4,40,2,,16000,2,,,2,2,,,,
948246,4,1,1,1,1,1,,1,4,40,2,,16000,2,,,2,2,,,,
948246,6,1,1,1,2,2,6,1,1,40,2,,1800,2,,,2,2,,,,
948266,3,1,1,2,1,1,,1,2,30,1,5,11000,2,,,2,2,,,,
948267,1,1,1,1,2,2,6,1,5,40,2,,13000,2,,,2,2,,,,
948269,2,1,1,1,1,1,,1,8,30,2,,16000,2,,,2,2,,,,
948341,1,1,1,1,1,1,,1,3,40,1,20,500,2,,,2,2,,,,
948427,3,1,1,1,2,1,,1,1,40,2,,16500,2,,,2,2,,,,
948594,1,1,1,1,1,1,,1,6,40,2,,88000,1,15000,,1,1,5000,,500,
948639,1,1,1,1,1,1,,1,4,20,2,,19600,2,,,2,2,,,,
948648,2,1,1,2,1,1,,1,2,19,2,,6200,2,,,2,2,,,,
948704,1,1,1,1,1,1,,1,1,40,2,,19200,2,,,2,2,,,,
948725,3,1,1,2,2,1,,1,2,15,2,,5000,2,,,2,2,,,,
948760,3,1,1,1,2,2,5,1,7,25,2,,8000,2,,,2,2,,,,
948803,3,1,1,1,1,1,,1,6,40,2,,22400,2,,,1,2,200,,,
948913,3,1,1,1,2,1,,1,4,40,2,,18000,2,,,2,2,,,,
949062,3,1,1,1,1,1,,1,8,36,2,,26000,2,,,2,2,,,,
949070,1,1,1,1,1,1,,1,8,50,2,,36400,1,1000,,2,2,,,,
949089,3,1,1,1,1,1,,1,7,38,2,,32000,1,1800,Buoni pasto,1,2,,1,,
949089,4,1,1,1,1,1,,1,7,38,2,,13000,2,,,2,2,,,,
949095,1,1,1,1,1,1,,1,8,40,1,2,30000,2,,,1,2,,1,,
949095,2,1,1,1,1,1,,1,7,40,1,3,30000,2,,,1,2,,1,,
949099,1,1,1,1,1,1,,1,8,54,2,,32900,1,500,,2,2,,,,
949107,1,1,1,1,1,1,,1,6,40,1,2,33000,1,1270,Mensa,2,2,,,,
949107,2,1,1,1,1,1,,1,6,36,1,3,27000,2,,,2,2,,,,
949110,2,1,1,1,1,1,,1,8,33,2,,22000,2,,,2,2,,,,
949117,2,1,1,1,1,1,,1,8,48,2,,40000,2,,,2,2,,,,
949132,1,1,1,1,1,1,,1,7,38,2,,45000,1,1100,,1,2,900,,,
949132,2,1,1,2,1,1,,1,6,25,2,,12000,2,,,2,2,,,,
949132,2,1,2,2,2,1,,1,6,5,2,,3600,2,,,2,2,,,,
949151,1,1,1,1,1,1,,1,8,25,2,,39000,2,,,2,2,,,,
949151,2,2,1,1,1,1,,1,8,30,2,,39000,2,,,2,2,,,,
949157,1,1,1,1,1,1,,1,4,50,2,,39000,2,,,2,2,,,,
949185,1,1,1,1,1,2,9,1,8,18,2,,21000,2,,,2,2,,,,
949185,2,1,1,1,1,2,9,1,8,18,2,,25000,2,,,2,2,,,,
949221,2,1,1,1,1,1,,1,2,36,2,,24000,2,,,2,2,,,,
949223,3,1,1,1,2,2,6,1,4,30,2,,6000,2,,,2,2,,,,
949227,3,1,1,1,1,1,,1,2,40,2,,18000,2,,,2,2,,,,
949245,2,1,1,1,1,1,,1,8,18,2,,20000,2,,,2,2,,,,
949256,1,1,1,1,1,1,,1,6,30,2,,20000,2,,,2,2,,,,
949264,1,1,1,1,1,1,,1,7,38,2,,35000,2,,,2,2,,,,
949272,1,1,1,1,1,1,,1,7,36,2,,16000,2,,,2,2,,,,
949277,1,1,1,1,1,1,,1,7,35,1,0,30000,1,350,,2,2,,,,
949280,1,1,1,1,1,1,,1,7,48,2,,45000,1,1800,Buoni pasto,2,2,,,,
949291,2,1,1,1,2,2,5,1,2,46,2,,8000,2,,,2,2,,,,
949292,1,1,1,1,1,1,,1,6,50,2,,27000,1,1800,Ticket,1,2,,1,,
949311,3,1,1,1,1,1,,1,8,40,2,,25000,1,840,Buoni pasto 2 settimane 7 euro,2,2,,,,
949311,4,1,1,2,1,2,3,1,1,18,2,,2500,2,,,2,2,,,,
949318,1,1,1,1,1,1,,1,8,38,1,0,74000,1,60,,2,2,,,,
949318,2,1,1,1,1,1,,1,8,36,1,0,27000,2,,,2,2,,,,
949323,1,1,1,1,1,2,6,1,7,37,2,,23000,1,800,,1,2,,1,,
949323,2,1,1,1,1,2,6,1,7,37,2,,14000,1,800,,1,2,,1,,
949331,1,1,1,1,1,1,,1,8,18,1,6,25000,2,,,2,2,,,,
949331,2,1,1,1,1,1,,1,8,18,2,,26000,2,,,2,2,,,,
949371,1,1,1,1,1,1,,1,7,45,2,,36000,1,960,,1,2,144,,,
949372,2,1,1,1,1,1,,1,4,18,2,,19500,2,,,2,2,,,,
949425,1,1,1,2,1,2,7,1,1,25,2,,16000,2,,,1,2,400,,,
949465,1,1,1,1,1,1,,1,2,36,2,,35000,2,,,2,2,,,,
949474,3,2,1,1,1,2,11,1,1,40,2,,21000,2,,,2,2,,,,
949483,3,1,1,1,1,1,,1,5,40,1,10,100000,2,,,2,2,,,,
949483,4,1,1,1,1,1,,1,5,40,1,12,100000,2,,,2,2,,,,
949493,2,1,1,1,1,1,,1,8,40,2,,26000,2,,,2,2,,,,
949529,1,1,1,1,1,1,,1,4,45,1,5,22000,1,1000,,2,2,,,,
949543,1,1,1,1,1,1,,1,7,45,2,,55000,1,2400,,1,1,200,,,1
949547,2,1,1,1,1,1,,1,3,40,2,,13000,2,,,2,2,,,,
949550,1,1,1,1,1,1,,1,4,40,2,,18000,2,,,2,2,,,,
949550,2,1,1,1,1,1,,1,3,40,2,,16000,2,,,2,2,,,,
949584,1,1,1,1,2,1,,1,7,20,2,,45000,2,,Diarie Trasporti Alloggio Apparecchiature,2,2,,,,
949649,1,1,1,1,1,1,,1,8,20,2,,15000,2,,,2,2,,,,
949653,1,1,1,1,1,1,,1,3,40,2,,22750,2,,,2,2,,,,
949674,1,1,1,1,2,1,,1,2,48,2,,20000,2,,,2,2,,,,
949674,2,1,1,1,2,1,,1,2,40,2,,18000,2,,,2,2,,,,
949711,2,2,1,1,1,1,,1,7,40,2,,34000,1,1500,,2,2,,,,
949711,3,3,1,1,2,3,,1,7,36,2,,7500,2,,,2,2,,,,
949756,2,2,1,1,1,1,,1,5,40,1,6,21000,2,,,1,2,300,,,
949756,3,1,1,1,2,3,,1,2,40,2,,7000,2,,,2,2,,,,
949781,1,1,1,1,1,1,,1,6,40,2,,24500,2,,,1,2,,1,,
949887,1,1,1,1,1,1,,1,7,40,2,,32000,1,4045,,1,2,864,,,
949887,2,1,1,2,2,1,,1,1,25,1,2,4000,2,,,2,2,,,,
949920,1,1,1,1,1,1,,1,7,45,1,5,600000,1,5000,,2,2,,,,
949924,2,1,1,1,2,2,10,1,8,35,2,,100000,2,,,2,2,,,,
949928,2,1,1,1,1,1,,1,7,40,2,,140000,1,1500,,2,2,,,,
949947,1,1,1,1,1,1,,1,7,50,1,10,38000,1,3000,,2,2,,,,
949973,2,2,1,1,1,1,,1,8,40,2,,42000,2,,,2,2,,,,
949982,1,1,1,1,1,1,,1,5,40,1,4,24000,2,,,2,2,,,,
949996,1,1,1,2,2,1,,1,1,20,2,,10000,2,,,2,2,,,,
949996,2,1,1,2,1,1,,1,1,20,2,,10000,2,,,2,2,,,,
950002,2,1,1,1,1,1,,1,2,40,2,,16500,2,,,2,2,,,,
950067,3,1,1,1,1,1,,1,2,40,2,,10000,2,,,2,2,,,,
950077,2,1,1,1,1,1,,1,2,32,2,,18000,2,,,2,2,,,,
950081,2,1,1,1,1,1,,1,2,44,2,,24000,2,,,2,2,,,,
950081,3,1,1,1,1,1,,1,1,30,2,,9000,2,,,2,2,,,,
950082,1,1,1,1,1,1,,1,8,36,2,,35000,2,,,2,2,,,,
950082,2,1,1,1,1,1,,1,8,12,2,,40000,2,,,2,2,,,,
950084,2,1,1,1,1,1,,1,2,48,1,3,25000,2,,,2,2,,,,
950123,1,1,1,2,2,3,,1,1,18,2,,6000,2,,,2,2,,,,
950123,3,1,1,2,2,2,8,1,2,20,2,,5000,2,,,2,2,,,,
950171,2,1,1,2,2,3,,1,1,10,2,,2500,2,,,2,2,,,,
950191,1,1,1,1,1,1,,1,8,30,2,,50000,2,,,2,2,,,,
950191,2,1,1,1,1,1,,1,8,30,2,,60000,2,,,2,2,,,,
950192,1,1,1,1,1,1,,1,2,48,1,2,24000,2,,,2,2,,,,
950192,2,1,1,1,1,1,,1,2,48,2,,26000,2,,,2,2,,,,
950224,1,1,1,1,2,1,,1,8,40,2,,18000,2,,,2,2,,,,
951005,3,1,1,1,1,1,,1,2,42,1,6,20700,2,,,2,2,,,,
951019,1,1,1,1,1,1,,1,1,48,1,8,15000,2,,,2,2,,,,
951019,2,1,1,1,1,1,,1,2,40,1,3,15000,2,,,1,2,,1,,
951071,1,1,1,1,1,1,,1,1,60,2,,12000,2,,,2,2,,,,
951073,1,1,1,1,1,1,,1,6,40,2,,24000,2,,,2,2,,,,
951073,2,1,1,1,1,1,,1,4,40,1,2,19000,2,,,2,2,,,,
951078,1,1,1,1,2,1,,1,5,30,2,,35000,2,,,2,2,,,,
951078,2,1,1,1,1,1,,1,3,40,2,,19500,2,,,2,2,,,,
951111,1,1,1,2,2,2,6,1,2,40,2,,8000,2,,,2,2,,,,
951125,2,2,1,1,1,1,,1,7,26,2,,24000,2,,,2,2,,,,
951163,1,1,1,1,1,1,,1,6,40,1,2,24000,2,,,1,2,200,,,
951163,2,1,1,1,1,1,,1,6,40,2,,21000,1,600,,2,2,,,,
951173,1,1,1,1,1,1,,1,6,40,1,4,18000,2,,Non riesce a quantificare,1,2,100,,,
951184,2,1,1,1,1,1,,1,6,42,1,6,31400,2,,,2,2,,,,
951190,1,1,1,2,2,2,6,1,2,12,2,,3150,2,,,2,2,,,,
951190,2,2,1,1,2,1,,1,4,40,2,,24100,1,240,,2,2,,,,
951202,1,1,1,1,1,1,,1,7,60,2,,62000,2,,,1,2,,1,,
951202,2,1,1,1,1,1,,1,7,50,1,8,17000,2,,,2,2,,,,
951202,2,1,2,1,1,1,,1,5,20,2,,8000,2,,,2,2,,,,
951235,1,1,1,1,1,1,,1,8,30,2,,22000,2,,,1,1,250,,300,
951235,2,1,1,2,2,2,8,1,2,30,2,,12000,2,,,2,2,,,,
951236,2,1,1,2,1,1,,1,5,20,1,0,14000,2,,,2,2,,,,
951280,1,1,1,1,1,1,,1,7,50,2,,40000,2,,,1,2,,1,,
951280,2,1,1,2,1,1,,1,6,28,1,2,9600,2,,,2,2,,,,
951288,1,1,1,1,1,1,,1,5,30,2,,20000,2,,,2,1,,,600,
951300,1,1,1,1,2,1,,1,6,40,1,3,22300,2,,,2,2,,,,
951330,2,2,1,1,1,1,,1,8,40,1,4,16100,2,,,2,2,,,,
951337,3,2,1,1,1,1,,1,2,40,2,,25000,2,,,2,2,,,,
951345,1,1,1,1,1,1,,1,1,40,1,0,36000,2,,,1,1,,1,,1
951350,2,1,1,1,2,2,7,1,5,40,2,,7200,1,740,Mensa,2,2,,,,
951368,1,1,1,1,1,1,,1,8,28,2,,18500,2,,,2,2,,,,
951368,2,1,1,1,1,1,,1,8,28,2,,24500,2,,,2,2,,,,
951391,1,1,1,1,1,1,,1,2,45,2,,32500,1,276,,1,2,780,,,
951391,2,1,1,1,1,1,,1,4,36,2,,14300,2,,,2,2,,,,
951400,2,1,1,2,1,1,,1,1,24,2,,7800,2,,,2,2,,,,
951401,2,1,1,1,1,1,,1,8,18,2,,19500,2,,,2,2,,,,
951409,4,3,1,2,1,1,,1,1,20,2,,9750,2,,,2,2,,,,
951411,2,1,1,2,1,1,,1,7,30,2,,10000,2,,,2,2,,,,
951450,1,1,1,1,1,1,,1,4,40,2,,28000,2,,,1,2,,1,,
951450,2,1,1,1,1,1,,1,6,50,1,10,21300,1,400,,1,2,,1,,
951463,1,1,1,1,1,1,,1,7,40,1,0,25612,1,1800,,2,2,,,,
951469,2,1,1,1,1,1,,1,7,50,2,,100000,2,,,2,1,,,,1
951473,3,1,1,1,2,2,10,1,6,40,2,,12000,2,,,2,2,,,,
951493,1,1,1,1,1,1,,1,8,36,2,,45000,2,,,2,2,,,,
951493,2,1,1,1,1,1,,1,8,36,2,,20000,2,,,2,2,,,,
951511,1,1,1,2,1,1,,1,2,10,2,,6500,1,200,,2,2,,,,
951511,1,1,2,2,1,1,,1,1,2,2,,1500,2,,,2,2,,,,
951511,2,1,1,2,1,1,,1,3,20,2,,13000,1,1300,,2,2,,,,
951566,1,1,1,1,1,1,,1,2,40,2,,16250,2,,,2,2,,,,
951566,2,2,1,2,1,1,,1,2,30,2,,11700,2,,,2,2,,,,
951597,1,2,1,1,2,1,,1,8,38,2,,18000,2,,,2,2,,,,
951597,2,2,1,1,1,1,,1,7,42,2,,52000,2,,,2,2,,,,
951597,3,2,1,2,2,2,3,1,1,25,2,,4000,2,,,2,2,,,,
951597,4,2,1,1,2,3,,1,2,28,2,,8000,2,,,2,2,,,,
951620,1,1,1,2,1,1,,1,1,18,2,,5850,2,,,2,2,,,,
951631,2,1,1,1,1,1,,1,8,38,2,,19500,2,,,2,2,,,,
951631,4,1,1,1,1,1,,1,1,20,2,,6000,2,,,2,2,,,,
951645,1,1,1,1,1,1,,1,8,35,2,,17000,2,,,2,2,,,,
951645,2,1,1,1,1,1,,1,6,38,2,,30000,2,,,2,2,,,,
951649,1,1,1,1,1,1,,1,2,38,2,,22000,2,,,2,2,,,,
951665,1,1,1,1,1,1,,1,2,60,2,,21500,1,100,,1,2,120,,,
951665,3,1,1,1,1,2,5,1,2,40,2,,3400,1,100,,1,2,300,,,
951685,1,1,1,1,1,1,,1,7,39,1,3,39000,2,,,2,2,,,,
951685,2,1,1,2,1,1,,1,2,20,2,,10500,2,,,2,2,,,,
951685,3,1,1,1,1,1,,1,8,40,2,,18000,2,,,2,2,,,,
951685,4,1,1,1,1,1,,1,2,35,2,,10000,2,,,2,2,,,,
951700,1,1,1,1,1,1,,1,1,40,2,,16800,2,,,2,2,,,,
951700,2,1,1,1,1,1,,1,1,40,2,,15000,2,,,2,2,,,,
951711,1,1,1,1,1,1,,1,7,40,2,,30000,2,,,1,2,,1,,
951711,2,1,1,1,1,1,,1,7,40,2,,28000,2,,,1,2,,1,,
951714,1,1,1,1,1,1,,1,7,40,2,,15600,2,,,2,2,,,,
951739,1,1,1,1,1,1,,1,4,40,2,,26500,1,1200,,1,2,,1,,
951739,2,1,1,2,1,1,,1,7,30,1,1,15000,1,1800,,1,2,,1,,
951748,1,1,1,1,1,1,,1,8,38,2,,18000,2,,,2,2,,,,
951748,2,1,1,1,1,1,,1,2,40,2,,13000,2,,,2,2,,,,
951793,1,1,1,1,1,1,,1,4,43,1,7,27000,1,700,,2,2,,,,
951793,2,1,1,2,1,1,,1,4,24,1,0,8000,2,,,2,2,,,,
951812,1,1,1,1,1,1,,1,2,60,2,,50000,2,,,1,2,,1,,
951812,3,1,1,1,1,1,,1,7,45,2,,30000,2,,,2,2,,,,
951812,4,1,1,1,1,1,,1,7,40,1,5,30000,2,,,2,2,,,,
951818,1,1,1,1,1,1,,1,6,45,2,,40000,1,1000,,1,1,,1,,1
951820,1,1,1,1,1,1,,1,4,45,2,,37000,1,200,,1,2,100,,,
951820,2,1,1,1,1,1,,1,3,40,2,,23000,1,2500,,1,2,,1,,
951822,1,1,1,1,1,1,,1,5,38,1,3,16800,1,800,,2,2,,,,
951847,3,1,1,2,1,1,,1,7,16,1,2,7600,2,,,2,2,,,,
951860,2,1,1,1,1,1,,1,2,40,2,,22000,2,,,2,2,,,,
951883,1,1,1,1,1,1,,1,7,36,1,2,30000,2,,,1,2,144,,,
951885,1,1,1,2,1,1,,1,4,20,2,,15400,1,100,,2,2,,,,
951885,3,1,1,1,2,2,10,1,2,63,2,,10000,2,,,2,2,,,,
951898,1,1,1,1,1,1,,2,5,40,1,2,50000,2,,,2,2,,,,
951940,1,1,1,1,1,1,,1,8,36,2,,30000,2,,,2,2,,,,
951940,2,1,1,1,1,1,,1,8,36,2,,14000,2,,,2,2,,,,
951940,3,1,1,1,2,1,,1,3,40,2,,17000,2,,,2,2,,,,
951940,4,1,1,2,1,1,,1,1,20,2,,7500,2,,,2,2,,,,
951942,1,1,1,1,1,1,,1,6,40,2,,30000,2,,,1,2,600,,,
951955,3,1,1,1,1,3,,1,4,30,2,,15000,2,,,2,2,,,,
951955,4,1,1,1,1,1,,1,7,39,2,,18200,2,,,2,2,,,,
951955,5,1,1,1,1,1,,1,2,40,1,0,14400,2,,,2,2,,,,
951962,1,1,1,1,1,1,,1,7,36,1,1,40000,1,1680,,1,1,,1,,1
951962,2,2,1,2,1,1,,1,7,28,2,,25000,1,1008,,1,2,288,,,
951963,1,2,1,1,1,1,,1,4,40,2,,35000,2,,,2,2,,,,
951997,1,1,1,1,1,1,,1,2,45,2,,19500,1,1200,,2,2,,,,
951997,2,1,1,1,1,1,,1,8,12,2,,1800,2,,,2,2,,,,
951998,1,1,1,1,1,1,,1,7,40,2,,28000,2,,,1,1,,1,,1
951998,3,1,1,1,2,1,,1,2,40,2,,9200,1,720,Ticket pasto,2,2,,,,
952007,1,1,1,1,1,1,,2,7,45,2,,55000,2,,,1,1,,1,,1
952007,2,1,1,1,1,1,,1,7,40,1,0,15000,1,1440,Ticket,1,2,,1,,
952008,1,1,1,1,1,1,,1,2,43,1,3,40000,2,,,2,2,,,,
952008,2,1,1,1,1,1,,1,7,50,2,,45000,1,7936,Auto e premi,1,2,,1,,
952009,1,1,1,1,1,1,,1,7,40,2,,42000,1,1400,,1,1,500,,,1
952009,2,2,1,2,1,1,,1,4,30,1,1,11200,1,250,,2,2,,,,
952025,3,1,1,1,1,1,,1,5,40,1,1,21579,1,1800,Ticket pasto,1,2,,1,,
952098,1,1,1,1,1,1,,1,7,40,2,,38000,1,700,,1,1,,1,780,
952122,1,1,1,2,1,1,,1,7,50,2,,120000,1,30000,,1,1,,1,,1
952122,2,2,1,1,1,1,,1,7,40,2,,50000,2,,,2,2,,,,
952122,3,3,1,1,2,1,,1,7,40,2,,20000,2,,,2,2,,,,
952143,1,1,1,1,1,1,,1,7,40,2,,35000,1,3000,,1,2,,1,,
952165,1,1,1,1,1,1,,1,7,40,2,,35000,2,,,1,2,240,,,
952165,2,1,1,1,2,2,4,1,7,40,2,,6000,1,400,,2,2,,,,
952228,1,1,1,1,1,1,,1,7,50,2,,100000,1,35000,,1,1,,1,,1
952255,1,1,1,1,1,1,,1,2,50,2,,21000,2,,,2,2,,,,
952305,1,1,1,2,1,2,9,1,1,18,2,,6000,2,,,2,2,,,,
952337,1,1,1,1,1,1,,1,2,40,2,,23000,2,,,2,2,,,,
952337,2,1,1,1,1,1,,1,8,36,2,,23000,1,300,,2,2,,,,
952407,1,1,1,1,1,1,,2,5,50,1,5,45000,2,,,2,1,,,,1
