NQUEST,NORD,INTPER,NATTIVITA,PARTIME,CONTRATT,TUTTANNO,MESILAV,ATTEST,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM,YLNMC,CONTAZ2_1,CONTAZ2_2,AMMCONTAZ_1,AMMCONTAZ_1_1,AMMCONTAZ_2,AMMCONTAZ_2_1
505839,1,1,1,1,1,1,,1,8,40,2,,20000,2,,,2,2,,,,
505839,2,1,1,1,1,1,,1,2,40,2,,14500,2,,,2,2,,,,
506628,1,1,1,1,2,1,,1,8,20,2,,18000,2,,,2,2,,,,
506628,2,2,1,1,1,2,6,1,8,18,2,,18000,2,,,2,2,,,,
506738,1,2,1,1,1,1,,1,4,40,2,,30000,1,500,,2,2,,,,
507282,1,1,1,2,1,1,,1,2,30,2,,13800,2,,,2,2,,,,
507444,1,1,1,1,1,1,,1,5,48,2,,18200,2,,,2,2,,,,
507913,2,1,1,2,1,1,,1,1,18,2,,3600,2,,,2,2,,,,
509601,1,1,1,1,1,1,,1,5,30,2,,20000,2,,,2,2,,,,
509601,3,1,1,1,1,1,,1,5,30,2,,25000,2,,,2,2,,,,
509689,1,1,1,1,1,1,,1,4,36,2,,18000,2,,,2,2,,,,
509806,3,1,1,1,2,1,,1,5,48,2,,14400,2,,,2,2,,,,
510329,2,1,1,1,1,1,,1,1,46,2,,6000,2,,,2,2,,,,
510345,2,1,1,1,1,1,,1,2,50,2,,31200,2,,,2,2,,,,
511136,1,1,1,2,2,1,,1,8,18,2,,5500,2,,,2,2,,,,
511352,1,1,1,2,1,1,,1,7,18,2,,7000,2,,,2,2,,,,
511352,2,2,1,2,1,1,,1,7,20,2,,7500,2,,,2,2,,,,
511474,2,1,1,2,2,1,,1,2,25,2,,8000,2,,,2,2,,,,
512517,1,1,1,1,1,1,,1,8,36,2,,16800,2,,,2,2,,,,
512517,2,2,1,2,2,2,2,1,6,18,2,,380,2,,,2,2,,,,
512784,1,1,1,1,1,1,,1,1,45,2,,18000,2,,,2,2,,,,
512784,4,1,1,2,1,1,,1,1,20,2,,9000,2,,,2,2,,,,
512843,3,2,1,1,1,1,,1,3,36,2,,14000,2,,,2,2,,,,
512887,1,1,1,1,1,1,,1,2,40,2,,17000,2,,,2,2,,,,
513377,1,1,1,1,1,1,,1,8,36,2,,16000,2,,,2,2,,,,
513406,3,1,1,1,1,1,,1,2,36,2,,15000,2,,,2,2,,,,
611412,1,1,1,1,1,1,,1,8,38,2,,48000,2,,,2,2,,,,
611614,1,1,1,2,1,1,,1,1,20,2,,9000,2,,,1,2,,1,,
611614,2,1,1,1,1,1,,1,6,38,2,,24000,2,,,1,2,,1,,
611614,3,1,1,1,1,1,,1,6,38,2,,18000,2,,,1,2,,1,,
614660,1,1,1,2,1,1,,1,1,30,2,,6000,2,,,2,2,,,,
615399,3,1,1,1,1,2,10,1,1,38,1,6,12000,2,,,2,2,,,,
615399,4,1,1,1,1,1,,1,7,38,1,0,15400,1,150,,1,2,,1,,
617023,2,1,1,1,1,2,8,1,6,42,1,2,17800,2,,,2,2,,,,
617231,2,1,1,2,1,1,,1,1,36,2,,11200,2,,,2,2,,,,
617398,2,1,1,1,1,1,,1,8,40,2,,62000,2,,,2,2,,,,
620829,1,1,1,1,1,1,,1,8,35,1,0,23500,2,,,2,2,,,,
620829,2,2,1,2,1,1,,1,6,22,1,1,13150,2,,,2,2,,,,
621773,2,1,1,1,1,1,,1,4,40,2,,19500,2,,,2,2,,,,
621773,3,1,1,2,1,1,,1,1,25,2,,7000,2,,,2,2,,,,
624781,2,1,1,2,1,1,,1,2,25,2,,9000,2,,,2,2,,,,
630345,2,2,1,1,1,1,,1,8,40,1,2,18000,2,,,2,2,,,,
631306,4,3,1,1,1,1,,1,5,40,2,,13000,2,,,2,2,,,,
633412,1,1,1,1,1,1,,1,8,36,1,1,22100,2,,,2,2,,,,
633412,2,1,1,1,1,1,,1,8,36,2,,22100,2,,,2,2,,,,
