NQUEST,NORDEB2,QUALEIMM,DEBM2,ANMUTUOI2,MUTUODUI2,MUTUOINI2,DEBGAR2,DEBPERS2,DEBRF2,DEBREFMOT2_1,DEBREFMOT2_2,DEBREFMOT2_2C,DEBMOD2_1,DEBMOD2_2,DEBMOD2_8C,ANRIFIN2,MUTUOFIN2,TIPOTAX2,RATACON2,TAXFIS2,TAXVAR2,TMUTUOAB2,TDEBITA2,DEBCOR
919374,1,7,1,2022,6,50000,1,,2,,,,,,,,6,1,,5,,3500,48000,
919374,2,7,1,2021,6,54000,1,,2,,,,,,,,6,1,,2.5,,10000,38000,
919741,1,7,2,2011,15,70000,2,,1,1,,,3,,,2018,5,1,,4,,4000,18000,1
921322,1,2,1,2021,5,8000,4,2,2,,,,,,,,3,1,,3,,2000,6000,
923535,1,3,2,2022,5,40000,4,1,3,,,,,,,,3,1,,2,,12000,28000,2
924069,1,7,1,2021,15,46000,4,1,2,,,,,,,,13,3,1,1.5,2,2940,35000,
924492,1,1,2,2018,5,10000,4,1,2,,,,,,,,1,1,,4,,2280,2280,
924572,1,7,1,2021,6,32400,1,,2,,,,,,,,4,2,1,,4,5400,21600,
928085,1,1,1,2017,30,45000,1,,2,,,,,,,,26,1,,3,,2136,38500,
928085,2,2,1,2014,30,58200,1,,1,,,,,,,,15,1,,2,,3180,45488,
928085,3,3,1,2016,30,64600,1,,1,,,,,,,,17,1,,1,,3660,53100,
928085,4,6,1,2018,20,47000,1,,1,,,,,,,,15,1,,1,,1824,40800,
928085,5,6,1,2019,30,45000,1,,2,,,,,,,,25,1,,2,,1908,41000,
928085,6,6,1,2020,30,112000,1,,2,,,,,,,,28,1,,1,,4550,106000,
930120,1,1,1,2006,25,124000,1,,2,,,,,,,,9,2,2,,3.65,6960,52330,
930605,1,1,1,2010,30,120000,1,,3,,,,,,,,17,1,,1.6,,9000,90000,
930914,1,2,2,2019,10,200000,1,,2,,,,,,,,5,1,,2,,24000,120000,
931003,1,1,1,2015,15,92500,3,,2,,,,,,,,7,2,2,,3.59,3000,12770,
931426,1,1,1,2011,20,100000,4,1,3,,,,,,,,7,2,2,,4,7200,65000,
931426,2,2,1,2022,20,155000,4,1,3,,,,,,,,19,1,,2.15,,9600,100000,
931688,1,1,1,2014,30,132000,1,,2,,,,,,,,21,2,2,,1.5,6000,101000,
931923,1,2,1,2022,10,300000,1,,2,,,,,,,,9,2,1,,4.2,7200,293000,
932312,1,1,1,2006,20,200000,1,,2,,,,,,,,4,2,1,,4.2,12000,48000,
932773,1,1,1,2021,15,150000,1,,2,,,,,,,,13,1,,0.9,,10000,132000,
933050,1,1,1,2015,20,650000,1,,1,,,,,,,,17,1,,1.2,,28800,490000,
933865,1,6,1,2022,30,160000,1,,2,,,,,,,,29,2,2,,3,8000,155000,
934324,1,1,2,2022,10,100000,4,1,2,,,,,,,,9,1,,3,,10500,91000,
934928,1,1,2,2018,10,95000,4,1,2,,,,,,,,7,1,,4,,12000,68000,
935193,1,1,2,2020,10,100000,1,,2,,,,,,,,7,1,,7,,10380,72000,
935280,1,1,1,2019,10,70000,1,,2,,,,,,,,6,1,,4,,9000,40000,
935443,1,1,1,2022,10,60000,1,,2,,,,,,,,10,1,,3.75,,600,59400,
935449,1,1,1,2021,15,80000,1,,2,,,,,,,,13,2,2,,1.8,6000,68000,
935827,1,1,1,2019,15,90000,1,,1,,,,,,,,11,2,2,,5,4200,50000,
936039,1,1,1,2018,10,60000,1,,2,,,,,,,,6,2,2,,1.5,6500,32500,
936635,1,1,2,2020,10,53000,1,,2,,,,,,,,8,1,,1,,5250,31200,
936656,1,1,1,2013,15,100000,1,,2,,,,,,,,5,1,,2,,4000,30000,
