NQUEST,NORD,INTPER,NATTIVITA,TIPOPEN,ENTEPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE
35682,1,1,1,1,1,2006,900,13,2,,70
35682,2,2,1,1,1,2017,1600,13,2,,80
35788,1,1,1,1,1,2010,1480,13,2,,90
35788,2,2,1,1,1,2018,525,13,2,,40
36130,1,1,1,1,1,2018,1700,13,2,,90
36186,1,1,1,3,1,1992,500,13,2,,
36321,1,1,1,1,1,2007,1900,13,2,,80
36321,3,1,1,5,1,2000,290,13,2,,
36333,1,1,1,3,1,2017,500,13,2,,
36409,1,1,1,1,1,2018,1800,13,2,,90
36409,1,1,2,5,1,1990,300,12,2,,
36409,1,1,3,3,1,2019,500,13,2,,
36443,1,1,1,1,1,2011,1200,13,2,,95
36443,2,1,1,1,1,2021,1300,13,2,,98
36697,1,1,1,1,1,2016,1500,13,2,,70
36893,1,1,1,1,1,2012,1680,13,2,,90
37521,1,1,1,1,1,2007,1800,13,2,,100
37810,1,1,1,1,1,2011,560,14,2,,50
38014,1,2,1,1,1,2010,1800,13,2,,80
38106,1,1,1,1,1,1998,2000,13,2,,90
38877,1,1,1,1,1,2010,1800,13,2,,70
38877,2,1,1,5,1,2012,300,13,2,,
38885,1,1,1,1,1,1997,1400,13,2,,80
38885,2,2,1,1,1,2015,680,12,2,,50
38939,2,1,1,3,1,2012,1100,13,2,,
39056,1,1,1,1,1,2019,1800,13,2,,80
39086,1,1,1,1,1,2002,850,13,2,,50
39086,2,1,1,1,1,2000,1700,13,2,,70
39095,1,1,1,1,1,2021,1600,13,2,,30
39095,1,1,2,3,1,2017,450,13,2,,
39218,1,1,1,1,1,2001,2000,13,2,,80
39318,1,1,1,1,1,2021,1380,13,2,,40
39488,1,1,1,1,1,2008,1350,13,2,,70
39697,1,1,1,1,1,2007,2100,13,2,,75
39697,2,1,1,1,1,2019,1200,13,2,,60
50231,1,1,1,3,1,2000,700,13,2,,
51895,1,1,1,1,1,1995,1300,13,2,,80
51895,2,2,1,1,1,1997,1000,13,2,,70
52700,1,1,1,3,1,2014,920,13,2,,
52718,1,1,1,3,1,1999,520,13,2,,
53086,1,1,1,1,1,2022,2100,13,2,,80
53202,1,1,1,1,1,2015,1500,13,2,,80
53202,1,1,2,3,1,2017,600,13,2,,
53234,1,1,1,1,1,2001,1200,13,2,,80
53234,2,2,1,1,1,1990,500,13,2,,50
53234,2,2,2,5,1,1991,600,13,2,,
53373,1,1,1,1,1,2005,1800,13,2,,70
53373,2,2,1,1,1,2017,1300,13,2,,60
53380,1,1,1,1,1,1997,1000,13,2,,70
53552,1,1,1,1,1,2022,900,11,2,,90
53997,1,1,1,1,1,1980,820,13,2,,60
53997,1,1,2,3,1,2013,750,13,2,,
