NQUEST,CTIT,NCTIT,ICTIT,BANCHE,SCOPER,UTSCOPER,VMSCOPER,FSCOPER,FSCOPER1,CARTA,CARTE,USOCART,CARTDEB,CARTDEB1,BANCOMAT,CARTAPRE,SPESECON,COLDIS,TRADING,ECREDIT,PAYLAT,PAYLATCOME1,PAYLATCOME2,PAYLATCOME3,PAYLATCOME4,INTERNET,TWEET,DEPOSIT,NDEPOSIT
39086,2,,,2,2,,,,,2,,,,,1,2,400,1,3,3,2,,,,,1,2,1,4
39095,2,,,2,1,2,,,,1,1,1,,,1,1,300,1,3,3,2,,,,,1,2,1,2
39218,2,,,2,2,,,,,2,,,,,1,2,100,2,,,2,,,,,2,,1,2
39227,2,,,2,1,1,5000,6000,,2,,,,,1,1,300,2,,,2,,,,,2,,1,2
39317,2,,,2,2,,,,,2,,,,,1,2,600,2,,,2,,,,,2,,1,2
39318,1,1,2,2,2,,,,,2,,,,,1,2,500,1,3,3,2,,,,,1,2,1,3
39488,2,,,1,2,,,,,2,,,,,1,2,250,2,,,2,,,,,1,2,1,1
39697,2,,,1,1,2,,,,1,1,2,,,1,1,400,1,3,3,2,,,,,1,1,1,1
50231,2,,,1,2,,,,,2,,,,,1,1,600,2,,,2,,,,,1,2,1,3
51895,2,,,1,2,,,,,2,,,,,1,2,600,2,,,2,,,,,2,,1,1
52700,2,,,1,2,,,,,2,,,,,1,2,800,2,,,2,,,,,1,2,1,1
52718,2,,,2,2,,,,,2,,,,,2,2,200,2,,,2,,,,,2,,1,2
52736,2,,,1,2,,,,,2,,,,,2,2,400,2,,,2,,,,,1,2,1,1
53086,2,,,1,2,,,,,1,1,2,,,1,1,750,1,3,3,2,,,,,1,2,1,1
53202,2,,,2,2,,,,,1,1,1,,,1,2,400,2,,,2,,,,,2,,1,2
53234,2,,,1,2,,,,,2,,,,,1,1,750,1,3,3,2,,,,,1,2,1,3
53373,2,,,1,1,1,350,0,,1,1,2,,,1,2,200,1,3,3,2,,,,,1,2,1,1
