NQUEST,NORD,INTPER,CASD,CIGRED,CIGORE,CIGMESI,CASV,MOBD,MOBV,DISD,DISV,LIQD,LIQV,ACED,ACEV,APLD,APLV,AIPD,AIPV,BORSAD,BORSAV,RRD,RRV,ROD,ROV,ALIMD,ALIMV,ASCD,ASCV,ALTRED,ALTREV
952978,1,2,,,,,,,,,,,,2,,1,3800,2,,,,,,,,,,,,,
953030,2,,,,,,,,,,,,,,,,,,,2,,2,,2,,1,4800,2,,2,
953044,1,1,,,,,,,,,,,,1,500,1,150,2,,,,,,,,,,,,,
953044,2,1,,,,,,,,,,,,1,500,1,150,2,,,,,,,,,,,,,
953216,1,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
953306,1,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
953315,2,1,,,,,,,,,,,,1,2400,2,,2,,,,,,,,,,,,,
953340,2,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
953545,1,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
953610,3,1,,,,,,,,,,,,,,,,,,2,,1,3400,2,,2,,2,,2,
953610,4,1,,,,,,,,,,,,,,,,,,2,,1,1000,2,,2,,2,,2,
953898,2,2,,,,,,,,,,,,1,120,2,,2,,,,,,,,,,,,,
953898,3,1,,,,,,,,,,,,1,50,2,,2,,2,,2,,2,,2,,2,,1,50
953904,1,1,,,,,,,,,,,,1,1100,2,,2,,,,,,,,,,,,,
953975,1,1,1,2,,,1632,2,,2,,2,,,,,,,,,,,,,,,,,,,
954085,2,1,2,,,,,2,,1,1500,2,,,,,,,,,,,,,,,,,,,
954645,2,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
954898,2,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
955104,2,1,2,,,,,2,,1,9000,2,,,,,,,,,,,,,,,,,,,
955194,1,1,,,,,,,,,,,,2,,1,2000,2,,,,,,,,,,,,,
955219,1,1,2,,,,,2,,1,800,1,700,,,,,,,,,,,,,,,,,,
955219,2,1,2,,,,,2,,1,600,1,600,,,,,,,,,,,,,,,,,,
955315,3,1,,,,,,,,,,,,1,1320,2,,2,,,,,,,,,,,,,
955315,4,1,,,,,,,,,,,,1,1320,2,,2,,,,,,,,,,,,,
955544,2,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
955677,1,1,1,2,,,3000,2,,2,,2,,,,,,,,,,,,,,,,,,,
955757,2,1,,,,,,,,,,,,,,,,,,1,700,2,,2,,2,,2,,2,
955757,3,1,,,,,,,,,,,,,,,,,,1,800,2,,2,,2,,2,,2,
955757,4,1,,,,,,,,,,,,,,,,,,1,700,2,,2,,2,,2,,2,
955839,1,1,,,,,,,,,,,,1,2500,2,,2,,,,,,,,,,,,,
955839,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
955853,1,1,,,,,,,,,,,,1,3000,2,,2,,,,,,,,,,,,,
955865,4,1,,,,,,,,,,,,,,,,,,1,370,2,,2,,2,,2,,2,
956017,1,1,,,,,,,,,,,,1,1300,2,,2,,,,,,,,,,,,,
956118,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,2500
956207,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
956207,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,50,2,,2,,1,1400
956258,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,1000,2,,2,,2,
956258,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,1000,2,,2,,2,
956353,4,1,,,,,,,,,,,,1,1500,2,,2,,,,,,,,,,,,,
956460,1,1,2,,,,,2,,1,3990,2,,,,,,,,,,,,,,,,,,,
956460,2,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
956460,3,1,,,,,,,,,,,,1,100,2,,2,,,,,,,,,,,,,
956606,1,1,2,,,,,2,,1,9000,2,,,,,,,,,,,,,,,,,,,
956797,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,2000,2,,2,,2,
956892,2,1,2,,,,,2,,1,3500,2,,,,,,,,,,,,,,,,,,,
956895,3,1,,,,,,,,,,,,,,,,,,1,2500,2,,2,,2,,2,,2,
956904,1,1,,,,,,,,,,,,1,1300,2,,2,,,,,,,,,,,,,
956905,1,1,,,,,,,,,,,,1,2100,2,,2,,,,,,,,,,,,,
956905,2,2,,,,,,,,,,,,1,2000,2,,2,,,,,,,,,,,,,
956905,3,2,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
957048,5,1,,,,,,,,,,,,,,,,,,1,400,2,,1,200,2,,2,,2,
957093,3,1,2,,,,,2,,1,600,2,,,,,,,,,,,,,,,,,,,
957097,1,,,,,,,,,,,,,1,50,2,,2,,,,,,,,,,,,,
957657,2,1,,,,,,,,,,,,1,3000,2,,2,,,,,,,,,,,,,
957692,2,1,2,,,,,2,,1,7000,2,,,,,,,,,,,,,,,,,,,
957775,4,2,,,,,,,,,,,,1,5000,2,,2,,,,,,,,,,,,,
959381,2,1,,,,,,,,,,,,1,50,2,,2,,,,,,,,,,,,,
960303,1,1,,,,,,,,,,,,1,960,2,,2,,,,,,,,,,,,,
960304,2,1,,,,,,,,,,,,1,4800,2,,2,,,,,,,,,,,,,
960747,1,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
960747,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
961117,3,1,,,,,,,,,,,,1,150,2,,2,,,,,,,,,,,,,
961325,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,25000,2,,2,,2,
961325,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,50000,2,,2,,2,
961474,1,1,,,,,,,,,,,,1,1980,2,,2,,,,,,,,,,,,,
961611,3,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,3600,2,,2,
961611,4,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,3600,2,,2,
963653,1,,,,,,,,,,,,,1,3600,2,,2,,,,,,,,,,,,,
964314,1,1,,,,,,,,,,,,2,,1,100,2,,,,,,,,,,,,,
964845,2,1,,,,,,,,,,,,1,100,2,,2,,,,,,,,,,,,,
968914,1,1,,,,,,,,,,,,1,1440,2,,2,,,,,,,,,,,,,
968914,2,1,,,,,,,,,,,,1,4810,2,,2,,,,,,,,,,,,,
970357,2,1,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
970716,3,2,,,,,,,,,,,,1,1800,2,,2,,,,,,,,,,,,,
970819,1,,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
971152,2,2,,,,,,,,,,,,2,,1,600,2,,,,,,,,,,,,,
971505,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,1000,2,,2,,2,
971505,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
971505,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,400,2,,2,,2,
974035,1,1,1,2,,,3500,2,,2,,2,,1,500,2,,2,,,,,,,,,,,,,
974064,3,1,,,,,,,,,,,,2,,1,600,2,,,,,,,,,,,,,
974487,1,1,,,,,,,,,,,,1,1290,2,,2,,,,,,,,,,,,,
975476,1,1,,,,,,,,,,,,,,,,,,2,,1,5000,1,300,2,,2,,1,2000
975476,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,2500,2,,2,,1,4000
980080,2,1,,,,,,,,,,,,1,900,2,,2,,,,,,,,,,,,,
980089,1,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
980346,1,,,,,,,,,,,,,1,7000,2,,2,,,,,,,,,,,,,
980448,1,1,,,,,,,,,,,,2,,1,500,2,,,,,,,,,,,,,
980462,3,1,,,,,,,,,,,,1,6300,2,,2,,,,,,,,,,,,,
980493,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,10000,2,,2,,2,
980976,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,20000,2,,2,,2,
980996,1,1,,,,,,,,,,,,,,,,,,2,,1,15000,2,,2,,2,,2,
981035,2,1,,,,,,,,,,,,1,1100,2,,2,,,,,,,,,,,,,
981071,1,,,,,,,,,,,,,1,6240,2,,2,,,,,,,,,,,,,
981126,1,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
981226,1,,,,,,,,,,,,,,,,,,,2,,1,4800,2,,2,,2,,2,
981235,1,,2,,,,,2,,1,680,2,,,,,,,,,,,,,,,,,,,
981605,1,,,,,,,,,,,,,,,,,,,2,,2,,1,40000,2,,2,,2,
981919,1,,,,,,,,,,,,,,,,,,,1,10000,2,,2,,2,,2,,2,
982004,2,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,2500
982043,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,6000,2,,2,
982138,1,1,1,2,,,3200,2,,2,,2,,,,,,,,,,,,,,,,,,,
982155,1,,,,,,,,,,,,,,,,,,,2,,1,5500,1,1200,2,,2,,1,12000
982155,2,,,,,,,,,,,,,,,,,,,2,,2,,1,1600,2,,2,,2,
982155,3,,,,,,,,,,,,,,,,,,,2,,2,,1,800,2,,2,,2,
982163,2,1,,,,,,,,,,,,2,,2,,2,,2,,2,,1,2000,2,,2,,2,
983021,1,2,,,,,,,,,,,,1,6300,2,,2,,,,,,,,,,,,,
983059,1,1,,,,,,,,,,,,2,,1,3600,2,,,,,,,,,,,,,
983414,1,,,,,,,,,,,,,1,300,2,,2,,,,,,,,,,,,,
983596,1,,,,,,,,,,,,,,,,,,,2,,1,12000,2,,2,,2,,2,
983597,2,1,,,,,,,,,,,,1,3000,2,,2,,,,,,,,,,,,,
983608,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
983608,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,250,2,,2,,2,
983616,3,1,,,,,,,,,,,,,,,,,,1,2600,2,,2,,2,,2,,2,
983930,3,1,,,,,,,,,,,,1,50,2,,2,,,,,,,,,,,,,
984010,2,2,2,,,,,2,,1,100,2,,,,,,,,,,,,,,,,,,,
984092,4,1,,,,,,,,,,,,1,6600,2,,2,,,,,,,,,,,,,
984127,3,1,,,,,,,,,,,,,,,,,,1,250,2,,2,,2,,2,,2,
984171,3,1,,,,,,,,,,,,,,,,,,1,1000,2,,2,,2,,2,,2,
984179,1,1,,,,,,,,,,,,1,50,2,,2,,2,,2,,2,,2,,2,,1,50
984432,1,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
984442,2,1,2,,,,,2,,1,2100,2,,,,,,,,,,,,,,,,,,,
984699,1,1,,,,,,,,,,,,1,3500,2,,2,,,,,,,,,,,,,
984910,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,2100
985157,4,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
985170,2,2,2,,,,,2,,1,300,2,,,,,,,,,,,,,,,,,,,
985203,3,1,2,,,,,2,,1,9000,1,5000,,,,,,,,,,,,,,,,,,
985504,2,1,,,,,,,,,,,,1,516,2,,2,,,,,,,,,,,,,
985506,2,2,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
985780,1,1,,,,,,,,,,,,1,2100,2,,2,,,,,,,,,,,,,
985807,2,2,2,,,,,2,,1,1000,2,,,,,,,,,,,,,,,,,,,
985820,1,1,,,,,,,,,,,,1,3000,2,,2,,,,,,,,,,,,,
986249,2,2,,,,,,,,,,,,1,550,2,,2,,,,,,,,,,,,,
986486,2,1,,,,,,,,,,,,2,,2,,1,600,,,,,,,,,,,,
986563,1,,,,,,,,,,,,,1,5000,2,,2,,,,,,,,,,,,,
988937,1,,,,,,,,,,,,,,,,,,,2,,2,,2,,1,7200,2,,2,
989018,3,1,,,,,,,,,,,,,,,,,,1,4000,2,,2,,2,,2,,1,1000
989172,2,1,,,,,,,,,,,,1,300,2,,2,,,,,,,,,,,,,
989248,1,,,,,,,,,,,,,1,400,2,,2,,,,,,,,,,,,,
990020,1,1,2,,,,,2,,1,4900,2,,,,,,,,,,,,,,,,,,,
990218,1,1,,,,,,,,,,,,1,700,2,,2,,,,,,,,,,,,,
990254,1,1,,,,,,,,,,,,2,,1,5000,2,,,,,,,,,,,,,
990254,2,1,,,,,,,,,,,,2,,1,6000,2,,,,,,,,,,,,,
990293,2,2,,,,,,,,,,,,2,,1,200,2,,,,,,,,,,,,,
990360,4,1,,,,,,,,,,,,,,,,,,1,1000,2,,2,,2,,2,,2,
990394,1,1,1,2,,,2000,2,,2,,2,,,,,,,,,,,,,,,,,,,
990481,3,1,,,,,,,,,,,,,,,,,,1,6800,2,,2,,2,,2,,2,
990488,1,1,2,,,,,2,,1,6000,2,,,,,,,,,,,,,,,,,,,
990505,1,1,,,,,,,,,,,,,,,,,,1,750,2,,2,,2,,2,,1,3300
990576,4,1,,,,,,,,,,,,,,,,,,1,4800,2,,2,,2,,2,,2,
990607,4,2,,,,,,,,,,,,2,,1,4900,2,,,,,,,,,,,,,
990610,1,1,,,,,,,,,,,,1,1300,2,,2,,,,,,,,,,,,,
990621,2,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
990737,1,1,,,,,,,,,,,,2,,1,1680,2,,,,,,,,,,,,,
990815,3,1,,,,,,,,,,,,2,,1,600,2,,,,,,,,,,,,,
990823,4,1,2,,,,,2,,1,8000,2,,,,,,,,,,,,,,,,,,,
990854,1,1,,,,,,,,,,,,2,,1,100,2,,,,,,,,,,,,,
990922,2,2,2,,,,,2,,1,600,2,,2,,2,,2,,,,,,,,,,,,,
990923,3,2,,,,,,,,,,,,1,840,2,,2,,,,,,,,,,,,,
991014,2,1,2,,,,,2,,1,1500,2,,,,,,,,,,,,,,,,,,,
991028,3,1,2,,,,,2,,1,600,2,,,,,,,,,,,,,,,,,,,
991034,3,1,2,,,,,2,,1,1000,2,,,,,,,,,,,,,,,,,,,
991040,2,1,2,,,,,2,,1,3000,2,,,,,,,,,,,,,,,,,,,
991045,1,1,2,,,,,2,,1,1500,1,1500,,,,,,,,,,,,,,,,,,
991196,1,,,,,,,,,,,,,2,,1,500,2,,,,,,,,,,,,,
991250,1,1,,,,,,,,,,,,1,5445,1,1800,2,,,,,,,,,,,,,
991303,1,1,,,,,,,,,,,,2,,1,1392,2,,,,,,,,,,,,,
991339,1,1,,,,,,,,,,,,1,400,2,,2,,,,,,,,,,,,,
991339,3,1,,,,,,,,,,,,1,300,2,,2,,,,,,,,,,,,,
991568,1,,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
991916,1,1,2,,,,,2,,1,8800,2,,,,,,,,,,,,,,,,,,,
991938,1,,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
992130,1,2,,,,,,,,,,,,1,4800,2,,2,,2,,2,,2,,2,,1,4800,2,
992130,2,2,,,,,,,,,,,,1,200,2,,2,,,,,,,,,,,,,
992130,3,2,,,,,,,,,,,,1,2520,2,,2,,,,,,,,,,,,,
992130,4,2,,,,,,,,,,,,1,6240,2,,2,,,,,,,,,,,,,
993195,1,1,,,,,,,,,,,,1,2500,2,,2,,,,,,,,,,,,,
993828,3,1,1,,,,450,2,,2,,2,,,,,,,,,,,,,,,,,,,
994004,2,1,,,,,,,,,,,,1,800,2,,2,,,,,,,,,,,,,
994053,3,1,2,,,,,2,,1,1900,2,,,,,,,,,,,,,,,,,,,
995061,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,2000,2,,2,,2,
995440,3,1,2,,,,,2,,1,91,2,,,,,,,,,,,,,,,,,,,
995559,3,1,,,,,,,,,,,,,,,,,,1,16000,2,,2,,2,,2,,2,
995599,3,1,,,,,,,,,,,,1,6500,2,,2,,,,,,,,,,,,,
995814,1,1,,,,,,,,,,,,1,3140,2,,2,,,,,,,,,,,,,
996068,1,,,,,,,,,,,,,2,,2,,1,8760,,,,,,,,,,,,
996605,3,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
997566,4,3,,,,,,,,,,,,1,1200,2,,2,,,,,,,,,,,,,
997588,1,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
997699,1,,,,,,,,,,,,,1,700,2,,2,,,,,,,,,,,,,
997761,3,1,,,,,,,,,,,,,,,,,,2,,1,3000,2,,2,,2,,2,
997761,4,1,,,,,,,,,,,,,,,,,,2,,1,3000,2,,2,,2,,2,
997772,4,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,500
997801,3,1,,,,,,,,,,,,,,,,,,2,,1,4200,2,,2,,2,,2,
997979,3,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,1000,2,,2,
997979,4,1,,,,,,,,,,,,,,,,,,2,,1,2400,2,,2,,2,,2,
998028,1,1,2,,,,,1,5000,2,,2,,,,,,,,,,,,,,,,,,,
998163,1,1,2,,,,,1,5000,2,,2,,,,,,,,,,,,,,,,,,,
998213,1,1,2,,,,,1,800,2,,2,,,,,,,,,,,,,,,,,,,
998359,1,1,2,,,,,2,,1,11000,2,,,,,,,,,,,,,,,,,,,
998569,1,1,,,,,,,,,,,,1,4548,2,,2,,,,,,,,,,,,,
998638,1,1,,,,,,,,,,,,,,,,,,1,2000,2,,2,,2,,2,,2,
999575,3,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1000052,1,,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
1000102,1,1,,,,,,,,,,,,1,9600,2,,2,,,,,,,,,,,,,
1000102,2,1,,,,,,,,,,,,1,100,2,,2,,,,,,,,,,,,,
1000196,1,,,,,,,,,,,,,2,,1,600,2,,,,,,,,,,,,,
1000202,2,2,2,,,,,2,,2,,1,100,,,,,,,,,,,,,,,,,,
1000585,1,,2,,,,,2,,1,2100,2,,1,2100,2,,2,,2,,2,,1,10000,1,3000,2,,2,
1001079,1,1,2,,,,,2,,2,,1,37000,,,,,,,,,,,,,,,,,,
1001321,4,1,2,,,,,2,,1,1500,2,,,,,,,,,,,,,,,,,,,
1001428,1,1,,,,,,,,,,,,1,1200,2,,2,,,,,,,,,,,,,
1001775,2,1,,,,,,,,,,,,2,,1,1200,2,,,,,,,,,,,,,
1001844,1,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
1002065,1,,,,,,,,,,,,,2,,1,500,2,,,,,,,,,,,,,
1002111,1,,2,,,,,2,,1,300,1,350,,,,,,,1,2000,1,2500,2,,2,,2,,2,
1002269,2,2,2,,,,,1,19000,2,,2,,,,,,,,,,,,,,,,,,,
1002269,3,1,,,,,,,,,,,,,,,,,,1,12000,2,,2,,2,,2,,2,
1002275,1,,,,,,,,,,,,,1,600,2,,2,,2,,2,,2,,1,6000,2,,2,
1002280,1,,2,,,,,2,,1,2500,2,,,,,,,,,,,,,,,,,,,
1002282,2,1,,,,,,,,,,,,1,2400,2,,2,,,,,,,,,,,,,
1002296,1,,2,,,,,2,,1,2000,2,,,,,,,,,,,,,,,,,,,
1002442,4,1,,,,,,,,,,,,1,4000,2,,2,,,,,,,,,,,,,
1002529,1,1,,,,,,,,,,,,1,3600,2,,2,,,,,,,,,,,,,
1002547,2,1,,,,,,,,,,,,1,280,2,,2,,,,,,,,,,,,,
1002554,2,2,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
1002557,3,3,,,,,,,,,,,,,,,,,,1,3730,2,,2,,2,,2,,2,
1002575,1,,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1002653,2,2,1,,,,8900,2,,2,,1,1100,,,,,,,,,,,,,,,,,,
1002735,3,1,,,,,,,,,,,,1,650,2,,2,,,,,,,,,,,,,
1002813,3,1,2,,,,,2,,1,800,1,120,,,,,,,,,,,,,,,,,,
1002954,1,1,,,,,,,,,,,,1,600,2,,2,,2,,2,,2,,2,,2,,1,100
1003053,2,2,,,,,,,,,,,,1,2000,2,,2,,,,,,,,,,,,,
1003289,1,1,1,2,,,1200,2,,2,,2,,1,2100,2,,2,,,,,,,,,,,,,
1003548,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
1003548,3,1,,,,,,,,,,,,1,2000,2,,2,,2,,2,,1,500,2,,2,,2,
1003790,1,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1003816,1,1,2,,,,,2,,1,5800,2,,,,,,,,,,,,,,,,,,,
1004417,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
1004595,2,2,,,,,,,,,,,,1,50,2,,2,,,,,,,,,,,,,
1004620,1,,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1004629,1,1,,,,,,,,,,,,1,10000,2,,2,,,,,,,,,,,,,
1004880,1,1,2,,,,,2,,1,5600,1,3000,,,,,,,,,,,,,,,,,,
1004889,1,1,2,,,,,2,,1,3000,2,,,,,,,,,,,,,,,,,,,
1004889,2,1,2,,,,,2,,1,3500,1,7000,,,,,,,,,,,,,,,,,,
1005131,3,1,,,,,,,,,,,,,,,,,,1,100,2,,2,,2,,2,,2,
1005153,1,1,1,2,,,1500,2,,2,,2,,,,,,,,,,,,,,,,,,,
1005285,1,1,,,,,,,,,,,,2,,2,,1,3000,,,,,,,,,,,,
1005285,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,100,2,,2,,2,
1005292,2,1,,,,,,,,,,,,1,1000,1,1000,1,1000,,,,,,,,,,,,
1005349,1,1,2,,,,,2,,1,7200,2,,,,,,,,,,,,,,,,,,,
1005349,4,1,,,,,,,,,,,,1,960,2,,2,,,,,,,,,,,,,
1005671,1,1,,,,,,,,,,,,,,,,,,1,800,1,3600,1,200,2,,2,,2,
1005688,1,1,,,,,,,,,,,,1,100,2,,2,,,,,,,,,,,,,
1005688,2,1,1,2,,,100,2,,2,,2,,,,,,,,,,,,,,,,,,,
1005688,3,1,,,,,,,,,,,,,,,,,,2,,1,200,2,,2,,2,,2,
1005808,1,,,,,,,,,,,,,,,,,,,2,,1,3000,2,,2,,2,,2,
1005850,2,1,,,,,,,,,,,,1,3080,2,,2,,,,,,,,,,,,,
1005859,1,1,,,,,,,,,,,,2,,1,360,2,,,,,,,,,,,,,
1005929,4,1,,,,,,,,,,,,,,,,,,1,1500,2,,2,,2,,2,,2,
1006110,1,,,,,,,,,,,,,,,,,,,2,,2,,1,1000,2,,2,,2,
1006110,2,,,,,,,,,,,,,,,,,,,2,,2,,1,1500,2,,2,,2,
1006435,1,1,2,,,,,2,,2,,1,330000,,,,,,,,,,,,,,,,,,
1006639,6,1,,,,,,,,,,,,1,13000,2,,2,,,,,,,,,,,,,
1006674,3,2,,,,,,,,,,,,1,12000,2,,2,,,,,,,,,,,,,
1006773,2,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,2000
1006773,3,1,,,,,,,,,,,,,,,,,,1,3000,2,,2,,2,,2,,2,
1007160,2,2,,,,,,,,,,,,1,100,2,,2,,,,,,,,,,,,,
1007160,5,1,,,,,,,,,,,,1,4800,2,,2,,,,,,,,,,,,,
1007484,1,1,,,,,,,,,,,,1,150,2,,2,,,,,,,,,,,,,
1007484,3,1,,,,,,,,,,,,,,,,,,1,1800,1,100,1,50,2,,2,,2,
1007579,1,1,,,,,,,,,,,,1,150,2,,2,,,,,,,,,,,,,
1007579,2,2,,,,,,,,,,,,1,150,2,,2,,,,,,,,,,,,,
1007579,4,1,,,,,,,,,,,,1,150,2,,2,,,,,,,,,,,,,
1007680,2,1,,,,,,,,,,,,2,,1,6325,2,,,,,,,,,,,,,
1007940,1,1,,,,,,,,,,,,2,,1,200,2,,,,,,,,,,,,,
1007940,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,300,2,,2,,2,
1007940,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,50,2,,2,,2,
1008011,1,,2,,,,,2,,1,1000,1,700,,,,,,,2,,2,,1,400,1,10200,2,,2,
1008011,2,,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
1008011,3,,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
1008011,4,,,,,,,,,,,,,,,,,,,2,,2,,1,200,2,,2,,2,
1008047,1,1,,,,,,,,,,,,2,,1,3000,2,,,,,,,,,,,,,
1008047,2,1,,,,,,,,,,,,2,,1,3000,2,,,,,,,,,,,,,
1008047,3,1,,,,,,,,,,,,,,,,,,2,,1,1200,1,300,2,,2,,2,
1008050,1,,,,,,,,,,,,,1,5000,2,,2,,,,,,,,,,,,,
1008203,1,1,,,,,,,,,,,,1,1000,2,,2,,,,,,,,,,,,,
1008203,2,1,,,,,,,,,,,,1,5000,2,,2,,,,,,,,,,,,,
1008271,3,1,,,,,,,,,,,,,,,,,,1,1000,2,,2,,2,,2,,2,
1008271,4,1,,,,,,,,,,,,,,,,,,1,600,2,,2,,2,,2,,2,
1008278,2,2,2,,,,,2,,1,200,2,,,,,,,,,,,,,,,,,,,
1008617,1,,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
1008703,2,1,,,,,,,,,,,,1,5500,2,,2,,,,,,,,,,,,,
1009007,1,1,1,2,,,6000,2,,2,,2,,1,5000,2,,2,,,,,,,,,,,,,
1009108,1,1,,,,,,,,,,,,,,,,,,2,,2,,2,,1,14400,2,,1,200
1009108,3,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,250
1009978,2,2,1,2,,,1700,2,,2,,2,,,,,,,,,,,,,,,,,,,
1010010,1,1,2,,,,,2,,1,4000,2,,,,,,,,,,,,,,,,,,,
1010479,2,1,,,,,,,,,,,,,,,,,,1,500,2,,2,,1,1200,2,,2,
1010545,1,2,,,,,,,,,,,,1,4800,2,,2,,,,,,,,,,,,,
1010545,2,2,,,,,,,,,,,,1,3000,2,,2,,,,,,,,,,,,,
1011134,1,1,,,,,,,,,,,,2,,1,12150,2,,,,,,,,,,,,,
1011690,1,1,,,,,,,,,,,,1,3360,2,,2,,,,,,,,,,,,,
1012023,2,1,,,,,,,,,,,,1,4400,2,,2,,,,,,,,,,,,,
1013101,1,1,,,,,,,,,,,,1,10480,2,,2,,,,,,,,,,,,,
1013257,1,1,,,,,,,,,,,,1,1800,2,,2,,,,,,,,,,,,,
1013293,2,1,,,,,,,,,,,,1,280,2,,2,,,,,,,,,,,,,
1013571,1,1,,,,,,,,,,,,1,1580,2,,2,,,,,,,,,,,,,
1014346,3,1,,,,,,,,,,,,1,8000,2,,2,,,,,,,,,,,,,
1014685,1,1,2,,,,,1,980,2,,2,,,,,,,,,,,,,,,,,,,
1014821,1,1,1,,,,2500,2,,1,7000,2,,2,,1,2500,2,,,,,,,,,,,,,
1014899,3,1,,,,,,,,,,,,,,,,,,1,1500,2,,2,,2,,2,,2,
1015000,1,1,2,,,,,2,,1,7500,2,,,,,,,,,,,,,,,,,,,
1015000,2,2,2,,,,,2,,1,560,1,500,,,,,,,,,,,,,,,,,,
1015182,3,1,1,,,,1200,2,,2,,2,,,,,,,,,,,,,,,,,,,
1015209,2,1,,,,,,,,,,,,1,800,2,,2,,,,,,,,,,,,,
1015214,1,1,,,,,,,,,,,,1,4248,2,,2,,,,,,,,,,,,,
1015214,3,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,500
1015553,1,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
1015684,1,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1015684,2,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1015684,3,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
1015684,4,1,,,,,,,,,,,,1,500,2,,2,,,,,,,,,,,,,
1015776,2,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
1015927,1,,2,,,,,2,,1,3000,2,,,,,,,,,,,,,,,,,,,
