NQUEST,NORD,INTPER,CASD,CIGRED,CIGORE,CIGMESI,CASV,MOBD,MOBV,DISD,DISV,LIQD,LIQV,ACED,ACEV,APLD,APLV,AIPD,AIPV,BORSAD,BORSAV,RRD,RRV,ROD,ROV,ALIMD,ALIMV,ASCD,ASCV,ALTRED,ALTREV
919286,2,1,,,,,,,,,,,,,,,,,,2,,2,,2,,2,,2,,1,7200
919828,2,1,2,,,,,2,,1,1500,2,,,,,,,,,,,,,,,,,,,
920510,1,,,,,,,,,,,,,1,3000,2,,2,,,,,,,,,,,,,
920875,3,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
921255,3,1,,,,,,,,,,,,,,,,,,1,19200,1,500,1,200,2,,2,,2,
921255,4,1,,,,,,,,,,,,,,,,,,1,3200,1,1000,1,1000,2,,2,,2,
921334,1,1,2,,,,,2,,1,2000,2,,,,,,,,,,,,,,,,,,,
921680,2,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
921758,1,,,,,,,,,,,,,1,280,2,,2,,,,,,,,,,,,,
922563,1,1,1,2,,,600,2,,2,,2,,,,,,,,,,,,,,,,,,,
922640,1,1,,,,,,,,,,,,,,,,,,2,,1,3000,2,,1,8000,2,,2,
922640,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
922640,3,1,,,,,,,,,,,,,,,,,,2,,2,,1,500,2,,2,,2,
922648,2,1,,,,,,,,,,,,,,,,,,2,,2,,1,700,2,,2,,2,
922651,2,1,2,,,,,2,,2,,1,2000,,,,,,,,,,,,,,,,,,
922672,1,,,,,,,,,,,,,1,450,2,,2,,,,,,,,,,,,,
922708,4,1,,,,,,,,,,,,1,6000,2,,2,,,,,,,,,,,,,
922892,3,1,,,,,,,,,,,,1,3500,2,,2,,,,,,,,,,,,,
923354,1,1,,,,,,,,,,,,1,3600,2,,2,,,,,,,,,,,,,
923416,1,1,,,,,,,,,,,,1,600,2,,2,,,,,,,,,,,,,
923443,3,1,,,,,,,,,,,,,,,,,,1,2000,2,,2,,2,,2,,2,
923977,4,1,,,,,,,,,,,,,,,,,,2,,2,,1,50,2,,2,,2,
924005,1,1,,,,,,,,,,,,1,750,2,,2,,,,,,,,,,,,,
924005,2,1,,,,,,,,,,,,2,,1,500,2,,,,,,,,,,,,,
