NQUEST,NORD,GIU1,GIU2,GIU3,GIU4,GIU5,GIU6,GIUTOT,GIUTEL
29048,1,2,4,5,4,4,3,3,
29109,2,3,3,4,5,4,1,3,
29109,3,4,4,4,3,4,2,3,
29197,1,3,3,5,4,3,3,3,
29197,2,3,3,5,4,3,3,3,
29280,1,3,2,5,4,2,3,5,
29280,2,2,2,5,5,4,4,3,
29282,3,4,3,2,3,2,3,3,
29283,1,3,3,5,4,3,3,5,
29283,2,3,3,2,3,2,2,3,
29283,3,5,4,2,3,4,5,4,
29288,2,3,4,3,4,4,5,2,2
29288,3,2,2,4,3,3,2,3,3
29292,1,5,4,4,4,4,3,2,
29334,1,4,2,4,5,5,3,5,
29421,1,4,3,3,3,2,3,3,
29439,1,3,2,5,4,5,1,5,
29439,3,3,1,5,4,5,1,4,
29450,1,5,2,5,5,5,1,5,
29452,1,3,3,5,4,3,2,3,
29452,3,3,3,4,3,3,2,3,
29452,4,3,3,4,3,3,2,3,
29457,1,4,1,3,4,5,1,5,
29459,1,5,4,5,4,5,1,5,
29546,1,5,1,4,5,4,1,4,
29546,2,5,1,5,5,4,1,5,
29564,1,5,1,4,5,2,4,4,
29564,2,5,1,3,5,3,3,4,
29597,1,4,3,4,4,4,2,3,
29597,2,4,3,4,4,3,2,3,
29680,1,3,1,4,4,4,2,3,
29687,1,3,2,5,5,2,3,3,
29704,1,3,1,4,5,5,1,4,
29704,2,3,1,2,1,1,1,1,
29742,1,4,5,5,5,1,5,4,
29742,2,1,1,5,4,5,1,3,
29773,1,3,5,3,5,5,4,4,
29874,1,4,1,4,3,3,2,4,
29874,2,4,1,3,3,3,2,4,
31003,3,3,4,4,4,3,2,4,3
31008,2,3,2,4,4,5,1,2,
31025,1,3,1,3,3,4,1,3,
31033,1,4,2,4,3,3,3,3,
31033,2,4,3,4,4,3,2,4,
31051,2,3,5,5,5,3,5,3,
31080,1,4,1,3,3,3,1,4,
31080,2,3,1,4,4,5,1,3,
31081,1,3,3,5,5,4,1,5,
31092,1,1,1,3,5,2,3,2,
31093,1,5,1,5,5,4,5,5,
31095,1,5,1,4,5,4,4,3,
31095,2,3,1,4,3,5,1,3,
31119,1,4,1,3,3,3,1,1,
31119,2,3,3,3,3,3,3,3,
31119,3,3,2,3,2,2,2,2,
31119,4,3,2,2,2,2,2,2,
31120,2,5,1,5,4,4,4,4,
31120,3,4,3,5,5,3,3,4,
31122,1,5,1,3,2,2,1,2,
31123,1,2,3,5,3,3,5,3,
31137,1,3,2,4,4,4,5,3,
31137,2,4,3,5,5,5,5,3,
31142,1,3,3,4,5,5,1,5,
31142,2,4,2,4,4,3,1,3,
31144,2,4,3,4,4,4,5,4,2
31145,1,3,3,3,3,3,1,3,
31145,2,3,2,4,4,4,4,4,
31146,3,1,3,5,1,3,5,1,
31160,1,5,1,2,5,5,1,5,
31161,1,4,3,3,4,3,3,4,
31161,2,3,1,5,3,4,2,3,
31174,1,3,4,5,4,3,2,1,
31174,2,5,2,3,4,5,1,5,
31183,1,3,1,4,4,4,1,4,
31183,2,3,1,4,4,4,1,4,
31202,1,4,5,5,5,3,1,5,
31205,1,3,3,4,4,1,1,3,
31205,2,3,3,4,1,1,4,1,
31214,1,4,1,5,5,5,1,5,
31214,2,4,2,4,4,4,3,3,
31221,1,4,4,3,3,3,3,2,
31222,2,4,1,4,4,4,2,4,
31229,1,4,4,3,2,3,4,4,
31229,2,5,5,3,3,2,4,4,
31229,3,5,5,2,4,3,4,5,
31243,1,4,2,4,4,4,2,4,
31243,2,5,1,4,4,4,2,3,2
31243,3,3,3,5,3,5,2,2,3
31246,1,4,2,3,4,4,1,4,
31246,2,5,2,4,4,5,1,5,
31246,3,5,1,3,3,4,4,4,
31264,1,3,1,4,4,4,2,4,
31264,2,4,2,4,5,4,3,4,2
31280,1,4,1,3,4,4,1,4,
31280,2,2,3,3,3,3,1,3,
31281,1,3,5,5,2,4,4,1,
31281,2,3,5,5,2,4,4,1,
31316,1,2,5,4,3,3,2,3,
31316,2,3,3,4,3,2,3,3,
31326,1,2,5,5,5,1,2,4,
31326,2,3,3,5,4,3,1,4,
31341,2,4,1,4,4,3,1,4,2
31345,2,3,2,4,3,3,3,3,
31362,2,4,4,4,5,5,3,5,
31372,1,3,2,4,4,4,3,4,
31372,3,3,1,4,4,3,1,4,3
31373,1,5,1,5,5,,1,5,
31373,3,3,2,4,4,3,3,3,
31383,3,4,4,5,4,3,3,4,3
31407,1,5,3,5,5,5,4,5,
31409,1,4,1,4,4,3,3,4,
31409,2,4,3,4,5,3,3,4,
31415,1,3,1,4,5,5,1,5,
31415,2,3,1,4,5,5,1,5,
31416,1,4,2,3,3,3,1,3,
31416,2,3,1,4,3,3,3,3,
31416,3,2,1,4,3,5,3,3,
31435,1,5,1,4,5,5,1,5,
31435,2,5,1,4,5,5,1,5,
31437,2,4,4,5,4,4,4,4,
31439,1,5,1,4,5,5,1,5,
31441,1,3,3,3,1,1,1,1,
31441,2,3,1,5,4,5,1,4,
31448,3,3,1,3,3,3,3,2,
31457,2,2,4,4,3,3,3,3,
31460,1,4,1,4,3,2,1,3,
31460,3,4,1,4,4,3,2,4,
31464,1,3,2,5,5,5,1,4,
31561,1,4,4,4,4,4,4,4,
31561,3,3,4,4,2,3,5,3,
31561,4,2,3,4,2,2,2,3,
31577,1,2,1,3,3,3,1,3,
31577,2,2,1,3,1,4,2,4,2
31616,3,4,1,3,4,3,1,4,
31658,1,5,1,4,4,4,1,5,
31658,2,5,1,3,4,2,1,5,
31664,1,3,4,4,5,2,4,3,
31671,1,5,1,4,5,4,1,5,
31676,1,4,1,5,5,3,2,5,
31676,2,5,1,5,5,4,4,5,
31677,1,4,2,5,5,3,3,4,
31680,2,3,2,5,4,4,1,4,
31685,1,3,4,5,5,4,2,2,
31685,2,4,1,3,4,3,2,3,
31687,3,3,1,4,4,3,2,3,
31695,1,4,3,3,4,3,1,3,
31716,1,4,4,5,5,4,1,3,
31724,1,3,1,4,4,3,4,4,
31724,2,4,2,4,5,3,3,4,
31725,1,4,3,4,4,4,1,2,
31726,2,2,4,4,4,3,5,2,
31741,1,3,4,3,2,3,3,2,
31741,2,4,3,3,1,3,3,3,
31744,1,3,3,5,5,1,5,2,
31750,1,4,3,3,3,2,1,3,
31781,1,2,2,1,5,1,1,3,
31785,1,3,3,4,3,5,1,4,
31785,2,4,1,5,5,5,1,5,
31797,1,3,3,3,1,3,3,2,
31798,4,3,3,3,4,3,3,3,
31798,5,3,4,4,3,3,4,3,
31860,1,3,2,3,3,4,4,4,
31860,2,2,4,2,3,5,4,2,
31866,1,3,4,2,3,3,5,5,
31868,1,4,3,4,2,5,3,2,
31871,1,5,5,3,4,5,5,5,
31891,1,5,1,5,4,4,2,4,
31903,3,3,1,5,5,4,3,5,
31903,4,4,1,4,5,4,5,5,
31904,3,3,3,4,2,1,3,1,
31912,3,3,2,2,4,4,4,4,
32012,1,3,3,5,5,4,1,4,
32012,2,4,2,4,5,4,3,4,
32014,1,3,5,4,3,2,1,3,
32014,2,4,1,4,3,3,1,3,
32014,3,4,5,4,3,2,1,3,
32014,4,4,5,4,3,2,1,3,
32016,2,4,2,5,5,4,4,4,2
32028,1,4,1,5,4,3,2,4,
32028,2,4,1,5,4,3,2,4,
32033,1,3,3,4,4,3,4,3,
32033,2,3,2,4,5,5,1,5,
32034,1,4,3,3,4,4,2,2,
32056,1,3,2,4,4,4,3,3,
32056,2,3,2,4,4,4,3,3,
32057,1,3,4,3,4,3,2,3,
32068,1,3,2,4,4,4,3,4,
32068,3,3,2,4,4,4,3,4,
32138,1,4,3,4,4,4,5,3,
32138,2,4,3,4,4,4,5,3,
32140,1,4,3,5,5,3,3,4,
32140,2,4,1,3,3,3,1,2,2
32191,1,3,4,5,5,5,3,4,
32198,1,4,1,4,5,4,1,4,
32198,2,3,1,3,2,3,1,2,
32204,3,4,3,4,4,4,3,4,
32204,4,4,3,4,4,4,3,4,
32207,2,3,4,5,4,4,4,4,
32207,6,3,4,4,3,3,5,1,
32210,1,4,3,3,5,4,3,3,
32235,1,3,2,4,4,4,1,4,
32252,1,3,3,3,4,4,2,3,
32252,3,2,2,3,4,2,3,2,
32257,1,4,3,5,4,4,1,4,
32260,1,5,3,5,5,4,3,4,
32260,2,3,1,3,4,3,4,1,
32272,1,1,2,5,2,2,2,3,
32272,2,1,2,5,2,2,2,3,
32272,3,4,3,4,3,4,1,3,
32279,1,5,2,5,5,5,2,5,
32279,2,1,4,2,5,5,5,4,5
32280,1,2,2,4,3,4,4,4,
32288,1,4,4,5,5,5,3,4,
32288,2,3,3,4,4,4,3,4,
32292,1,4,1,3,4,4,1,4,
32304,1,3,4,3,4,4,5,4,
32320,1,3,1,4,4,4,1,4,
32320,2,5,1,5,5,4,1,5,
32363,2,3,1,5,5,4,2,3,
32428,1,4,2,5,4,5,5,5,
32442,2,3,2,4,4,3,4,2,
32465,1,3,2,2,3,3,2,4,
32479,1,3,4,4,5,2,2,2,
32479,2,3,4,2,3,4,2,3,
32485,3,2,3,3,4,4,4,5,
32486,1,3,4,5,5,2,2,5,
32486,2,4,3,3,4,4,5,2,
32496,3,4,5,4,4,5,5,3,
32517,3,4,2,5,5,4,2,5,
32522,1,4,2,3,3,3,1,3,
32558,3,4,1,5,5,5,1,5,
32558,4,3,2,5,4,3,1,3,
32573,1,3,3,3,3,4,3,3,
32573,2,3,2,4,4,4,2,3,
32575,1,3,4,4,4,3,2,2,
32575,2,3,2,5,2,3,4,4,
32588,1,4,2,3,3,3,3,3,
32588,2,4,2,3,3,3,3,3,
32590,1,3,3,4,3,3,2,3,
32590,2,3,2,3,4,3,2,4,
32654,3,4,4,4,4,3,2,4,
32665,1,4,3,4,5,5,1,5,
32708,1,4,2,5,5,5,1,5,
32708,2,5,4,5,5,5,3,5,
32709,1,5,1,5,5,5,1,5,
32709,2,5,1,3,3,3,1,5,
32712,1,5,1,5,5,5,1,5,
32712,2,3,1,5,5,1,3,5,
32713,1,1,1,5,5,5,1,5,
32713,2,1,1,5,5,5,1,5,
32713,3,5,5,5,2,5,1,2,
32714,1,5,1,5,4,3,1,5,
32714,2,5,1,5,3,5,1,5,
32716,1,5,1,5,5,5,1,5,
32716,2,5,1,5,5,5,1,5,
32719,3,3,1,5,5,4,2,5,
32729,1,3,4,4,4,3,3,4,
32731,3,5,2,4,5,4,1,4,
32734,3,5,2,4,4,3,1,3,
32738,1,4,1,5,5,3,2,2,
32738,2,4,1,5,5,3,2,2,
32738,3,2,4,3,1,2,2,2,
32738,4,4,1,3,4,3,2,2,
32738,5,3,3,4,5,4,2,4,
32738,6,3,3,4,5,4,2,3,
32742,1,4,3,5,4,4,2,3,
32742,2,4,3,3,3,4,2,4,
32748,2,4,2,3,2,4,3,3,
32748,3,3,4,3,3,3,4,3,
32748,4,4,2,4,4,4,2,4,
32754,1,3,2,3,3,3,4,3,
32754,2,4,1,3,4,4,5,5,
32764,1,4,4,5,5,4,4,4,
32765,1,5,1,5,5,5,2,5,
32765,2,5,1,5,5,5,2,5,2
32772,2,4,4,5,4,4,4,4,2
32772,3,4,2,3,4,3,3,4,3
32780,3,4,3,4,5,4,2,5,
32788,1,2,1,3,4,2,3,3,
32834,1,3,3,5,5,4,1,5,
32834,2,4,3,3,3,4,1,5,
32835,1,5,1,4,4,4,1,5,
32835,3,3,2,5,5,4,5,5,
32837,1,5,1,5,5,5,1,5,
32861,1,5,5,5,3,1,1,2,
32861,2,2,2,4,4,5,1,5,
32866,2,4,1,2,3,3,1,4,
32866,3,5,3,3,4,3,2,3,
32871,1,3,3,4,4,4,4,4,
32871,2,4,1,5,5,5,1,4,
32875,1,2,4,4,5,4,1,2,
32887,1,4,1,5,5,5,4,3,
32887,2,1,4,1,5,5,5,4,3
32890,1,4,2,3,4,3,4,3,
32890,2,4,2,3,4,3,4,3,
32900,3,4,2,4,4,4,1,4,
32902,2,4,1,3,3,4,1,3,
32902,3,1,4,5,4,4,1,2,
32925,1,4,3,5,5,5,1,4,
32936,1,4,1,5,5,,3,3,
32936,2,4,2,5,5,5,3,3,
32946,1,5,5,5,4,5,1,4,
32981,3,4,1,3,3,4,5,4,
32981,4,4,2,3,4,4,5,4,
32982,2,4,3,5,4,5,3,4,
33010,1,3,2,5,5,5,1,5,
33031,2,5,5,5,5,5,5,5,
33032,3,5,1,5,5,5,1,5,
33205,1,5,1,4,4,4,1,5,
33205,2,5,1,4,4,4,1,5,
33205,3,5,1,4,4,4,1,5,
33219,1,4,3,5,5,4,1,5,
33219,2,3,3,5,3,3,1,1,
33220,2,3,3,4,4,3,1,2,
33220,3,4,3,3,4,4,1,3,
33221,1,4,1,3,3,4,1,3,
33239,2,4,,3,5,3,1,3,
33268,1,4,1,4,4,4,1,4,
33273,1,2,4,3,2,1,3,1,
33275,1,3,1,4,4,3,1,3,
33275,2,3,1,4,5,5,1,3,
33301,1,4,2,3,4,4,3,4,
33335,1,4,4,4,4,4,1,3,
