NQUEST,NORD,CERC,MCERC1,MCERC2,MCERC3,MCERC4,MCERC5,MCERC6,MCERC7,MCERC8,MCERC9,MCERC10,MCERC11,OFFERTE,NOFFERTE,NRIFIUTI,NESPLAV,ETALAV,CONTRIB,ACONTRIB,MCONTRIB,DISOC,CASSINT,DIS1,DIS2,DIS3,DIS4,DIS5,DISTOT,DISTEL,ETAPEN,ETALAV2,NOMALAT,MALAT
215018,1,2,1,,,,,,,,,,,2,0,0,2,13,1,25,,2,2,,,,,,,,,,,
215018,2,2,,,,,,,,,,,,2,0,0,3,12,1,20,,1,2,2,2,3,2,3,2,,65,51,2,15
215021,1,2,,,,,,,,,,,,2,0,0,2,23,1,33,,2,2,,,,,,,,61,30,2,60
215021,2,2,,,,,,,,,,,,2,0,0,1,27,1,34,,2,1,,,,,,,,,,2,120
215021,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
215021,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
215021,5,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
215023,1,2,,,,,,,,,,,,2,0,0,10,10,1,33,,2,2,,,,,,,,,,,
215023,2,2,,,,,,,,,,,,2,0,0,10,13,1,14,,2,2,,,,,,,,,,,
215023,3,2,,,,,,,,,,,,2,0,0,10,15,1,14,,2,2,,,,,,,,55,32,1,0
215024,1,2,,,,,,,,,,,,2,0,0,1,19,1,34,,2,2,,,,,,,,,,,
215024,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
215036,1,2,,,,,,,,,,,,2,0,0,2,17,1,38,,2,2,,,,,,,,,,,
215036,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
215036,3,1,,,,,,,,,,,,1,1,0,1,26,2,0,0,1,2,3,3,4,3,2,4,,,,,
215040,1,2,,,,,,,,,,,,2,0,0,1,14,1,,,2,2,,,,,,,,,,,
215040,2,2,,,,,,,,,,,,2,0,0,1,14,1,,,2,2,,,,,,,,,,,
215040,3,2,,,,,,,,,,,,2,0,0,2,17,1,24,,2,2,,,,,,,,53,18,1,0
215040,4,2,1,,,,,,,,,,,2,0,0,1,14,1,14,,1,1,4,4,3,3,3,4,,,,,
215052,1,2,,,,,,,,,,,,2,0,0,2,14,1,20,,2,2,,,,,,,,60,21,1,0
215052,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
215055,1,2,,,,,,,,,,,,2,0,0,3,12,1,28,,1,2,2,2,2,2,2,2,,,,,
215055,2,2,1,,,,,,,,,,,2,0,0,1,24,1,15,,1,2,2,2,2,2,2,2,,,,,
215060,1,2,,,,,,,,,,,,2,0,0,8,23,1,28,,2,2,,,,,,,,58,47,1,0
215060,2,2,,,,,,,,,,,,2,0,0,2,11,1,16,,2,2,,,,,,,,60,36,2,3
215060,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
215060,4,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
215061,1,2,,,,,,,,,,,,2,0,0,4,14,1,16,,1,2,3,4,3,3,4,2,,65,39,2,30
215061,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
215072,1,2,,,,,,,,,,,,2,0,0,1,32,1,31,,2,2,,,,,,,,,,,
215072,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
215075,1,2,,,,,,,,,,,,2,0,0,2,12,1,30,,2,2,,,,,,,,,,,
215075,2,2,1,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
215075,3,1,,,,,,,,,,,,2,0,0,5,16,2,0,0,1,2,2,3,3,2,3,2,,,,,
215077,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
216008,1,2,,,,,,,,,,,,2,0,0,6,16,1,23,,2,2,,,,,,,,52,20,2,8
216008,2,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
216009,1,2,,,,,,,,,,,,2,0,0,2,16,1,33,,2,1,3,3,3,3,5,3,,53,22,1,0
216009,2,2,,,,,,,,,,,,2,0,0,2,14,1,26,,2,2,,,,,,,,55,20,1,0
216009,3,2,,,,,,,,,,1,,2,0,0,0,,,,,,,,,,,,,,,,,
216011,1,2,,,,,,,,,,,,2,0,0,2,15,1,28,,2,2,,,,,,,,55,21,1,0
216011,2,2,,,,,,,,,,,,2,0,0,2,19,1,20,,2,2,,,,,,,,55,22,1,0
216011,3,2,,,,,,,,,1,,,2,0,0,0,,,,,,,,,,,,,,,,,
216019,1,2,,,,,,,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,
