NQUEST,NORD,SEX,PARENT,ANASC,MOTENT,NORDP,STACIV,STUDIO,TIPODIP,TIPOLAU,SALUTE,CRONIC,INVALID,APQUAL,ASNONOC,APSETT,INTPER,NCOMP,ETA,IREG,AREA5,AREA3,ACOM4C,CLETA,NPERC,PESOFL,NASCREG,NASCAREA
24150,4,2,3,1985,,4,2,1,,,5,1,2,17,,,,5,10,4,2,1,0,1,1,1.0590947304,4,1
24150,5,1,3,1987,,5,2,1,,,5,1,2,17,,,,5,8,4,2,1,0,1,1,1.0590947304,4,1
24158,1,1,1,1931,,1,1,2,,,2,1,1,15,1,1,1,2,64,8,2,1,1,4,2,0.3021414432,8,1
24158,2,2,2,1935,,2,1,2,,,3,2,2,15,1,1,,2,60,8,2,1,1,4,2,0.3021414432,8,1
24170,1,1,1,1958,,1,1,3,,,5,2,2,1,,3,1,3,37,4,2,1,1,2,2,0.2204367395,18,3
24170,2,2,2,1963,,2,1,4,,,5,2,2,4,,9,,3,32,4,2,1,1,2,2,0.2204367395,4,1
24170,3,2,3,1994,1,,2,1,,,5,2,2,18,,,,3,1,4,2,1,1,1,2,0.2204367395,4,1
24171,1,1,1,1939,,1,3,3,,,5,2,2,10,,4,1,1,56,8,2,1,1,4,1,0.3496388078,,
24173,1,1,1,1940,,1,1,5,2,,4,1,2,15,6,6,1,3,55,4,2,1,1,4,2,0.2100872102,4,1
24173,2,2,2,1940,,2,1,5,3,,4,1,2,8,,8,,3,55,4,2,1,1,4,2,0.2100872102,1,1
24173,3,2,3,1975,,3,2,5,2,,4,2,2,17,,,,3,20,4,2,1,1,1,2,0.2100872102,4,1
24186,1,2,1,1928,,1,2,3,,,2,2,1,15,1,2,1,2,67,8,2,1,1,5,2,0.3971475582,8,1
24186,2,2,5,1927,,2,2,1,,,3,1,2,15,1,2,,2,68,8,2,1,1,5,2,0.3971475582,8,1
24194,1,1,1,1952,,1,1,2,,,4,2,2,1,,2,1,4,43,8,2,1,1,3,1,0.4418744751,8,1
24194,2,2,2,1960,,2,1,3,,,4,2,2,13,,,,4,35,8,2,1,1,2,1,0.4418744751,8,1
24194,3,1,3,1984,,3,2,2,,,5,2,2,17,,,,4,11,8,2,1,1,1,1,0.4418744751,8,1
24194,4,2,3,1990,,4,2,1,,,5,2,2,18,,,,4,5,8,2,1,1,1,1,0.4418744751,8,1
24195,1,2,1,1952,,1,1,3,,,4,2,2,13,,,1,4,43,8,2,1,1,3,4,0.3954412809,13,3
24195,2,1,2,1936,,2,1,3,,,3,2,2,1,,3,2,4,59,8,2,1,1,4,4,0.3954412809,8,1
24195,3,1,3,1973,2,,2,4,,,5,2,2,17,,,,4,22,8,2,1,1,1,4,0.3954412809,13,3
24195,4,1,3,1976,,3,2,3,,,5,2,2,1,,3,,4,19,8,2,1,1,1,4,0.3954412809,8,1
24202,1,1,1,1930,,1,1,5,2,,4,2,2,15,2,9,1,3,65,15,4,3,2,4,3,0.3689702705,15,3
24202,2,2,2,1934,,2,1,5,5,,4,2,2,15,2,9,2,3,61,15,4,3,2,4,3,0.3689702705,19,3
24202,3,2,3,1964,,3,2,5,2,,4,2,2,4,,9,,3,31,15,4,3,2,2,3,0.3689702705,15,3
24210,1,1,1,1956,,1,1,4,,,4,2,2,2,,9,1,5,39,15,4,3,2,2,2,0.3115652591,15,3
24210,2,2,2,1958,,2,1,4,,,2,2,2,1,,1,2,5,37,15,4,3,2,2,2,0.3115652591,15,3
24210,3,1,3,1979,,3,2,3,,,4,2,2,17,,,,5,16,15,4,3,2,1,2,0.3115652591,15,3
24210,4,1,3,1982,,4,2,2,,,4,2,2,17,,,,5,13,15,4,3,2,1,2,0.3115652591,15,3
24210,5,1,3,1986,,5,2,1,,,4,2,2,17,,,,5,9,15,4,3,2,1,2,0.3115652591,15,3
24304,1,1,1,1944,,1,1,7,,3,3,1,2,5,,9,1,4,51,6,2,1,2,4,2,0.4038731625,12,2
24304,2,2,2,1947,,2,1,7,,9,4,2,2,3,,9,2,4,48,6,2,1,2,3,2,0.4038731625,18,3
24304,3,1,3,1972,,3,2,5,3,,4,2,2,17,,,,4,23,6,2,1,2,1,2,0.4038731625,6,1
24304,4,1,3,1976,,4,2,5,3,,4,2,2,17,,,,4,19,6,2,1,2,1,2,0.4038731625,6,1
24308,1,1,1,1927,,1,1,7,,8,4,2,2,15,5,9,1,4,68,6,2,1,2,5,3,0.4531479662,,
24308,2,2,2,1939,,2,1,5,5,,4,2,2,15,3,9,,4,56,6,2,1,2,4,3,0.4531479662,6,1
24308,3,2,3,1965,,3,2,7,,8,4,2,2,3,,9,,4,30,6,2,1,2,1,3,0.4531479662,6,1
24308,4,1,3,1967,,4,2,5,3,,4,2,2,17,,,,4,28,6,2,1,2,1,3,0.4531479662,6,1
24311,1,1,1,1947,,1,1,2,,,5,2,2,1,,2,1,5,48,4,2,1,0,3,3,0.7042178204,4,1
24311,2,2,2,1952,,2,1,3,,,5,2,2,13,,,,5,43,4,2,1,0,3,3,0.7042178204,4,1
24311,3,1,3,1973,,3,2,4,,,5,2,2,1,,2,,5,22,4,2,1,0,1,3,0.7042178204,4,1
24311,4,2,3,1982,,4,2,2,,,5,2,2,17,,,,5,13,4,2,1,0,1,3,0.7042178204,4,1
24311,5,1,5,1914,,5,4,2,,,3,1,2,15,1,9,,5,81,4,2,1,0,5,3,0.7042178204,4,1
24312,1,1,1,1943,,1,1,7,,4,5,2,2,3,,9,1,4,52,4,2,1,0,4,2,0.6951696363,4,1
24312,2,2,2,1945,,2,1,7,,9,5,2,2,3,,9,,4,50,4,2,1,0,3,2,0.6951696363,3,1
24312,3,1,3,1975,,3,2,5,3,,5,2,2,17,,,,4,20,4,2,1,0,1,2,0.6951696363,5,1
24312,4,2,3,1978,,4,2,3,,,5,2,2,17,,,,4,17,4,2,1,0,1,2,0.6951696363,4,1
24315,1,1,1,1942,,1,1,7,,9,5,2,2,3,,9,1,5,53,4,2,1,0,4,2,0.656897497,4,1
24315,2,2,2,1946,,2,1,7,,9,5,2,2,3,,9,,5,49,4,2,1,0,3,2,0.656897497,4,1
24315,3,1,3,1977,,3,2,3,,,5,2,2,19,,,,5,18,4,2,1,0,1,2,0.656897497,4,1
24315,4,1,3,1979,,4,2,3,,,5,2,2,17,,,,5,16,4,2,1,0,1,2,0.656897497,4,1
24315,5,1,3,1983,,5,2,2,,,5,2,2,17,,,,5,12,4,2,1,0,1,2,0.656897497,4,1
24316,1,1,1,1945,,1,1,3,,,3,1,2,1,,2,1,3,50,4,2,1,1,3,3,0.1669828745,4,1
24316,2,2,2,1943,,2,1,3,,,3,2,2,16,,,,3,52,4,2,1,1,4,3,0.1669828745,3,1
24316,3,2,4,1904,,3,4,2,,,3,1,1,16,,,,3,91,4,2,1,1,5,3,0.1669828745,4,1
24317,1,1,1,1937,,1,2,2,,,4,2,2,15,2,9,1,1,58,4,2,1,0,4,1,0.6335731083,4,1
24322,1,1,1,1949,,1,1,3,,,5,2,2,1,,2,1,4,46,4,2,1,0,3,1,0.6951696363,4,1
24322,2,2,2,1948,,2,1,3,,,5,2,2,13,,,,4,47,4,2,1,0,3,1,0.6951696363,4,1
24322,3,2,3,1973,,3,2,5,3,,5,2,2,17,,,,4,22,4,2,1,0,1,1,0.6951696363,4,1
24322,4,1,3,1980,,4,2,3,,,3,2,2,17,,,,4,15,4,2,1,0,1,1,0.6951696363,4,1
24326,1,1,1,1919,,1,1,2,,,5,2,2,15,1,2,1,2,76,4,2,1,0,5,2,0.7495390787,,
24326,2,2,2,1924,,2,1,2,,,5,2,2,15,1,2,,2,71,4,2,1,0,5,2,0.7495390787,4,1
24330,1,1,1,1945,,1,1,2,,,5,2,2,8,,3,1,5,50,4,2,1,1,3,4,0.2049470141,15,3
24330,2,2,2,1949,,2,1,2,,,5,2,2,13,,,,5,46,4,2,1,1,3,4,0.2049470141,15,3
24330,3,1,3,1974,,4,2,3,,,5,2,2,1,,2,,5,21,4,2,1,1,1,4,0.2049470141,15,3
24330,4,1,3,1978,,5,2,3,,,5,2,2,1,,2,,5,17,4,2,1,1,1,4,0.2049470141,4,1
24330,5,1,3,1986,,6,2,1,,,2,1,1,17,,,,5,9,4,2,1,1,1,4,0.2049470141,4,1
24363,1,1,1,1932,,1,1,3,,,3,1,2,12,7,3,1,3,63,13,4,3,0,4,2,0.9024731479,7,1
24363,2,2,2,1942,,2,1,2,,,3,1,2,8,,4,2,3,53,13,4,3,0,4,2,0.9024731479,13,3
24363,3,2,3,1970,,3,2,5,5,,5,2,2,11,,,3,3,25,13,4,3,0,1,2,0.9024731479,13,3
24373,1,1,1,1940,,1,1,3,,,3,2,2,1,,2,1,4,55,13,4,3,0,4,1,0.9090581611,13,3
24373,2,2,2,1949,,2,1,3,,,3,1,2,13,,,2,4,46,13,4,3,0,3,1,0.9090581611,13,3
24373,3,2,3,1973,,3,2,3,,,5,2,2,12,1,4,3,4,22,13,4,3,0,1,1,0.9090581611,13,3
24373,4,2,3,1984,,4,2,2,,,5,2,2,17,,,,4,11,13,4,3,0,1,1,0.9090581611,13,3
24374,1,1,1,1923,,1,1,1,,,2,1,2,15,1,1,1,5,72,13,4,3,0,5,4,0.9614537051,13,3
24374,2,2,2,1922,,2,1,1,,,2,1,1,16,,,2,5,73,13,4,3,0,5,4,0.9614537051,13,3
24374,3,2,3,1957,,3,3,3,,,3,2,2,10,,8,3,5,38,13,4,3,0,2,4,0.9614537051,13,3
24374,4,1,5,1978,,4,2,4,,,5,2,2,11,,,4,5,17,13,4,3,0,1,4,0.9614537051,13,3
24374,5,2,5,1981,,5,2,3,,,5,2,2,17,,,5,5,14,13,4,3,0,1,4,0.9614537051,13,3
24379,1,1,1,1933,,1,1,2,,,4,2,2,15,2,9,1,2,62,13,4,3,2,4,1,0.2926405729,13,3
24379,2,2,2,1939,,2,1,2,,,4,2,2,13,,,,2,56,13,4,3,2,4,1,0.2926405729,13,3
24382,1,1,1,1940,,1,1,2,,,3,2,1,12,1,3,1,3,55,13,4,3,0,4,3,0.8490149326,13,3
24382,2,2,2,1949,,2,1,2,,,3,2,2,1,,8,2,3,46,13,4,3,0,3,3,0.8490149326,13,3
24382,3,1,3,1972,,3,2,3,,,5,2,2,1,,4,3,3,23,13,4,3,0,1,3,0.8490149326,13,3
24390,1,1,1,1940,,1,1,5,2,,4,2,2,2,,2,1,4,55,13,4,3,2,4,2,0.3094934911,13,3
24390,2,2,2,1944,,2,1,5,5,,4,2,2,2,,9,,4,51,13,4,3,2,4,2,0.3094934911,13,3
24390,3,1,3,1969,,3,2,5,3,,4,2,2,17,,,,4,26,13,4,3,2,1,2,0.3094934911,13,3
24390,4,2,3,1976,,4,2,5,3,,4,2,2,17,,,,4,19,13,4,3,2,1,2,0.3094934911,13,3
24392,1,1,1,1948,,1,1,3,,,4,2,2,1,,2,1,4,47,13,4,3,0,3,2,0.9207448616,13,3
24392,2,2,2,1956,,2,1,3,,,4,2,2,2,,9,2,4,39,13,4,3,0,2,2,0.9207448616,13,3
24392,3,1,3,1976,,3,2,3,,,5,2,2,17,,,3,4,19,13,4,3,0,1,2,0.9207448616,13,3
24392,4,1,3,1980,,4,2,3,,,5,2,2,17,,,,4,15,13,4,3,0,1,2,0.9207448616,13,3
24393,1,1,1,1920,,1,1,2,,,3,2,2,15,1,9,1,2,75,13,4,3,2,5,2,0.3163590934,13,3
24393,2,2,2,1931,,2,1,2,,,3,2,2,15,1,2,,2,64,13,4,3,2,4,2,0.3163590934,13,3
24409,1,1,1,1945,,1,1,3,,,4,1,2,2,,9,1,4,50,15,4,3,2,3,1,0.5223108553,15,3
24409,2,2,2,1952,,2,1,3,,,4,2,2,13,,,,4,43,15,4,3,2,3,1,0.5223108553,15,3
24409,3,2,3,1977,,3,2,5,2,,4,2,2,17,,,,4,18,15,4,3,2,1,1,0.5223108553,15,3
24409,4,1,3,1980,,4,2,3,,,4,2,2,17,,,,4,15,15,4,3,2,1,1,0.5223108553,15,3
24415,1,1,1,1960,,1,1,5,2,,5,2,2,2,,9,1,4,35,15,4,3,2,2,2,0.5669023513,15,3
24415,2,2,2,1965,,2,1,3,,,5,2,2,1,,2,,4,30,15,4,3,2,1,2,0.5669023513,15,3
24415,3,1,3,1985,,3,2,2,,,5,2,2,17,,,,4,10,15,4,3,2,1,2,0.5669023513,15,3
24415,4,2,3,1986,,4,2,2,,,5,2,2,17,,,,4,9,15,4,3,2,1,2,0.5669023513,15,3
24431,1,1,1,1952,,1,1,5,2,,5,2,2,2,,9,1,4,43,15,4,3,0,3,2,4.5455998372,15,3
24431,2,2,2,1955,,2,1,7,,9,5,2,2,3,,9,,4,40,15,4,3,0,2,2,4.5455998372,15,3
24431,3,2,3,1982,,3,2,2,,,5,2,2,17,,,,4,13,15,4,3,0,1,2,4.5455998372,15,3
24431,4,1,3,1987,,4,2,1,,,5,2,2,17,,,,4,8,15,4,3,0,1,2,4.5455998372,15,3
24434,1,1,1,1958,,1,1,5,1,,5,2,2,2,,9,1,4,37,15,4,3,0,2,2,4.5455998372,15,3
24434,2,2,2,1960,,2,1,5,1,,5,2,2,1,,2,2,4,35,15,4,3,0,2,2,4.5455998372,15,3
24434,3,1,3,1981,,3,2,3,,,5,2,2,17,,,,4,14,15,4,3,0,1,2,4.5455998372,15,3
24434,4,2,3,1984,,4,2,2,,,4,2,2,17,,,,4,11,15,4,3,0,1,2,4.5455998372,15,3
24435,1,1,1,1927,,1,1,2,,,3,2,2,16,,,1,2,68,15,4,3,0,5,2,4.1509699473,15,3
24435,2,2,2,1928,,2,1,1,,,3,2,2,15,1,1,2,2,67,15,4,3,0,5,2,4.1509699473,15,3
24438,1,1,1,1916,,1,1,2,,,2,2,2,15,1,9,1,6,79,15,4,3,0,5,4,3.8511322405,15,3
24438,2,2,2,1920,,2,1,2,,,2,1,2,15,1,1,2,6,75,15,4,3,0,5,4,3.8511322405,15,3
24438,3,1,3,1947,,3,1,7,,4,4,2,2,3,,9,3,6,48,15,4,3,0,3,4,3.8511322405,15,3
24438,4,2,5,1953,,4,1,7,,9,4,2,2,3,,9,4,6,42,15,4,3,0,3,4,3.8511322405,15,3
24438,5,1,5,1982,,5,2,3,,,5,2,2,17,,,,6,13,15,4,3,0,1,4,3.8511322405,3,1
24438,6,2,5,1990,,6,2,1,,,4,2,2,18,,,,6,5,15,4,3,0,1,4,3.8511322405,3,1
24446,1,1,1,1924,,1,4,3,,,3,2,2,15,2,9,1,2,71,17,4,3,2,5,2,0.3922125615,17,3
24446,2,1,3,1951,,2,2,5,1,,5,2,2,8,,7,2,2,44,17,4,3,2,3,2,0.3922125615,17,3
24450,1,1,1,1955,,2,1,5,1,,5,2,2,8,,4,1,4,40,17,4,3,2,2,2,0.3977398141,17,3
24450,2,2,2,1957,,1,1,5,2,,5,2,2,2,,9,2,4,38,17,4,3,2,2,2,0.3977398141,17,3
24450,3,1,3,1984,,3,2,2,,,5,2,2,17,,,,4,11,17,4,3,2,1,2,0.3977398141,17,3
24450,4,2,3,1989,,4,2,1,,,5,2,2,17,,,,4,6,17,4,3,2,1,2,0.3977398141,17,3
24507,1,2,1,1950,,1,2,3,,,3,1,2,1,,8,1,1,45,3,1,1,3,3,1,1.5878573189,16,3
24517,1,2,1,1922,,1,1,1,,,4,1,2,16,,,1,2,73,7,1,1,2,5,2,0.4330460141,8,1
24517,2,1,2,1919,,2,1,1,,,4,1,2,15,1,3,2,2,76,7,1,1,2,5,2,0.4330460141,5,1
24525,1,1,1,1927,,1,2,2,,,4,1,2,15,1,2,1,1,68,4,2,1,2,5,1,0.6638360359,15,3
24529,1,1,1,1947,,1,1,7,,5,4,2,2,3,,9,1,6,48,4,2,1,2,3,3,0.6959600953,4,1
24529,2,2,2,1951,,2,1,4,,,4,2,2,13,,,,6,44,4,2,1,2,3,3,0.6959600953,4,1
24529,3,2,3,1977,,3,2,3,,,4,2,2,17,,,,6,18,4,2,1,2,1,3,0.6959600953,5,1
24529,4,1,3,1978,,4,2,3,,,4,2,2,17,,,,6,17,4,2,1,2,1,3,0.6959600953,5,1
24529,5,1,3,1981,,5,2,3,,,4,2,2,17,,,,6,14,4,2,1,2,1,3,0.6959600953,5,1
24529,6,1,3,1983,,6,2,2,,,4,2,2,17,,,,6,12,4,2,1,2,1,3,0.6959600953,5,1
24530,1,1,1,1940,,1,1,1,,,4,2,2,15,1,2,1,4,55,4,2,1,2,4,3,0.6097449537,19,3
24530,2,2,2,1943,,2,1,1,,,4,2,2,13,,,,4,52,4,2,1,2,4,3,0.6097449537,19,3
24530,3,1,3,1963,,3,2,3,,,5,2,2,2,,2,,4,32,4,2,1,2,2,3,0.6097449537,4,1
24530,4,2,3,1971,,4,2,5,2,,5,2,2,2,,2,,4,24,4,2,1,2,1,3,0.6097449537,4,1
24531,1,2,1,1962,,2,1,3,,,5,2,2,1,,8,1,3,33,4,2,1,2,2,1,0.7632269438,4,1
24531,2,1,3,1980,,3,2,1,,,5,2,2,17,,,,3,15,4,2,1,2,1,1,0.7632269438,4,1
24531,3,2,3,1987,,4,2,1,,,5,2,2,17,,,,3,8,4,2,1,2,1,1,0.7632269438,4,1
24560,1,1,1,1931,,1,1,2,,,4,2,2,15,1,3,1,2,64,11,3,2,2,4,1,0.3383203652,11,2
24560,2,2,2,1935,,2,1,2,,,4,2,2,13,,,,2,60,11,3,2,2,4,1,0.3383203652,11,2
24566,1,2,1,1934,,2,1,1,,,4,2,2,13,,,1,2,61,11,3,2,0,4,2,0.8027523409,11,2
24566,2,1,2,1931,,1,1,2,,,2,1,1,15,1,2,,2,64,11,3,2,0,4,2,0.8027523409,11,2
24571,1,1,1,1932,,1,1,2,,,4,2,1,15,1,1,1,3,63,11,3,2,0,4,3,0.9161399094,11,2
24571,2,2,2,1934,,2,1,2,,,4,2,2,15,1,9,,3,61,11,3,2,0,4,3,0.9161399094,11,2
24571,3,1,3,1957,,3,2,3,,,2,1,1,12,1,4,,3,38,11,3,2,0,2,3,0.9161399094,11,2
24611,1,2,1,1933,,1,4,1,,,3,1,2,15,1,1,1,1,62,8,2,1,2,4,1,0.74062954,8,1
24613,1,1,1,1921,,1,4,1,,,4,2,2,15,1,2,1,1,74,8,2,1,2,5,1,0.8267602826,8,1
24616,1,1,1,1939,,1,1,2,,,4,2,2,1,,2,1,3,56,8,2,1,2,4,3,0.8271755887,8,1
24616,2,2,2,1944,,2,1,2,,,4,2,2,1,,1,2,3,51,8,2,1,2,4,3,0.8271755887,8,1
24616,3,2,3,1968,,3,2,5,5,,4,2,2,10,,8,3,3,27,8,2,1,2,1,3,0.8271755887,8,1
24619,1,1,1,1935,,1,1,3,,,4,1,2,8,,1,1,5,60,8,2,1,2,4,2,0.9959910043,8,1
24619,2,2,2,1938,,2,1,5,5,,4,1,2,13,,,2,5,57,8,2,1,2,4,2,0.9959910043,8,1
24619,3,2,3,1967,,3,2,7,,1,4,2,2,2,,4,,5,28,8,2,1,2,1,2,0.9959910043,8,1
24619,4,1,3,1970,,4,2,5,2,,4,2,2,17,,,,5,25,8,2,1,2,1,2,0.9959910043,8,1
24619,5,1,3,1972,,5,2,5,2,,4,2,2,17,,,,5,23,8,2,1,2,1,2,0.9959910043,8,1
24623,1,1,1,1961,,1,1,3,,,4,1,2,10,,4,1,4,34,8,2,1,1,2,2,0.4525401948,8,1
24623,2,2,2,1965,,2,1,3,,,4,2,2,1,,4,2,4,30,8,2,1,1,1,2,0.4525401948,8,1
24623,3,1,3,1989,,3,2,1,,,4,2,2,17,,,,4,6,8,2,1,1,1,2,0.4525401948,8,1
24623,4,2,3,1995,1,,2,1,,,4,2,2,18,,,,4,0,8,2,1,1,1,2,0.4525401948,8,1
24624,1,1,1,1956,,1,1,3,,,4,2,2,1,,9,1,4,39,8,2,1,2,2,3,0.9478595905,8,1
24624,2,2,2,1958,,2,1,3,,,3,2,2,1,,8,2,4,37,8,2,1,2,2,3,0.9478595905,1,1
24624,3,2,3,1985,,3,2,1,,,5,2,2,17,,,,4,10,8,2,1,2,1,3,0.9478595905,8,1
24624,4,2,5,1905,,4,2,1,,,4,1,2,15,1,1,,4,90,8,2,1,2,5,3,0.9478595905,8,1
24626,1,1,1,1948,,1,1,2,,,4,2,2,1,,2,1,3,47,8,2,1,2,3,3,0.8494180274,8,1
24626,2,2,2,1953,,2,1,3,,,4,2,2,1,,8,2,3,42,8,2,1,2,3,3,0.8494180274,8,1
24626,3,2,3,1971,,3,2,5,2,,4,2,2,1,,2,,3,24,8,2,1,2,1,3,0.8494180274,8,1
24628,1,1,1,1926,,1,1,1,,,2,1,1,16,,,1,2,69,8,2,1,2,5,2,0.8380377499,8,1
24628,2,2,2,1930,,2,1,2,,,2,1,2,15,1,1,2,2,65,8,2,1,2,4,2,0.8380377499,8,1
24630,1,1,1,1958,,1,1,3,,,4,1,2,1,,3,1,4,37,8,2,1,1,2,1,0.4312268974,8,1
24630,2,2,2,1961,,2,1,3,,,4,2,2,13,,,,4,34,8,2,1,1,2,1,0.4312268974,8,1
24630,3,1,3,1981,,3,2,2,,,4,2,2,17,,,,4,14,8,2,1,1,1,1,0.4312268974,8,1
24630,4,2,3,1992,,4,2,1,,,4,2,2,18,,,,4,3,8,2,1,1,1,1,0.4312268974,8,1
24633,1,1,1,1934,,1,1,2,,,3,2,2,15,1,2,1,3,61,8,2,1,1,4,2,0.3630604925,8,1
24633,2,2,2,1948,,2,1,2,,,2,1,2,13,,,,3,47,8,2,1,1,3,2,0.3630604925,8,1
24633,3,1,3,1967,,3,2,4,,,4,2,2,1,,2,3,3,28,8,2,1,1,1,2,0.3630604925,8,1
24635,1,1,1,1950,,1,2,5,3,,4,2,1,4,,6,1,3,45,8,2,1,1,3,3,0.3592827268,8,1
24635,2,1,4,1915,,2,1,2,,,2,1,2,15,8,1,2,3,80,8,2,1,1,5,3,0.3592827268,8,1
24635,3,2,4,1920,,3,1,2,,,4,2,2,15,8,1,3,3,75,8,2,1,1,5,3,0.3592827268,8,1
24645,1,1,1,1941,,1,1,2,,,2,1,2,12,8,5,1,3,54,8,2,1,1,4,3,0.3755825697,8,1
24645,2,2,2,1945,,2,1,2,,,4,2,2,8,,4,2,3,50,8,2,1,1,3,3,0.3755825697,8,1
24645,3,2,3,1968,,3,2,5,3,,4,2,2,1,,2,,3,27,8,2,1,1,1,3,0.3755825697,8,1
24646,1,2,1,1930,,2,4,2,,,3,1,2,16,,,1,2,65,8,2,1,1,4,2,0.4184541234,5,1
24646,2,1,3,1954,,3,2,3,,,4,1,2,1,,2,,2,41,8,2,1,1,3,2,0.4184541234,8,1
24655,1,2,1,1935,,1,4,2,,,3,2,2,15,1,2,1,2,60,8,2,1,2,4,2,1.1925555563,8,1
24655,2,2,3,1969,2,,2,3,,,5,2,2,1,,2,,2,26,8,2,1,2,1,2,1.1925555563,3,1
24659,1,1,1,1960,,1,1,3,,,5,2,2,1,,3,1,3,35,8,2,1,2,2,2,1.3505640752,8,1
24659,2,2,2,1965,,2,1,5,5,,5,2,2,1,,2,,3,30,8,2,1,2,1,2,1.3505640752,8,1
24659,3,1,3,1987,,3,2,1,,,3,2,2,17,,,,3,8,8,2,1,2,1,2,1.3505640752,8,1
24678,1,2,1,1925,,2,4,5,2,,2,2,2,16,,,1,1,70,3,1,1,2,5,1,0.4143319349,,
24679,1,1,1,1937,,1,1,2,,,3,2,2,15,1,9,1,2,58,4,2,1,2,4,1,0.7347643801,19,3
24679,2,2,2,1939,,2,1,3,,,4,2,2,13,,,,2,56,4,2,1,2,4,1,0.7347643801,4,1
24680,1,2,1,1905,,1,4,3,,,2,1,1,16,,,1,2,90,4,2,1,2,5,2,0.7874882348,4,1
24680,2,2,3,1934,,2,2,3,,,3,1,2,15,2,4,2,2,61,4,2,1,2,4,2,0.7874882348,4,1
24689,1,2,1,1928,,1,4,2,,,3,2,2,16,,,1,1,67,5,2,1,0,5,1,2.9284951044,5,1
24724,1,2,1,1915,,1,4,1,,,2,2,2,15,1,2,1,1,80,16,4,3,1,5,1,1.1289124086,16,3
24727,1,1,1,1925,,1,1,4,,,2,2,2,15,2,9,1,3,70,16,4,3,1,5,2,1.0994401371,16,3
24727,2,2,2,1938,,2,1,3,,,4,2,2,2,,9,2,3,57,16,4,3,1,4,2,1.0994401371,16,3
24727,3,2,3,1967,,3,2,5,2,,5,2,2,17,,,,3,28,16,4,3,1,1,2,1.0994401371,16,3
24731,1,1,1,1938,,1,1,5,2,,3,2,2,9,,4,1,3,57,16,4,3,1,4,3,1.0613502664,16,3
24731,2,2,2,1941,,2,1,3,,,3,2,2,15,1,9,,3,54,16,4,3,1,4,3,1.0613502664,16,3
24731,3,1,3,1974,,3,2,5,2,,4,2,2,9,,4,3,3,21,16,4,3,1,1,3,1.0613502664,16,3
24760,1,2,1,1920,,1,4,2,,,3,2,2,13,,,1,1,75,17,4,3,2,5,1,0.2258114754,17,3
24763,1,1,1,1910,,1,1,7,,3,3,2,2,15,6,9,1,2,85,17,4,3,2,5,2,0.200954936,16,3
24763,2,2,2,1919,,2,1,7,,9,4,2,2,15,3,9,,2,76,17,4,3,2,5,2,0.200954936,17,3
24764,1,1,1,1963,,2,1,3,,,5,2,2,1,,2,1,2,32,17,4,3,2,2,1,0.2617331536,17,3
24764,2,2,2,1966,,1,1,3,,,5,2,2,13,,,,2,29,17,4,3,2,1,1,0.2617331536,15,3
24770,1,2,1,1937,,1,2,2,,,4,2,2,15,8,1,1,2,58,16,4,3,2,4,2,0.411508077,16,3
24770,2,2,4,1905,,2,4,1,,,3,1,1,15,8,1,,2,90,16,4,3,2,5,2,0.411508077,16,3
24790,1,1,1,1947,,1,1,5,1,,5,2,2,2,,2,1,4,48,17,4,3,2,3,2,0.2030446294,17,3
24790,2,2,2,1949,,2,1,5,5,,5,2,2,2,,9,,4,46,17,4,3,2,3,2,0.2030446294,17,3
24790,3,2,3,1976,,3,2,5,2,,5,2,2,17,,,,4,19,17,4,3,2,1,2,0.2030446294,17,3
24790,4,1,3,1982,,4,2,3,,,5,2,2,17,,,,4,13,17,4,3,2,1,2,0.2030446294,17,3
24795,1,1,1,1957,,1,1,5,2,,5,2,2,8,,3,1,5,38,17,4,3,2,2,1,0.2763960999,17,3
24795,2,2,2,1962,,2,1,5,5,,5,2,2,13,,,2,5,33,17,4,3,2,2,1,0.2763960999,17,3
24795,3,1,3,1988,,3,2,1,,,5,2,2,17,,,,5,7,17,4,3,2,1,1,0.2763960999,17,3
24795,4,1,3,1992,,4,2,1,,,5,2,2,18,,,,5,3,17,4,3,2,1,1,0.2763960999,17,3
24795,5,1,3,1995,1,,2,1,,,5,2,2,18,,,,5,0,17,4,3,2,1,1,0.2763960999,17,3
24800,1,2,1,1911,,1,4,1,,,3,1,2,16,,,1,1,84,16,4,3,2,5,1,0.4520115255,16,3
24809,1,2,1,1939,,1,1,2,,,3,2,2,13,,,1,4,56,16,4,3,2,4,4,1.9439698299,16,3
24809,2,1,2,1930,,2,1,2,,,3,2,1,15,1,9,,4,65,16,4,3,2,4,4,1.9439698299,16,3
24809,3,2,3,1963,,3,2,7,,1,5,2,2,4,,7,3,4,32,16,4,3,2,2,4,1.9439698299,16,3
24809,4,1,3,1968,,4,2,5,2,,5,2,2,4,,2,,4,27,16,4,3,2,1,4,1.9439698299,16,3
24835,1,1,1,1930,,1,1,3,,,4,1,2,15,2,9,1,4,65,16,4,3,2,4,2,2.1174226128,16,3
24835,2,2,2,1933,,2,1,5,5,,4,2,2,4,,9,,4,62,16,4,3,2,4,2,2.1174226128,12,2
24835,3,2,3,1966,,3,2,7,,1,5,2,2,11,,,,4,29,16,4,3,2,1,2,2.1174226128,15,3
24835,4,2,3,1969,,4,2,5,3,,5,2,2,17,,,,4,26,16,4,3,2,1,2,2.1174226128,15,3
