NQUEST,NORD,SEX,PARENT,ANASC,MOTENT,NORDP,STACIV,STUDIO,TIPODIP,TIPOLAU,SALUTE,CRONIC,INVALID,APQUAL,ASNONOC,APSETT,INTPER,NCOMP,ETA,IREG,AREA5,AREA3,ACOM4C,CLETA,NPERC,PESOFL,NASCREG,NASCAREA
123,5,1,3,1974,,5,2,3,,,3,2,2,8,,4,5,7,21,18,4,3,1,1,4,0.4319463992,18,3
123,6,2,3,1976,,6,2,4,,,5,2,2,11,,,,7,19,18,4,3,1,1,4,0.4319463992,18,3
123,7,2,4,1914,2,,4,1,,,2,1,2,15,8,1,,7,81,18,4,3,1,5,4,0.4319463992,18,3
126,1,1,1,1945,,1,1,2,,,4,2,2,1,,2,1,4,50,18,4,3,1,3,1,0.3834178974,18,3
126,2,2,2,1948,,2,1,2,,,4,2,2,13,,,,4,47,18,4,3,1,3,1,0.3834178974,18,3
126,3,1,3,1971,,3,2,5,3,,5,2,2,17,,,,4,24,18,4,3,1,1,1,0.3834178974,18,3
126,4,1,3,1975,,4,2,5,3,,5,2,2,17,,,,4,20,18,4,3,1,1,1,0.3834178974,18,3
173,1,1,1,1948,,1,1,5,2,,4,2,2,2,,9,1,4,47,18,4,3,2,3,1,0.5121468145,18,3
173,2,2,2,1950,,2,1,5,5,,4,2,2,13,,,,4,45,18,4,3,2,3,1,0.5121468145,18,3
173,3,1,3,1975,,3,2,5,2,,4,2,2,17,,,,4,20,18,4,3,2,1,1,0.5121468145,18,3
173,4,1,3,1978,,4,2,3,,,4,2,2,17,,,,4,17,18,4,3,2,1,1,0.5121468145,18,3
304,1,1,1,1959,,1,1,5,2,,5,2,2,2,,9,1,3,36,18,4,3,0,2,1,1.9379790582,18,3
304,2,2,2,1965,,2,1,5,5,,5,2,2,11,,,,3,30,18,4,3,0,1,1,1.9379790582,18,3
304,3,1,3,1991,,3,2,1,,,5,2,2,18,,,,3,4,18,4,3,0,1,1,1.9379790582,18,3
325,1,2,1,1937,,1,4,2,,,5,2,2,16,,,1,2,58,8,2,1,2,4,2,1.1435851764,8,1
325,2,1,3,1960,,2,3,3,,,5,2,2,10,,5,,2,35,8,2,1,2,2,2,1.1435851764,8,1
375,1,1,1,1926,,1,1,2,,,2,2,1,15,8,4,1,2,69,16,4,3,2,5,2,1.6100350774,16,3
375,2,2,2,1925,,2,1,2,,,2,2,2,15,8,4,2,2,70,16,4,3,2,5,2,1.6100350774,16,3
376,1,1,1,1943,,1,1,7,,6,4,2,2,4,,6,1,4,52,16,4,3,2,4,1,1.4674096654,16,3
376,2,2,2,1944,,2,1,5,3,,4,1,2,13,,,,4,51,16,4,3,2,4,1,1.4674096654,16,3
