NQUEST,NORD,TIPOPEN,DECOR,TPENS,MESIPEN,ARRET,TARRET,QUOTAPE
22222,2,1,1981,1800,13,2,0,95
22224,1,1,1974,800,13,2,0,
22224,1,3,1968,240,13,2,0,
22226,6,3,1980,800,13,2,0,
22250,1,1,1969,1400,12,2,0,80
22251,1,1,1980,1400,13,2,0,80
22263,1,1,1982,1800,13,2,0,80
22263,1,12,1976,248,13,2,0,
22265,1,1,1980,980,13,2,0,70
22266,1,1,1984,1050,13,2,0,
22268,1,3,1984,800,13,2,0,
22268,1,2,1984,300,13,2,0,
22270,1,15,1990,1350,13,2,0,90
22270,2,1,1992,530,13,2,0,
22273,1,1,1981,1679,13,2,0,72
22273,2,1,1979,659,13,2,0,
22276,2,1,1968,1200,13,2,0,80
22276,3,1,1979,600,13,2,0,80
22279,2,1,1994,300,13,2,0,30
22279,2,3,1985,1100,13,2,0,
22286,2,1,1990,1000,13,2,0,80
22292,1,1,1993,900,13,2,0,
22292,2,1,1994,980,13,2,0,
22360,1,1,1993,700,13,2,0,70
22373,1,1,1994,650,13,2,0,
22374,1,1,1995,450,1,2,0,
22374,2,1,1995,900,9,2,0,
22393,1,3,1973,1100,13,2,0,
22503,1,2,1977,640,13,2,0,
22503,1,3,1982,55,13,2,0,
22509,1,5,1991,1800,13,2,0,
22509,2,5,1986,1470,13,2,0,
22525,1,8,1975,1300,13,2,0,70
22528,1,8,1984,1400,13,2,0,60
22537,6,3,1986,850,13,2,0,
22545,1,3,1979,2000,13,2,0,
22545,1,9,1979,60,12,2,0,
22563,2,1,1993,2000,13,2,0,90
22586,1,1,1992,800,13,2,0,50
22587,2,8,1990,1900,13,2,0,95
22606,1,1,1993,600,13,2,0,90
22606,1,3,1995,1300,10,2,0,
22608,1,3,1983,1340,13,2,0,
22669,1,8,1994,2100,13,2,0,100
22669,1,3,1995,109,13,2,0,
22690,1,1,1983,2400,13,2,0,60
22844,1,3,1972,620,13,2,0,
22850,2,1,1988,550,13,2,0,
22850,2,3,1991,600,13,2,0,
22891,1,1,1986,1400,13,2,0,
22891,1,3,1994,200,13,2,0,
22901,1,1,1995,800,13,2,0,30
22908,1,1,1986,1250,13,2,0,80
22908,1,3,1995,224,13,1,450,
22961,1,1,1991,630,13,2,0,30
22961,2,1,1989,650,13,2,0,
22964,1,1,1995,2950,12,2,0,30
22964,2,1,1994,1000,13,2,0,100
22974,1,1,1974,550,13,2,0,
22974,1,3,1994,800,9,2,0,
22995,1,5,1994,2100,13,1,600,90
22996,1,15,1993,3800,13,2,0,80
23149,1,5,1984,2250,13,2,0,95
23188,1,1,1983,800,13,2,0,60
23188,1,15,1991,600,13,2,0,
23189,1,15,1977,564,13,2,0,
23189,1,9,1992,1200,13,2,0,
23193,1,5,1995,2445,7,2,0,98
23199,1,1,1990,3000,13,2,0,60
23199,2,1,1985,600,13,2,0,50
23273,3,8,1979,1300,13,2,0,70
23273,3,3,1990,230,13,2,0,
23273,3,10,1948,250,12,2,0,
23285,1,1,1984,600,13,2,0,20
23285,2,1,1986,600,13,2,0,60
23319,1,1,1988,600,13,2,0,
23319,2,1,1991,600,13,2,0,
23324,1,1,1968,610,13,2,0,
23342,1,1,1977,500,13,2,0,
23342,2,1,1972,500,13,2,0,
23343,1,1,1990,1200,13,2,0,70
23343,2,1,1976,350,13,2,0,
23350,1,3,1982,800,13,2,0,
23362,1,2,1988,730,13,1,20,
23367,1,1,1972,623,13,2,0,100
23367,2,1,1987,623,13,2,0,100
23384,2,1,1994,600,13,2,0,
23389,1,1,1985,1100,13,2,0,65
23389,2,4,1988,600,13,2,0,
23399,1,3,1984,680,13,2,0,
23409,1,1,1988,1700,13,2,0,78
23410,1,1,1985,2000,13,2,0,80
23445,1,1,1992,2428,12,2,0,70
23455,1,1,1990,1500,13,2,0,70
23455,2,8,1993,1700,13,2,0,74
23466,2,5,1981,1800,13,2,0,80
23469,1,5,1994,1550,13,1,3500,80
23469,3,7,1972,900,13,2,0,
23469,3,1,1962,600,13,2,0,
23473,1,1,1992,2500,13,1,600,80
23474,1,8,1989,5000,13,2,0,89
23490,2,1,1972,800,13,2,0,55
23527,1,1,1989,1700,13,2,0,80
23527,2,1,1981,1300,13,2,0,80
23532,1,3,1988,1200,13,2,0,
23532,1,13,1988,800,13,2,0,
23532,2,3,1988,400,13,2,0,
23532,2,13,1988,200,13,2,0,
23532,3,3,1988,400,13,2,0,
23532,3,13,1988,200,13,2,0,
23536,1,1,1987,1000,13,2,0,50
23536,2,1,1980,550,13,2,0,80
23598,1,9,1974,700,13,2,0,
23681,1,1,1989,1900,13,2,0,80
23681,2,3,1972,620,13,2,0,
23689,1,1,1995,1522,3,2,0,72
23762,1,1,1977,1400,13,2,0,
23821,1,1,1992,950,13,2,0,80
23823,1,1,1991,1650,13,2,0,80
23853,1,1,1982,600,13,2,0,
23853,1,8,1984,1800,13,2,0,90
23855,1,9,1993,1250,12,2,0,
23951,2,5,1985,1800,13,1,30,70
23986,1,1,1993,1000,13,2,0,50
24010,1,5,1994,2200,13,2,0,80
24035,1,4,1981,650,13,2,0,
24081,1,1,1988,700,13,2,0,
24085,1,1,1986,600,13,2,0,
24085,2,1,1960,800,13,2,0,
24085,3,1,1970,600,13,2,0,
24105,1,1,1976,720,13,2,0,
24105,2,4,1981,350,13,2,0,
24116,1,1,1992,1500,13,2,0,70
24116,2,1,1993,700,13,2,0,50
24119,1,1,1989,800,13,2,0,70
24119,2,1,1993,700,13,2,0,
24123,1,3,1995,1150,4,2,0,
24132,1,5,1994,1800,13,2,0,90
24144,1,1,1982,1900,13,2,0,85
24144,2,4,1987,600,13,2,0,
24149,1,1,1991,650,13,2,0,
24149,1,10,1993,50,13,2,0,
24158,1,1,1986,750,13,2,0,
24158,2,1,1990,980,13,2,0,
24173,1,15,1989,2300,13,2,0,
24186,1,1,1979,600,13,2,0,70
24186,2,1,1972,600,13,2,0,
24202,1,8,1989,1900,13,2,0,90
