NQUEST,Y,CN,CD1,CD2,CD,C,S
22164,49400,26040,0,0,0,26040,23360
22167,90921.425768,43186.469188,0,0,0,43186.469188,47734.95658
22168,12000,15900,0,0,0,15900,-3900
22169,27000,16800,0,0,0,16800,10200
22173,26000,22200,0,0,0,22200,3800
22202,35559.902848,29400,0,0,0,29400,6159.9028478
22203,112966.34917,71000,3000,4000,7000,78000,34966.349171
22208,82369.311838,45600,9000,0,9000,54600,27769.311838
22222,53172.473694,31200,0,0,0,31200,21972.473694
22224,13735.402707,17520,0,0,0,17520,-3784.597293
22225,141941.0638,74600,0,0,0,74600,67341.063801
22226,66874.239072,38800,0,0,0,38800,28074.239072
22250,22535.224571,19200,0,0,0,19200,3335.2245714
22251,44827.313044,26400,0,0,0,26400,18427.313044
22262,63392.677499,46900,16000,0,16000,62900,492.67749917
22263,52182.320424,26520,0,0,0,26520,25662.320424
22265,21140,20160,0,0,0,20160,980
22266,46481.625148,25200,0,0,0,25200,21281.625148
22268,21711.567254,18000,0,1000,1000,19000,2711.5672536
22270,44228.115063,36600,0,0,0,36600,7628.1150629
22272,63345.241061,36000,0,0,0,36000,27345.241061
22273,45261.846714,30000,0,0,0,30000,15261.846714
22274,42445.559816,28800,3400,0,3400,32200,10245.559816
22276,75063.831921,27600,0,0,0,27600,47463.831921
22277,46520.627157,37200,0,0,0,37200,9320.6271568
22278,50955.836808,43200,25000,2000,27000,70200,-19244.16319
22279,44346.136464,18000,0,0,0,18000,26346.136464
22286,39239.826746,33600,0,0,0,33600,5639.8267461
22292,30927.495044,32415.088989,11000,0,11000,43415.088989,-12487.59394
22353,40269.320646,37260,0,0,0,37260,3009.3206461
22360,14900,13800,8000,0,8000,21800,-6900
22373,21015.7626,16196.21721,0,0,0,16196.21721,4819.54539
22374,98160.127867,38528.393446,0,0,0,38528.393446,59631.734421
22393,20379.866717,17447.234762,0,0,0,17447.234762,2932.6319548
22503,22235,21600,0,0,0,21600,635
22506,34365.574317,32500,4000,0,4000,36500,-2134.425683
22509,63010,42000,0,0,0,42000,21010
