NQUEST,NORD,YL2,YL1,YTP1,YTP2,YTA1,YTA2,YTA3,YCR1,YL,YTP,YTA,YT,YM1,YM2,YM,YCR2,YCR3,YCR,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y
2274,1,0,0,8450,0,0,0,0,0,0,8450,0,8450,0,0,0,0,6800,6800,101.75546092,0,0,0,101.75546092,6901.7554609,15351.755461
2274,2,0,0,8450,0,0,0,0,0,0,8450,0,8450,0,0,0,0,0,0,0,0,0,0,0,0,8450
2274,3,0,10000,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
2447,1,0,0,0,0,0,0,0,0,0,0,0,0,20000,2000,18000,0,11700,11700,94.954084873,0,0,0,94.954084873,11794.954085,29794.954085
2447,2,0,15000,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000
2485,1,0,0,7800,0,0,0,1500,0,0,7800,1500,9300,0,0,0,0,4800,4800,111.20901757,0,0,0,111.20901757,4911.2090176,14211.209018
2577,1,0,0,16900,0,0,0,0,0,0,16900,0,16900,0,0,0,0,0,0,24.678331178,0,0,0,24.678331178,24.678331178,16924.678331
2579,1,0,21500,0,0,0,0,0,0,21500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21500
2579,4,0,7800,0,0,0,0,0,0,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800
2866,1,0,0,0,0,0,0,0,0,0,0,0,0,24000,500,23500,0,22900,22900,401.28472015,0,0,0,401.28472015,23301.28472,46801.28472
2875,1,0,0,22100,0,0,0,0,0,0,22100,0,22100,0,0,0,0,4800,4800,1519.5080413,3025.7320475,0,0,4545.2400887,9345.2400887,31445.240089
2875,2,0,0,8450,0,0,0,0,0,0,8450,0,8450,0,0,0,0,0,0,0,0,0,0,0,0,8450
2875,3,0,22000,0,0,0,0,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000
2886,1,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,6000,6000,854.0908902,0,0,0,854.0908902,6854.0908902,26854.09089
2886,2,0,24000,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000
2886,3,0,0,0,0,0,625,0,0,0,0,625,625,0,0,0,0,0,0,0,0,0,0,0,0,625
2963,1,0,0,14950,0,0,0,0,0,0,14950,0,14950,0,0,0,0,9300,9300,623.30159797,0,0,0,623.30159797,9923.301598,24873.301598
2963,2,0,0,9100,0,0,0,0,0,0,9100,0,9100,0,0,0,0,0,0,0,0,0,0,0,0,9100
2970,1,0,0,0,0,0,0,0,0,0,0,0,0,13000,100,12900,0,4100,4100,207.15763124,0,0,0,207.15763124,4307.1576312,17207.157631
2970,3,0,0,0,0,0,0,0,0,0,0,0,0,13000,100,12900,0,0,0,0,0,0,0,0,0,12900
3078,1,0,0,0,0,0,0,0,0,0,0,0,0,71000,0,71000,0,0,0,2926.3764081,0,0,0,2926.3764081,2926.3764081,73926.376408
3166,1,0,33500,0,0,0,0,0,0,33500,0,0,0,0,0,0,0,8400,8400,683.12269604,0,0,0,683.12269604,9083.122696,42583.122696
3166,3,0,5400,0,0,0,0,0,0,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5400
3193,1,550,40000,0,0,0,0,0,0,40550,0,0,0,0,0,0,0,7200,7200,94.162092812,0,0,0,94.162092812,7294.1620928,47844.162093
3203,1,0,0,21450,0,0,0,0,0,0,21450,0,21450,0,0,0,0,13800,13800,668.61376585,7893.0858756,9810.9920083,0,18372.69165,32172.69165,53622.69165
3203,2,0,21000,0,0,570,0,0,0,21000,0,570,570,0,0,0,0,0,0,0,0,0,0,0,0,21570
3204,1,0,0,0,0,0,0,0,0,0,0,0,0,31000,0,31000,0,9600,9600,64.941355467,515.48220301,0,0,580.42355848,10180.423558,41180.423558
3204,2,0,20000,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
3299,1,0,38000,0,0,0,0,0,0,38000,0,0,0,0,0,0,0,6000,6000,173.1889914,0,0,0,173.1889914,6173.1889914,44173.188991
3299,3,0,6400,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6400
3299,4,0,16000,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000
3299,5,0,6400,0,0,0,0,0,0,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6400
3389,1,0,0,19500,0,0,0,0,0,0,19500,0,19500,0,0,0,0,1200,1200,85.490897598,0,0,0,85.490897598,1285.4908976,20785.490898
3389,2,0,0,4550,0,0,0,0,0,0,4550,0,4550,0,0,0,0,0,0,0,0,0,0,0,0,4550
3663,1,0,0,26000,12650,0,0,0,0,0,38650,0,38650,0,0,0,0,6000,6000,598.92552977,4675.4403206,0,0,5274.3658504,11274.36585,49924.36585
3717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11713.054085,0,0,0,11713.054085,11713.054085,11713.054085
3717,2,0,0,18200,0,0,0,0,0,0,18200,0,18200,0,0,0,0,0,0,0,0,0,0,0,0,18200
3717,3,0,0,14300,0,0,0,0,0,0,14300,0,14300,0,0,0,0,0,0,0,0,0,0,0,0,14300
3905,1,0,0,29900,0,0,0,0,0,0,29900,0,29900,0,0,0,0,9600,9600,328.96587924,2381.3587718,0,0,2710.3246511,12310.324651,42210.324651
4236,1,0,0,7540,0,0,0,0,0,0,7540,0,7540,0,0,0,0,0,0,282.61068611,0,0,0,282.61068611,282.61068611,7822.6106861
4238,1,0,0,27300,0,0,0,0,0,0,27300,0,27300,0,0,0,0,7200,7200,1619.2286212,0,0,0,1619.2286212,8819.2286212,36119.228621
4238,2,0,0,4680,0,0,0,0,0,0,4680,0,4680,0,0,0,0,0,0,0,0,0,0,0,0,4680
4266,1,0,0,17550,0,0,0,0,0,0,17550,0,17550,0,0,0,3000,24000,27000,458.54205533,753.29286581,0,3120,-1908.165079,25091.834921,42641.834921
4266,3,0,0,4875,0,0,0,0,0,0,4875,0,4875,0,0,0,0,0,0,0,0,0,0,0,0,4875
4266,4,0,0,14300,0,0,0,0,0,0,14300,0,14300,0,0,0,0,0,0,0,0,0,0,0,0,14300
4297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,12000,518.96636264,0,0,0,518.96636264,12518.966363,12518.966363
4297,2,0,0,20332,0,0,0,0,0,0,20332,0,20332,0,0,0,0,0,0,0,0,0,0,0,0,20332
4304,1,0,18200,0,0,0,0,0,0,18200,0,0,0,0,0,0,0,14400,14400,1177.8213714,2026.803976,0,9100,-5895.374653,8504.6253475,26704.625347
4304,2,0,35000,0,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000
4304,3,0,19306,0,0,0,0,0,0,19306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19306
