NQUEST,NORD,ATTIVP,PARTIME,TUTTANNO,MESILAV,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM
22550,1,1,1,1,12,7,25,2,,26000,2,0
22550,2,1,1,1,12,7,36,2,,20000,2,0
22570,1,1,1,1,12,5,45,1,10,45000,2,0
22571,1,1,1,1,12,6,40,2,,48000,2,0
22571,2,1,1,1,12,7,36,2,,22000,2,0
22586,3,1,2,1,12,6,20,1,8,9500,2,0
22587,1,1,1,1,12,6,40,2,,85000,1,10000
22606,2,1,1,1,12,6,40,2,,25000,2,0
22624,1,1,1,1,12,1,50,2,,12000,2,0
22657,1,1,1,1,12,7,40,2,,23500,2,0
22669,2,1,1,1,12,6,45,2,,26000,1,2400
22685,1,1,1,1,12,5,50,2,,40000,2,0
22685,2,1,1,1,12,5,40,1,0,25000,2,0
22805,1,1,1,1,12,6,37,2,,30000,2,0
22805,2,1,1,1,12,7,30,2,,25000,2,0
22807,1,1,1,1,12,1,48,2,,13000,2,0
22844,2,1,1,1,12,5,40,1,3,19000,2,0
22844,3,1,1,1,12,2,45,1,5,25000,2,0
22850,1,1,1,1,12,7,28,2,,24250,2,0
22899,1,1,1,1,12,5,40,1,3,33000,1,2000
22899,2,1,1,2,10,7,36,2,,20000,2,0
22901,3,1,1,1,12,6,40,2,,24000,1,1200
22903,1,1,1,1,12,3,40,1,1,20000,2,0
22904,1,1,1,1,12,7,45,2,,12000,2,0
22967,1,1,1,1,12,5,36,1,0,37000,2,0
22967,2,1,1,1,12,7,27,2,,20000,2,0
22972,1,1,1,1,12,6,40,1,0,24000,2,0
22992,1,1,1,1,12,5,45,1,5,25000,2,0
22993,1,1,1,1,12,7,36,1,0,32000,2,0
22993,2,1,1,1,12,7,36,1,0,32000,2,0
23149,2,1,1,1,12,7,36,2,,24000,2,0
23193,1,1,1,2,6,7,38,2,,15000,2,0
23273,1,1,1,1,12,7,36,2,,21000,2,0
23370,1,1,1,1,12,7,36,1,5,28000,2,0
23383,1,1,1,1,12,7,36,2,,24000,2,0
23383,2,1,1,1,12,7,22,2,,24000,2,0
23386,1,1,1,2,11,3,40,2,,22100,2,0
23386,2,1,2,1,12,5,15,2,,9100,2,0
23389,3,1,1,1,12,7,18,1,0,26000,2,0
23399,2,1,1,1,12,3,40,2,,14000,2,0
23399,3,1,1,1,12,3,40,2,,14000,2,0
23399,5,1,1,1,12,3,40,2,,14000,2,0
23402,1,1,1,1,12,6,42,2,,25200,2,0
23409,3,1,1,1,12,7,26,2,,19500,2,0
23454,1,1,1,1,12,7,36,1,,28000,2,0
23460,1,1,1,1,12,7,36,2,,28754,2,0
23460,4,1,1,1,12,5,40,1,0,26000,2,0
23460,4,2,1,2,1,7,36,2,,1200,2,0
23474,2,1,1,1,12,7,28,2,,18700,2,0
23474,3,1,1,1,12,6,40,1,6,24000,1,2160
23490,1,1,1,1,12,7,38,1,2,30000,2,0
23497,4,1,1,1,12,3,40,1,5,15600,2,0
23498,1,1,1,1,12,7,18,2,,23000,2,0
23532,1,1,1,1,12,6,36,1,,30000,1,1200
23552,1,1,1,1,12,7,36,2,,24000,2,0
23552,2,1,1,1,12,7,30,2,,28000,2,0
23680,1,1,1,1,12,1,50,2,,46000,2,0
23680,2,1,1,1,12,7,38,1,1,38000,2,0
23683,1,1,1,1,12,4,40,2,,42000,2,0
23683,2,1,1,1,12,2,38,2,,25200,2,0
23689,3,1,1,2,4,5,38,2,,5000,2,0
23732,1,1,1,1,12,5,40,1,0,31500,1,2700
23732,2,1,1,1,12,7,36,2,,25000,2,0
23797,1,1,1,1,12,1,62,1,2,20000,2,0
23821,4,1,1,1,12,7,36,1,8,24000,2,0
23822,1,1,1,1,12,6,40,2,,30000,2,0
23835,1,1,1,1,12,6,40,2,,45000,1,3000
23854,1,1,1,1,12,6,44,1,4,35000,2,0
23854,2,1,1,1,12,7,36,1,4,37000,2,0
23865,1,1,1,1,12,7,40,1,0,50000,2,0
23888,1,1,1,1,12,7,20,1,0,25000,2,0
23888,2,1,1,1,12,7,36,1,,30000,1,5000
23951,1,2,2,1,12,2,50,2,,11340,2,0
23951,4,1,1,1,12,7,40,2,,13200,2,0
24021,1,1,1,1,12,7,40,2,,22000,2,0
24025,1,1,1,1,12,6,38,2,,52000,1,12000
24025,2,1,1,1,12,7,20,2,,27000,2,0
24030,1,1,1,1,12,,48,1,1,24000,2,0
24071,1,1,1,1,12,7,40,2,,26000,2,0
24080,1,1,1,1,12,2,40,1,5,24000,2,0
24080,2,1,1,1,12,1,25,1,6,12000,2,0
24081,2,1,1,1,12,7,18,2,,25000,2,0
24109,1,1,2,1,12,2,20,2,,13000,2,0
24109,2,1,1,1,12,7,36,2,,25000,2,0
24132,2,1,1,1,12,1,48,2,,18900,2,0
24138,1,1,1,1,12,5,40,2,,26000,1,
24138,3,1,1,1,12,2,40,2,,16900,2,0
24144,3,1,1,1,12,4,40,2,,22100,1,
24147,1,1,1,1,12,5,40,2,,33800,2,0
24147,2,1,1,1,12,7,25,2,,28000,1,
24150,1,1,1,1,12,3,40,2,,26000,2,0
24170,1,1,1,1,12,2,40,1,,21600,2,0
24170,2,1,1,1,12,7,38,1,0,28000,2,0
24194,1,1,1,1,12,5,40,1,4,29400,2,0
24195,2,1,1,1,12,6,40,2,,28000,1,2500
24195,3,1,1,2,3,6,36,2,,6000,2,0
24195,4,1,1,1,12,1,40,2,,10500,2,0
24202,3,1,1,1,12,7,36,2,,23800,2,0
24210,1,1,1,1,12,7,36,2,,21600,2,0
24210,2,1,1,2,3,1,36,2,,3500,2,0
24304,1,1,1,1,12,7,43,1,1,78000,2,0
24304,2,1,1,1,12,7,40,1,1,28500,2,0
24308,3,1,1,1,12,7,30,2,,10800,2,0
24308,3,1,2,1,12,4,9,2,,10000,2,0
24311,1,1,1,1,12,6,65,2,,39000,2,0
24311,3,1,1,1,12,5,40,2,,20800,2,0
24312,1,1,1,1,12,7,19,1,2,29250,2,0
24312,2,1,1,1,12,7,12,1,2,28600,2,0
24315,1,1,1,1,12,7,18,2,,27950,2,0
24315,2,1,1,1,12,7,18,2,,27950,2,0
24316,1,1,1,1,12,4,40,2,,20000,1,
24322,1,1,1,1,12,5,40,1,3,34000,1,
24330,3,1,1,1,12,5,40,2,,16000,2,0
24330,4,1,1,1,12,2,40,2,,8000,2,0
24373,1,1,1,1,12,1,50,2,,16000,2,0
24382,2,1,2,1,12,1,10,2,,4000,2,0
24382,3,1,1,1,12,2,48,2,,13000,2,0
24390,1,1,1,1,12,5,40,2,,33000,2,0
24390,2,1,1,1,12,7,36,2,,24000,2,0
24392,1,1,1,1,12,6,40,1,4,25000,2,0
24392,2,1,1,1,12,7,36,2,,15000,2,0
24409,1,1,1,1,12,7,38,1,2,32000,2,0
24415,1,1,1,1,12,7,36,1,2,24000,2,0
24415,2,1,1,1,12,3,38,2,,23000,2,0
24431,1,1,1,1,12,7,36,2,,22000,2,0
24431,2,1,1,1,12,7,24,2,,20000,2,0
24434,1,1,1,1,12,7,36,2,,25000,2,0
24434,2,1,1,1,12,3,40,2,,15000,2,0
24438,3,1,1,1,12,7,18,1,15,27950,2,0
24438,4,1,1,1,12,7,18,1,2,24700,2,0
24450,2,1,1,1,12,7,40,2,,23000,2,0
24507,1,1,1,1,12,1,60,2,,17000,2,0
24529,1,1,1,1,12,7,21,1,6,33150,2,0
24530,3,1,1,1,12,5,40,1,3,28000,2,0
24530,4,1,1,1,12,5,40,1,1,23800,2,0
24531,1,1,2,1,12,1,2,2,,2500,2,0
24571,3,1,1,2,1,,36,2,,700,2,0
24616,1,1,1,2,9,5,40,2,,12000,2,0
24616,2,1,1,2,4,2,40,2,,4000,2,0
24619,3,1,1,2,8,1,40,2,,15000,2,0
24623,2,1,1,1,12,2,36,2,,13000,2,0
24624,1,1,1,1,12,7,36,2,,21000,2,0
24624,2,1,2,1,12,1,28,2,,10500,2,0
24626,1,1,1,1,12,2,40,2,,20000,2,0
24626,2,1,1,1,12,3,36,2,,17500,2,0
24626,3,1,1,2,7,5,39,2,,8000,2,0
24630,1,1,1,1,12,2,40,2,,22500,2,0
24633,3,1,1,1,12,2,40,2,,18000,2,0
24635,1,1,1,1,12,5,38,1,3,25000,2,0
24645,3,1,1,1,12,3,40,2,,16000,2,0
24646,2,1,1,1,12,1,35,2,,14000,2,0
24655,2,1,1,1,12,5,40,1,2,19500,2,0
24659,1,1,1,1,12,3,40,2,,20000,2,0
24659,2,1,1,1,12,1,40,1,,15600,2,0
24727,2,1,1,1,12,7,40,2,,25000,2,0
24764,1,1,1,1,12,5,40,2,,21000,2,0
24790,1,1,1,1,12,6,40,2,,16000,2,0
24790,2,1,1,1,12,7,36,2,,19000,2,0
24809,3,1,1,1,12,5,40,1,6,40000,2,0
24809,4,1,1,1,12,2,40,2,,16900,2,0
24835,1,1,1,2,2,7,36,1,1,3800,2,0
24835,2,1,1,1,12,7,36,1,2,25000,2,0
24849,1,1,1,1,12,7,36,1,0,16900,2,0
24853,1,1,1,1,12,7,40,2,,27000,2,0
24853,2,1,2,2,1,7,24,2,,1300,2,0
