NQUEST,NORD,LAVORO,PIND1,PIND2,PIND3,PPENS,ALTRED1,ALTRED2,ALTRED3,ALTRED4,ALL1,ALL2,ALL3,ALL4,ALL5,ALL6
293432,3,2,2,2,2,2,2,2,2,2,,,,,,
293432,4,2,2,2,2,2,2,2,2,2,,,,,,
293434,1,2,2,2,2,2,2,1,2,2,,,,,,6
293434,2,2,2,2,2,2,2,2,2,2,,,,,,
293434,3,2,2,2,2,2,2,2,2,2,,,,,,
293434,4,2,2,2,2,2,2,2,2,2,,,,,,
293434,5,2,2,2,2,2,2,2,2,2,,,,,,
293435,1,1,2,2,2,2,2,2,2,2,1,,,,,
293435,2,2,2,2,2,2,2,2,2,2,,,,,,
293435,3,2,2,2,2,2,2,2,2,2,,,,,,
293435,4,2,2,2,2,2,2,2,2,2,,,,,,
293435,5,2,2,2,2,2,2,2,2,2,,,,,,
293435,6,2,2,2,2,2,2,2,2,2,,,,,,
293435,7,2,2,2,2,2,2,2,2,2,,,,,,
293438,1,2,2,2,2,1,2,2,2,2,,,,,5,
293438,2,2,2,2,2,1,2,2,2,2,,,,,5,
293438,3,2,2,2,2,2,2,2,2,2,,,,,,
293445,1,2,2,2,2,1,2,2,2,2,,,,,5,
293445,2,1,2,2,2,2,2,2,2,2,1,,,,,
293459,1,1,2,2,2,2,2,2,2,2,1,,,,,
293459,2,2,2,2,2,1,2,2,2,2,,,,,5,
293459,3,2,2,2,2,2,2,2,2,2,,,,,,
293459,4,2,2,2,2,2,2,2,2,2,,,,,,
293459,5,2,2,2,2,2,2,2,2,2,,,,,,
293459,6,2,2,2,2,2,2,2,2,2,,,,,,
293469,1,2,2,2,2,1,2,2,2,2,,,,,5,
293469,2,2,2,2,2,1,2,2,2,2,,,,,5,
293469,3,2,2,2,2,2,2,2,2,2,,,,,,
293469,4,2,2,2,2,2,2,2,2,2,,,,,,
293469,5,2,2,2,2,2,2,2,2,2,,,,,,
293469,6,2,2,2,2,2,2,2,2,2,,,,,,
293469,7,2,2,2,2,2,2,2,2,2,,,,,,
293469,8,2,2,2,2,2,2,2,2,2,,,,,,
293469,9,2,2,2,2,2,2,2,2,2,,,,,,
293474,1,1,2,2,2,2,2,2,2,2,1,,,,,
293474,2,2,2,2,2,2,2,2,2,2,,,,,,
293474,3,2,2,2,2,2,2,2,2,2,,,,,,
293474,4,2,2,2,2,2,2,2,2,2,,,,,,
293474,5,2,2,2,2,2,2,2,2,2,,,,,,
293475,1,1,2,2,2,2,2,2,2,2,1,,,,,
293475,2,2,2,2,2,2,2,2,2,2,,,,,,
293475,3,2,2,2,2,2,2,2,2,2,,,,,,
293477,1,1,2,2,2,2,2,2,2,2,1,,,,,
293477,2,2,1,2,2,2,2,2,2,2,,2,,,,
293477,3,2,2,2,2,2,2,2,2,2,,,,,,
293477,4,2,2,2,2,2,2,2,2,2,,,,,,
293511,1,1,2,2,2,2,2,2,2,2,1,,,,,
293511,2,2,2,2,2,2,2,2,2,2,,,,,,
293511,3,2,2,2,2,2,2,2,2,2,,,,,,
293511,4,2,2,2,2,2,2,2,2,2,,,,,,
293511,5,2,2,2,2,2,2,2,2,2,,,,,,
293511,6,2,2,2,2,2,2,2,2,2,,,,,,
293511,7,2,2,2,2,2,2,2,2,2,,,,,,
293527,1,1,2,2,2,2,2,2,2,2,1,,,,,
293527,2,2,2,2,2,2,2,2,2,2,,,,,,
293533,1,1,2,2,2,2,2,2,2,2,1,,,,,
293533,2,2,2,2,2,2,2,2,2,2,,,,,,
293533,3,1,2,2,2,2,2,2,2,2,1,,,,,
293533,4,2,2,2,2,2,2,2,2,2,,,,,,
293539,1,2,2,2,2,1,2,2,2,2,,,,,5,
293539,2,2,2,2,2,2,2,2,2,2,,,,,,
293539,3,2,2,2,2,2,2,2,2,2,,,,,,
293539,4,2,2,2,2,2,2,2,2,2,,,,,,
293542,1,2,2,2,1,1,2,2,2,2,,,,4,5,
293542,2,2,2,2,2,2,2,2,2,2,,,,,,
293542,3,1,2,2,2,2,2,2,2,2,1,,,,,
293542,4,2,2,2,2,2,2,2,2,2,,,,,,
293542,5,1,2,2,1,2,2,2,2,2,1,,,4,,
293548,1,2,2,2,2,2,2,2,2,2,,,,,,
293548,2,2,1,2,2,2,2,2,2,2,,2,,,,
293549,1,2,2,2,2,1,2,2,2,2,,,,,5,
293549,2,1,2,2,2,2,2,2,2,2,1,,,,,
293554,1,2,2,2,2,1,2,2,2,2,,,,,5,
293554,2,2,2,2,2,2,2,2,2,2,,,,,,
293555,1,2,1,2,2,2,2,2,2,1,,2,,,,6
293555,2,2,2,2,2,2,2,2,2,2,,,,,,
293562,1,2,2,2,2,1,2,2,2,2,,,,,5,
293562,2,2,2,2,2,2,2,2,2,2,,,,,,
293562,3,2,2,2,2,2,2,2,2,2,,,,,,
293562,4,2,2,2,2,2,2,2,2,2,,,,,,
293562,5,2,2,2,2,2,2,2,2,2,,,,,,
293570,1,1,2,2,2,2,2,2,2,2,1,,,,,
293570,2,1,2,2,2,2,2,2,2,2,1,,,,,
293570,3,2,1,2,2,2,2,2,2,2,,2,,,,
293570,4,2,2,2,2,2,2,2,2,2,,,,,,
293579,1,1,2,2,2,2,2,2,2,2,1,,,,,
293579,2,1,2,2,2,2,2,2,2,2,1,,,,,
293579,3,2,2,2,2,2,2,2,2,2,,,,,,
293579,4,2,2,2,2,2,2,2,2,2,,,,,,
293592,1,1,2,2,2,2,2,2,2,2,1,,,,,
293592,2,1,2,2,2,2,2,2,2,2,1,,,,,
293592,3,2,2,2,2,2,2,2,2,2,,,,,,
