NQUEST,NORD,SITUAT,PENSVOL,PROBLAV,MINLAV,MAXLAV,PROBTEL,PROBLTX
23473,3,2,,90,20000,25000,,90
23490,1,4,,,,,,
23527,3,1,2,90,26000,82000,,50
23552,1,1,2,100,25000,30000,,90
23552,2,1,2,100,28000,30000,,90
23689,3,1,2,100,19600,21000,,90
23797,1,1,2,100,20000,24000,,10
23798,1,1,1,,,,,
23798,3,3,,30,15000,22000,,100
23798,4,3,,30,10000,20000,,100
23831,1,1,2,90,20000,30000,,10
23835,1,1,2,100,30000,40000,,10
23854,1,1,1,,,,,
23854,2,1,2,100,35000,40000,2,50
23888,1,1,2,100,25000,27000,,100
23888,2,1,2,100,30000,40000,,90
23951,1,1,2,100,,,,
23951,3,3,,50,18000,22000,,50
23951,4,1,2,,,,,
23951,5,2,,50,12000,15000,,50
23986,3,1,2,100,10000,15000,,40
24081,1,4,,,,,,
24081,2,1,2,100,24000,25000,,50
24109,1,1,2,100,13000,15000,,100
24109,2,1,2,100,22000,25000,,100
24114,1,1,2,100,40000,120000,,50
24114,2,1,2,100,,,,
24138,1,1,2,100,24000,25000,,10
24138,3,1,2,90,15000,16000,,10
24150,1,1,2,90,20000,25000,,20
24171,1,1,2,100,20000,25000,,60
24308,3,1,2,100,20800,,,
24311,1,1,2,100,20000,23000,,70
24311,3,1,2,100,18000,19000,,10
24312,1,1,2,100,27000,28000,,10
24312,2,1,2,100,27000,28000,,10
24316,1,1,2,50,20000,24000,,20
24322,1,1,2,100,35000,35000,,10
24330,1,1,2,10,15000,20000,,10
24330,3,1,2,10,15000,18000,,20
24330,4,1,2,10,15000,18000,,20
24374,3,1,2,70,13000,20000,,60
24374,4,3,,10,10000,14000,,80
24409,1,1,1,,,,,
24450,1,1,2,100,20000,30000,,20
24450,2,1,2,100,20000,25000,,10
24529,1,1,2,100,31000,35000,,50
24616,1,4,,,,,,
24616,2,1,2,100,4000,5000,,50
24616,3,1,2,100,5000,6000,,50
24619,1,1,2,100,35000,50000,,60
24619,3,1,2,10,20000,24000,,50
24623,1,1,2,100,20000,60000,,40
24623,2,1,2,70,10000,20000,,60
24645,1,2,,,,,,
24645,2,1,2,100,5000,6000,,60
24645,3,1,2,50,16000,17000,,50
24655,2,1,2,100,20000,25000,,40
24727,2,1,1,,,,,
24764,1,1,2,100,17000,23000,,80
24790,1,1,2,100,15000,18000,,70
24790,2,1,2,100,15000,18000,,70
24795,1,1,2,100,20000,30000,,70
24853,1,1,2,100,25000,27000,,20
24860,1,1,2,100,25000,30000,,30
24860,2,1,2,,,,,
24911,1,1,2,100,24000,,,
24940,1,1,2,50,18000,20000,,60
24940,2,1,2,50,15000,30000,,60
24940,3,1,2,50,15000,20000,,60
24942,1,1,2,10,20000,30000,,0
24947,1,1,2,100,30000,35000,,50
24974,1,1,2,90,40000,40000,,80
24974,2,1,2,90,24000,24000,,80
24974,3,3,,20,15000,18000,,50
25133,1,1,2,80,10000,15000,,100
25133,3,3,,0,12000,15000,,100
25133,4,3,,0,12000,15000,,100
25429,1,1,2,90,28000,30000,,90
25429,2,1,2,100,22000,24000,,90
25602,1,1,2,100,35000,35000,,10
25602,2,1,2,100,35000,40000,,10
25681,1,1,2,100,25000,30000,,100
25723,1,1,2,100,23000,25000,,70
25727,1,1,2,100,26000,28000,,100
25753,1,1,2,,27000,27000,,100
25753,2,1,2,,28000,28000,,100
25760,1,1,2,100,25000,25000,,
25883,2,2,,30,20000,22000,,100
25887,2,1,2,100,27000,30000,2,50
25897,2,1,2,50,10000,15000,,50
25898,1,1,2,100,21000,25000,,80
25898,2,1,2,80,28000,32000,,50
25903,1,1,2,100,28000,28000,,50
25903,2,1,2,100,24000,24000,,50
25903,3,1,2,80,22000,22000,,50
25905,3,1,2,100,16000,20000,,40
25905,4,1,2,90,19000,21000,,30
25919,1,1,2,100,55000,60000,,30
25919,2,1,2,100,21000,23000,,40
25968,2,1,2,70,19000,21000,,80
25968,3,1,2,80,26000,36000,3,50
25973,1,1,2,90,20000,21000,,70
25973,2,1,2,90,23000,24000,,70
26044,2,3,,,,,,
26044,3,3,,,,,,
26047,2,1,2,50,28000,32000,,60
26047,3,1,2,60,20000,22000,,80
26165,3,1,2,100,15000,16000,,50
26166,1,1,2,100,23000,24000,,30
26166,2,1,2,100,22000,23000,,30
26168,3,3,,50,10000,20000,,90
26168,4,3,,50,10000,20000,,90
26199,1,1,2,100,24000,25000,,40
26199,2,1,2,100,24000,25000,,40
26223,1,1,2,100,20000,25000,,50
26223,4,2,,,,,,
26228,1,1,2,100,24000,36000,,50
26228,2,1,2,100,24000,36000,,50
26229,1,1,2,100,25000,30000,,100
26229,3,1,2,10,20000,25000,,20
26229,4,1,2,80,18000,24000,,50
26280,1,1,2,100,17000,25000,,50
26280,2,1,2,100,9000,9000,,50
26283,1,1,2,100,24000,60000,,80
26283,3,1,2,100,20000,30000,,50
26307,1,1,2,100,30000,30000,,
26310,1,2,,0,28000,35000,,80
26310,2,2,,50,12000,36000,,80
26310,3,1,2,,,,,
26310,4,3,,,,,,
26329,1,1,2,100,50000,55000,,30
26329,3,1,2,90,22000,26000,,20
26357,1,1,2,0,50000,70000,,90
26573,1,1,2,100,24000,30000,,
26573,2,1,2,50,6000,8000,,
26620,1,1,2,100,40000,60000,,20
26620,2,1,2,100,25000,30000,,30
26634,1,1,2,100,22000,26000,,90
26641,1,1,1,,,,,
26641,4,1,2,100,16000,16000,,50
26641,5,1,2,100,20000,20000,,50
26683,1,1,2,100,42000,45000,,80
26683,2,1,2,100,56000,62000,2,50
26699,3,1,2,100,23000,25000,,20
26699,4,1,2,100,30000,32000,,20
26704,3,1,2,100,26000,27000,,30
26704,4,1,2,80,24000,26000,,60
26875,3,1,2,100,21600,21600,,
26938,1,1,2,100,24000,36000,,20
26939,1,1,2,90,24000,30000,,40
26939,2,1,2,90,24000,30000,,30
26941,1,1,2,100,20000,25000,,30
26941,3,3,,10,10000,18000,,10
26941,4,3,,10,10000,18000,,20
26941,5,3,,10,10000,18000,,20
27019,1,1,2,100,30000,35000,,50
27026,1,1,2,100,48000,50000,,90
27026,3,3,,60,24000,30000,,50
27026,4,3,,80,24000,30000,,50
27026,5,3,,80,24000,30000,,50
27099,1,1,2,100,30000,35000,,40
27099,2,1,2,100,30000,35000,,30
27105,3,1,2,100,12000,24000,,20
27112,1,1,2,100,24000,28000,,60
27112,3,3,,0,,,,
27116,1,4,,,,,,
27123,1,1,2,90,18000,22000,,50
27123,3,2,,10,6000,12000,,50
27154,3,1,2,50,30000,30000,3,50
27155,1,1,2,80,25000,30000,,60
27298,1,1,2,100,10000,15000,,30
27298,2,1,2,100,10000,15000,,30
27299,1,1,2,100,30000,32000,,50
27299,2,1,2,100,30000,30000,,50
27300,1,1,2,100,14000,15000,,50
27300,2,1,2,100,15000,18000,,50
27371,1,4,,,,,,
27453,1,1,2,100,27000,30000,,40
27463,1,1,2,100,20000,35000,,30
27467,1,1,2,50,7000,10000,,80
27467,2,1,2,50,7000,10000,,80
27467,3,3,,30,10000,12000,,70
27467,4,1,2,50,7000,9000,,50
27505,2,1,2,90,19500,21000,,50
27505,3,1,2,90,15000,17000,,80
27516,1,1,2,90,60000,65000,,40
27516,2,1,2,90,21000,22000,,10
27546,1,1,2,100,28000,32000,,60
27611,1,2,,20,5000,7000,,80
27730,1,1,1,,,,,
27730,3,3,,0,,,,
27734,1,1,2,30,24000,24000,,30
27734,4,3,,50,17000,24000,,50
27735,1,1,2,100,49000,49000,,0
27735,2,1,2,100,28000,28000,2,0
27741,1,1,1,,,,,
27741,3,3,,,,,,
27741,4,3,,,,,,
27741,5,3,,20,,,,
27744,1,1,2,100,20000,30000,,90
27744,3,1,2,20,,,,
27744,4,1,2,,,,,
27795,1,2,,30,22000,26000,,60
27795,2,2,,10,19000,22000,,10
27795,3,1,2,50,13000,16000,,30
27858,1,1,2,100,,,,
27923,1,1,2,100,30000,31000,,40
27930,2,1,2,100,25000,27000,,20
27930,3,3,,50,12000,16000,,60
27930,4,3,,50,12000,16000,,70
27935,1,1,2,100,22000,23000,,30
27935,2,3,,30,12000,16000,,90
27947,3,1,2,100,21000,23000,,40
28069,1,1,2,100,50000,65000,,80
28073,1,1,2,,60000,70000,,30
28100,1,1,2,100,30000,32000,,30
28105,1,1,2,100,24000,28000,,90
28158,2,1,2,100,30000,32000,,50
28158,4,1,2,100,15000,20000,,50
28220,2,1,2,60,20000,30000,,80
28220,3,1,2,60,10000,20000,,50
28228,1,2,,40,8000,9000,,90
28230,3,3,,20,80,10000,,50
28364,1,2,,50,18000,25000,,80
28364,2,1,2,100,17000,17000,,50
28428,1,2,,0,18000,18000,,100
28428,2,1,2,,,,,
28448,3,1,2,90,15000,16000,,60
28766,1,1,2,80,22000,24000,,50
28766,2,1,2,80,22000,24000,,50
28788,1,1,2,100,40000,42000,,50
28886,1,1,2,80,26000,27500,,10
28886,5,1,2,90,13000,14000,5,20
28897,1,1,2,100,24000,32000,,80
28945,3,1,2,,,,,
28948,1,1,2,70,10000,12000,,20
28948,2,1,2,70,10000,12000,,80
28999,3,1,2,,,,,
29062,1,1,2,100,22000,38000,,50
29062,2,1,2,100,24000,26000,,50
29107,1,1,2,100,26000,28000,,90
29140,1,1,2,90,22000,23000,,70
29140,2,1,2,100,22000,23000,,0
29147,1,1,1,,,,,
29147,2,1,1,,,,,
29293,1,1,2,100,28000,35000,,20
29335,1,1,2,80,25000,30000,,70
29335,3,1,2,80,10000,15000,,70
29341,2,1,2,100,40000,90000,,20
29341,3,3,,90,25000,40000,,40
29341,4,1,2,80,18000,22000,,60
