NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YM,YM1,YM2,YC,YCR,YCR1,YCR2,YCR3,YCF,YCF1,YCF2,YCF3,YCF4
36446,174084.7493,0,0,0,0,0,0,0,0,0,0,0,128000,140000,12000,46084.749303,31900,0,19400,12500,14184.749303,13892.906096,0,291.84320694,0
36450,73410.839661,62000,62000,0,0,0,0,0,0,0,0,0,0,0,0,11410.839661,10350,0,0,10350,1060.8396607,1060.8396607,0,0,0
36487,27236.624078,0,0,0,24700,24700,24700,0,0,0,0,0,0,0,0,2536.6240783,2400,0,0,2400,136.62407833,136.62407833,0,0,0
36488,37954.890761,0,0,0,3000,0,0,0,3000,0,0,3000,34000,34000,0,954.89076081,0,0,0,0,954.89076081,150.84799479,804.04276602,0,0
36489,21524.055232,0,0,0,21450,21450,21450,0,0,0,0,0,0,0,0,74.055231956,0,0,0,0,74.055231956,74.055231956,0,0,0
36492,42301.978749,0,0,0,26910,26910,26910,0,0,0,0,0,0,0,0,15391.978749,9600,0,0,9600,5791.9787493,487.79856317,5304.1801861,0,0
36493,71927.576908,24000,24000,0,37700,37700,37700,0,0,0,0,0,0,0,0,10227.576908,9600,0,0,9600,627.57690761,136.70319239,490.87371521,0,0
36494,46884.706476,22000,22000,0,14040,14040,14040,0,0,0,0,0,0,0,0,10844.706476,10800,0,0,10800,44.70647624,44.70647624,0,0,0
36495,30547.984053,6000,6000,0,16120,16120,16120,0,0,0,0,0,0,0,0,8427.9840534,8400,0,0,8400,27.984053431,27.984053431,0,0,0
36496,75765,35000,35000,0,18265,18265,18265,0,0,0,0,0,3000,3000,0,19500,19500,0,5000,14500,0,0,0,0,0
36497,23567.893101,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,167.89310098,0,0,0,0,167.89310098,167.89310098,0,0,0
36501,35090.381589,22000,22000,0,4500,0,0,0,4500,4500,0,0,0,0,0,8590.3815886,8400,0,0,8400,190.38158861,190.38158861,0,0,0
36505,10299.002183,0,0,0,7200,7200,7200,0,0,0,0,0,0,0,0,3099.0021827,3000,0,0,3000,99.002182716,99.002182716,0,0,0
36511,25200,0,0,0,18000,18000,18000,0,0,0,0,0,0,0,0,7200,7200,0,0,7200,0,0,0,0,0
36512,45350.460261,45000,45000,0,0,0,0,0,0,0,0,0,0,0,0,350.46026052,0,0,0,0,350.46026052,350.46026052,0,0,0
36513,43062.559225,0,0,0,0,0,0,0,0,0,0,0,27816.898971,30000,2183.101029,15245.660254,10400,0,0,10400,4845.6602538,4845.6602538,0,0,0
36514,26396.039688,26000,26000,0,0,0,0,0,0,0,0,0,0,0,0,396.03968803,0,0,0,0,396.03968803,396.03968803,0,0,0
36519,40222.916273,25000,25000,0,0,0,0,0,0,0,0,0,15000,15000,0,222.91627254,0,0,0,0,222.91627254,222.91627254,0,0,0
36521,100106.95521,45000,45000,0,28600,28600,28600,0,0,0,0,0,0,0,0,26506.955211,23600,0,9000,14600,2906.9552105,1063.0025688,1843.9526417,0,0
36522,45515.287031,38000,38000,0,0,0,0,0,0,0,0,0,0,0,0,7515.2870308,5200,0,0,5200,2315.2870308,2315.2870308,0,0,0
36523,39000,0,0,0,33000,33000,33000,0,0,0,0,0,0,0,0,6000,6000,0,0,6000,0,0,0,0,0
36524,71488.902534,33000,33000,0,29900,29900,29900,0,0,0,0,0,0,0,0,8588.9025338,8400,0,0,8400,188.90253384,500.90253384,0,0,312
36527,80052.990921,20000,20000,0,31200,31200,31200,0,0,0,0,0,20000,20000,0,8852.9909205,8500,0,0,8500,352.99092052,352.99092052,0,0,0
36530,69343.920292,62500,60000,2500,0,0,0,0,0,0,0,0,0,0,0,6843.9202915,6000,0,0,6000,843.92029153,5.5786932286,0,838.34159831,0
36531,54582.554278,0,0,0,44200,44200,44200,0,0,0,0,0,0,0,0,10382.554278,10200,0,0,10200,182.55427809,182.55427809,0,0,0
36536,36356.288883,0,0,0,25350,25350,25350,0,0,0,0,0,0,0,0,11006.288883,10805.177356,0,4500,6305.1773561,201.11152643,201.11152643,0,0,0
36537,27411.356219,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,4011.3562194,3600,0,0,3600,411.35621939,411.35621939,0,0,0
36544,15241.826324,0,0,0,0,0,0,0,0,0,0,0,3000,8000,5000,12241.826324,9700,0,0,9700,2541.8263236,2278.2546346,263.57168895,0,0
36545,46400,29000,29000,0,7800,7800,7800,0,0,0,0,0,0,0,0,9600,9600,0,0,9600,0,0,0,0,0
36549,17147.477519,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,247.47751918,0,0,0,0,247.47751918,247.47751918,0,0,0
