NQUEST,NORD,STA1,STA2,STA3,STB1,STB2,STB3,STB4,STC1,STC2,STC3,STC4,STC5,STC6,STC7,STD1,STD2,STD3,STD4,YTA1,YTA2,YTA3,YTB1,YTB2,YTB3,YTB4,YTC1,YTC2,YTC3,YTC4,YTC5,YTC6,YTC7,YTD1,YTD2,YTD3,YTD4
25439,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0
25443,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25443,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25444,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0
25681,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0
25727,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,0,0
25842,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,4793,0,0,0,0,0,0,0,0,0,5000,0,0
25923,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0
25924,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25928,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,10800,0,0,0,0,0,0,0,0,0,0
25963,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0
25967,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500
26280,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0
26307,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,8880,0,0,0,0,0,0,0,0,0,0
26310,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0
26573,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
26585,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,300000,0,0,0,0,0,35000,0,0,0,0,0,0,0,0,0,0,0
26620,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0
26683,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0
