NQUEST,DEPBANC,DEPBANR,DEPPOSC,DEPPOSR,NDEPBANC,NDEPBANR,NDEPPOSC,NDEPPOSR,IDEPBANC,IDEPBANR,IDEPPOSC,IDEPPOSR,UNABAN,BANCHE,ANNIBAN,PREFBA1,PREFBA2,PREFBA3,PREFBA4,PREFBA5,PREFBA6,PREFBA7,PREFBA8,PREFBA9,PREFBA10,TAXCC,TAXCC2,SCOPER,TSCOPER,ASSBAN,NASSBAN,ASSBANE1,ASSBANE2,ASSBANE3,PAGAM3U,PAGAM2U,PAGAM5U,PAGAM6U,MOTNAD1,MOTNAD2,MOTNAD3,MOTNAD4,MOTNAD5,MOTNAD6,MOTNAD7,MOTNAD8,MOTNAD9,PAGAM1U,PAGAM1,BONIFIE1,BONIFIE2,BONIFIE3,BANCOMAT,NBANCOMA,NPREL1,PRELMED1,BANCOME1,BANCOME2,BANCOME3,PAGAM4U,PAGAM4,POSE1,POSE2,POSE3,CARTA,CARTE,PCARTE,NPAGCART,CARTEE1,CARTEE2,CARTEE3,MINCON,NPREL2,PRELMED2,PRELE1,PRELE2,PRELE3,VERSAM,NVERS,VERSMED,VERSE1,VERSE2,VERSE3,PAGENT1,PAGENT2,PAGENT3,PAGENT4,PAGENT5,QPAGENT1,QPAGENT2,QPAGENT3,QPAGENT4,QPAGENT5,SCORTA,SPESECON
337072,1,2,2,2,2,,,,4,,,,1,1,4,,,,,,1,,,,,6,,2,0,1,2,,,,1,2,2,1,,,,,,,,,,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,200,2,1200,,,,2,0,,,,,2,1,1,2,2,0,67,33,0,0,600,2400
337075,1,2,2,2,1,,,,2,,,,1,1,3,,,,,,,1,,,,5.5,,2,0,1,0.3333333333,,,,1,2,2,2,,,,,,,,,,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,200,0,,,,,1,4,1000,,,,1,2,2,2,2,100,0,0,0,0,900,1800
337076,1,1,2,2,1,2,,,2,2,,,1,1,4,,,,,,,,,,1,8.5,,1,15000,1,3,,,,1,1,1,2,,,,,,,,,,2,0,,,,1,1,7,500,,,,1,2,,,,1,2,2,4,,,,50,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,500,3500
337077,1,2,2,2,1,,,,1,,,,1,1,4,1,,,,,,,,,,,6,2,0,2,0,,,,1,1,2,2,,,,,,,,,,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,0.5,2800,,,,1,6,400,,,,1,2,2,2,2,100,0,0,0,0,600,1200
337080,1,1,2,2,1,1,,,2,2,,,1,1,4,,,,,,1,,,,,5.5,,3,,1,1,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,1,1,6,250,,,,2,0,,,,2,0,0,,,,,200,1,1300,,,,2,0,,,,,2,1,1,2,2,0,55,45,0,0,1000,3000
337085,1,2,2,2,1,,,,2,,,,1,1,4,,,,1,,,,,,,,3,3,,1,1,,,,2,2,2,2,0,1,0,0,0,0,0,0,0,2,0,,,,1,1,1,250,,,,2,0,,,,1,1,1,0.1666666667,,,,200,0,,,,,1,6,2500,,,,1,2,2,2,2,100,0,0,0,0,800,2500
337087,1,2,2,2,1,,,,2,,,,1,1,4,,,,,,1,,,,,5.7,,2,0,1,1,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,1,1,5,300,,,,2,0,,,,2,0,0,,,,,100,0.5,500,,,,2,0,,,,,1,1,2,2,2,25,75,0,0,0,600,1800
337089,1,2,2,2,2,,,,2,,,,1,1,2,,,,,,1,,,,,8,,2,0,1,1,,,,1,2,2,1,,,,,,,,,,2,0,,,,1,1,2,300,,,,2,0,,,,2,0,0,,,,,50,0.1666666667,1000,,,,2,0,,,,,1,1,2,2,2,65,35,0,0,0,500,2500
338005,1,2,2,2,1,,,,2,,,,1,1,4,1,,,,,,,,,,,3,1,2000,1,0.5,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,1,1,0,,,,,2,0,,,,2,0,0,,,,,0,0.25,500,,,,2,0,,,,,1,2,1,2,2,50,0,50,0,0,1000,1800
338009,1,2,2,2,1,,,,1,,,,1,1,2,1,,,,,,,,,,,2,1,3000,2,0,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,1,1,1,2,,,,100,0,,,,,2,0,,,,,2,1,2,2,2,0,100,0,0,0,100,1800
338011,2,2,2,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,,,,,1,4,1000,,,,1,2,1,2,2,70,0,30,0,0,1500,1500
338013,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,1000,1000
338016,1,2,2,2,1,,,,1,,,,1,1,4,1,,,,,,,,,,,3,2,0,2,0,,,,2,2,2,2,0,0,0,0,0,0,0,1,0,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,100,1,500,,,,2,0,,,,,2,2,1,2,2,0,0,100,0,0,500,1000
338021,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,100,0,0,0,0,1200,1000
338030,1,2,2,2,1,,,,2,,,,1,1,4,1,,,,,,,,,,,2,2,0,1,,,,,1,2,2,1,,,,,,,,,,2,0,,,,2,0,,,,,,,,,,,2,0,0,,,,,200,2,1000,,,,2,0,,,,,2,1,1,2,2,0,70,30,0,0,1000,2000
